Date,Open,High,Low,Close,Volume
2024-11-14,179.75,180.445,176.03,177.35,16745947
2024-11-13,182.15,182.615,180.12,180.49,13969709
2024-11-12,181.38,184.025,180.99,183.32,14065845
2024-11-11,180.07,182.085,179.99,181.97,12503422
2024-11-08,182.0,182.35,179.57,179.86,15021549
2024-11-07,179.11,182.58,178.89,182.28,16730407
2024-11-06,175.35,178.64,175.04,178.33,27061510
2024-11-05,170.83,172.0973,170.37,171.41,12518282
2024-11-04,171.24,171.92,169.485,170.68,16193994
2024-11-01,171.54,173.82,170.31,172.65,21752859
2024-10-31,174.72,178.42,172.56,172.69,32801898
2024-10-30,182.41,183.79,175.7451,176.14,49698313
2024-10-29,169.385,171.86,168.66,171.14,28916106
2024-10-28,170.59,170.606,165.79,168.34,20858254
2024-10-25,165.365,167.4,165.23,166.99,14566410
2024-10-24,164.59,165.05,162.77,164.53,12764430
2024-10-23,166.43,167.6,163.6325,164.48,12754283
2024-10-22,164.7,167.47,164.67,166.82,11958617
2024-10-21,164.58,166.22,164.305,165.8,11384047
2024-10-18,164.87,166.3699,164.75,165.05,13091267
2024-10-17,167.38,167.93,164.37,164.51,15113356
2024-10-16,166.03,167.28,165.216,166.74,9968474
2024-10-15,167.14,169.09,166.05,166.9,14829338
2024-10-14,164.91,167.62,164.78,166.35,9981765
2024-10-11,163.33,165.27,162.5,164.52,10945971
2024-10-10,162.11,164.3107,161.64,163.18,12900492
2024-10-09,164.855,166.26,161.12,163.06,19666411
2024-10-08,165.43,166.1,164.31,165.7,11723885
2024-10-07,169.14,169.9,164.13,164.39,14034722
2024-10-04,169.34,169.55,166.96,168.56,11435318
2024-10-03,165.82,167.91,165.37,167.21,11004333
2024-10-02,167.76,168.88,166.25,167.31,12744975
2024-10-01,168.86,170.44,165.9,168.42,18629506
2024-09-30,164.78,167.36,164.64,167.19,14083451
2024-09-27,163.91,166.97,163.83,165.29,13604261
2024-09-26,165.03,165.5,163.5,163.83,18234497
2024-09-25,162.97,164.217,162.775,162.99,13607892
2024-09-24,164.25,164.55,162.03,163.64,18774056
2024-09-23,165.34,166.61,162.95,163.07,15648446
2024-09-20,164.52,164.75,163.18,164.64,46362673
2024-09-19,164.82,164.99,162.5216,163.24,17548190
2024-09-18,160.85,161.63,159.66,160.81,16756450
2024-09-17,160.09,161.59,159.41,160.28,12064790
2024-09-16,158.33,159.24,157.61,158.99,14157614
2024-09-13,156.362,159.275,156.11,158.37,16733908
2024-09-12,154.81,155.61,153.5,155.54,21024062
2024-09-11,151.09,152.48,148.7,152.15,18991486
2024-09-10,151.45,152.3,149.5427,150.01,20401774
2024-09-09,153.63,154.64,148.2,149.54,28057746
2024-09-06,158.69,159.22,151.935,152.13,24999062
2024-09-05,157.78,161.015,157.52,158.6,14139501
2024-09-04,158.075,160.4,157.44,157.81,15942997
2024-09-03,163.315,163.38,157.855,158.61,26533110
2024-08-30,164.22,165.28,163.41,165.11,18498777
2024-08-29,166.06,167.63,161.982,163.4,17133830
2024-08-28,166.78,167.39,163.28,164.5,15208736
2024-08-27,167.61,168.245,166.16,166.38,13718162
2024-08-26,168.155,169.38,166.32,167.93,11990305
2024-08-23,166.55,167.95,165.66,167.43,14281621
2024-08-22,169.04,169.42,165.03,165.49,19123778
2024-08-21,166.99,168.64,166.57,167.63,15269550
2024-08-20,168.74,170.41,168.66,168.96,12622523
2024-08-19,167.0,168.47,166.09,168.4,13100762
2024-08-16,163.41,166.95,163.08,164.74,16853137
2024-08-15,162.21,163.52,161.49,163.17,18392452
2024-08-14,164.21,164.96,159.53,162.03,22515895
2024-08-13,165.185,166.54,164.77,165.93,12717628
2024-08-12,165.995,166.7,163.55,163.95,12434969
2024-08-09,161.645,165.52,160.93,165.39,13549230
2024-08-08,162.344,165.5,162.03,163.84,15733612
2024-08-07,163.24,164.79,160.24,160.75,19334246
2024-08-06,160.945,162.35,158.13,160.54,36146541
2024-08-05,157.37,165.94,156.6,160.64,34907815
2024-08-02,168.19,170.21,166.39,168.4,18907773
2024-08-01,171.98,175.68,170.51,172.45,17177833
2024-07-31,174.92,175.91,171.72,173.15,15650154
2024-07-30,171.83,172.95,170.12,171.86,13681418
2024-07-29,170.5,172.16,169.72,171.13,13768931
2024-07-26,168.77,169.84,165.865,168.68,25150116
2024-07-25,174.25,175.2,169.05,169.16,28967880
2024-07-24,175.39,177.95,173.57,174.37,31250683
2024-07-23,183.84,185.22,183.33,183.6,23772602
2024-07-22,182.35,184.3,181.9,183.35,16303896
2024-07-19,180.37,181.97,178.86,179.39,14485899
2024-07-18,183.54,184.05,178.21,179.22,17877197
2024-07-17,184.68,185.23,181.62,182.62,17376563
2024-07-16,188.96,190.34,185.12,185.5,12760102
2024-07-15,186.49,189.9,186.49,188.19,12186015
2024-07-12,186.92,188.69,186.14,186.78,14449113
2024-07-11,191.34,192.41,186.82,187.3,16451981
2024-07-10,190.75,193.31,190.62,192.66,12052906
2024-07-09,191.75,192.86,190.23,190.44,10224925
2024-07-08,191.365,191.6791,189.32,190.48,12097611
2024-07-05,187.32,192.26,187.32,191.96,14303361
2024-07-03,186.3,187.62,185.385,187.39,7409106
2024-07-02,183.47,186.95,183.06,186.61,12555545
2024-07-01,184.48,185.34,182.73,184.49,11815862
2024-06-28,185.72,186.58,183.325,183.42,23032362
2024-06-27,185.645,187.5,185.45,186.86,13025656
2024-06-26,184.2,185.93,183.99,185.37,13375715
