Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,577.5,629.7899,575.57,623.77,623.77,67143256
2024-11-29,567.605,599.66,549.05,574.32,574.32,237811395
2024-10-31,577.98,602.95,561.52,567.58,567.58,265908326
2024-09-30,519.64,577.4,495.6,572.44,572.44,246373276
2024-08-30,521.0,544.23,450.8,521.31,520.8217,323379343
2024-07-31,504.95,542.81,442.65,474.83,474.3852,324021236
2024-06-28,470.86,522.8799,468.24,504.22,503.7477,226951165
2024-05-31,428.6,482.4999,427.11,466.83,465.9306,282486703
2024-04-30,487.2,531.4899,414.5,430.17,429.3413,436147995
2024-03-28,492.11,523.57,476.0,485.58,484.6445,278473986
2024-02-29,393.94,494.3599,393.05,490.13,489.1857,466261632
2024-01-31,351.32,406.36,340.01,390.14,388.9728,347229642
2023-12-29,325.48,361.9,313.66,353.96,352.9011,334028198
2023-11-30,301.85,342.92,301.85,327.15,326.1713,329354280
2023-10-31,302.74,330.54,279.403,301.27,300.3687,511372074
2023-09-29,299.37,312.87,286.79,300.21,299.3119,406801410
2023-08-31,317.535,324.14,274.38,295.89,295.0048,424632813
2023-07-31,286.7,326.2,284.8499,318.6,317.6469,625339455
2023-06-30,265.9,289.79,258.88,286.98,286.1215,481179600
2023-05-31,238.615,268.65,229.85,264.72,263.928,487059059
2023-04-28,208.84,241.685,207.13,240.32,239.601,439810216
2023-03-31,174.59,212.17,171.43,211.94,211.3059,690450690
2023-02-28,148.03,197.16,147.06,174.94,174.4166,772199855
2023-01-31,122.82,153.19,122.28,148.97,148.5243,548770812
2022-12-30,119.198,124.67,112.46,120.34,119.98,653019661
2022-11-30,94.33,118.74,88.09,118.1,117.7467,1063814422
2022-10-31,137.14,142.3901,92.6,93.16,92.8813,1114165581
2022-09-30,163.58,171.39,134.1201,135.68,135.2741,634744508
2022-08-31,157.25,183.1,155.2301,162.93,162.4426,551637733
2022-07-29,160.31,183.85,154.85,159.1,158.624,586548218
2022-06-30,196.51,202.03,154.25,161.25,160.7676,686376324
2022-05-31,201.165,224.3,176.11,193.64,193.0607,680370106
2022-04-29,224.55,236.86,169.0,200.47,199.8703,671047219
2022-03-31,209.87,231.151,185.82,222.36,221.6948,730939429
2022-02-28,314.555,328.0,190.22,211.03,210.3987,1127891130
2022-01-31,338.295,343.0854,289.01,313.26,312.3228,426742200
2021-12-31,330.29,352.71,299.5,336.35,335.3438,437947523
2021-11-30,326.04,353.83,323.2,324.46,323.4893,440274313
2021-10-29,341.61,345.02,308.11,323.57,322.602,588382461
2021-09-30,379.59,384.33,338.15,339.39,338.3747,338133948
2021-08-31,358.1,382.759,347.7,379.38,378.245,226135690
2021-07-30,346.82,377.5499,334.5,356.3,355.2341,334221334
2021-06-30,330.15,358.14,323.48,347.71,346.6698,344609593
2021-05-28,326.17,333.78,298.19,328.73,327.7465,353419284
2021-04-30,298.4,331.81,296.04,325.08,324.1075,421280404
2021-03-31,260.82,299.705,253.5,294.53,293.6489,497455263
2021-02-26,259.52,276.6,254.04,257.62,256.8493,315517591
2021-01-29,274.78,286.79,244.61,258.33,257.5572,452021869
2020-12-31,279.16,291.78,264.63,273.16,272.3428,363610072
2020-11-30,264.6,297.38,257.34,276.97,276.1414,356724889
2020-10-30,265.35,285.24,254.82,263.11,262.3229,454176190
2020-09-30,294.71,303.6,244.13,261.9,261.1165,499179596
2020-08-31,252.65,304.67,247.43,293.2,292.3228,574266263
2020-07-31,228.5,255.85,226.9,253.67,252.9111,516844579
2020-06-30,224.59,245.19,207.11,227.07,226.3907,548043739
2020-05-29,201.6,240.9,198.76,225.09,224.4166,509432028
2020-04-30,161.62,209.69,150.83,204.71,204.0976,541538950
2020-03-31,194.03,197.24,137.1,166.8,166.301,649513169
2020-02-28,203.44,218.77,181.82,192.47,191.8942,317634511
2020-01-31,206.75,224.2,201.06,201.91,201.306,347787838
2019-12-31,202.13,208.93,193.17,205.25,204.636,278225688
2019-11-29,192.85,203.8,188.54,201.64,201.0368,258577372
2019-10-31,179.15,198.09,173.09,191.65,191.0766,329115789
2019-09-30,184.0,193.1,175.66,178.08,177.5472,267509200
2019-08-30,194.17,198.47,176.66,185.67,185.1145,295147285
2019-07-31,195.21,208.66,191.93,194.23,193.6489,351062381
2019-06-28,175.0,198.88,160.84,193.0,192.4226,426428460
2019-05-31,194.78,196.18,177.16,177.47,176.9391,286821828
2019-04-30,167.83,198.48,167.28,193.4,192.8214,382184268
2019-03-29,162.6,174.3,159.28,166.69,166.1913,388172717
2019-02-28,165.84,172.47,159.59,161.45,160.967,302243555
2019-01-31,128.99,171.68,128.56,166.69,166.1913,527561443
2018-12-31,143.0,147.19,123.02,131.09,130.6978,558786249
2018-11-30,151.52,154.13,126.85,140.61,140.1893,518150415
2018-10-31,163.03,165.88,139.03,151.79,151.3359,622446235
2018-09-28,173.5,173.89,158.87,164.46,163.968,500468912
2018-08-31,173.93,188.3,170.27,175.73,175.2043,549016789
2018-07-31,193.37,218.62,166.56,172.58,172.0637,652763259
2018-06-29,193.07,203.55,186.43,194.32,193.7387,387265765
2018-05-31,172.0,192.72,170.23,191.78,191.2063,401144183
2018-04-30,157.81,177.1,150.51,172.0,171.4854,751130388
2018-03-29,179.01,186.1,149.02,159.79,159.312,983045332
2018-02-28,188.22,195.32,167.18,178.32,177.7865,497869797
2018-01-31,177.68,190.66,175.8,186.89,186.3309,464919779
2017-12-29,176.03,182.28,169.01,176.46,175.9321,308647940
2017-11-30,182.36,184.25,174.0,177.18,176.6499,335716436
2017-10-31,171.39,180.8,168.29,180.06,179.5213,309836859
2017-09-29,172.4,174.0,161.56,170.87,170.3588,300559928
2017-08-31,169.82,173.05,165.0,171.97,171.4555,297781301
2017-07-31,151.72,175.49,147.8,169.25,168.7437,402911091
2017-06-30,151.75,156.5,144.56,150.98,150.5283,405705533
2017-05-31,151.74,153.6,144.4216,151.46,151.0069,390036541
2017-04-28,141.93,151.53,138.81,150.25,149.8005,273330661
2017-03-31,136.47,142.95,136.08,142.05,141.625,342098632
2017-02-28,132.25,137.1846,130.3,135.54,135.1345,384700625
2017-01-31,116.03,133.14,115.51,130.32,129.9301,379004804
2016-12-30,118.38,122.5,114.0,115.05,114.7058,408728358
2016-11-30,131.41,131.94,113.5535,118.42,118.0657,654602125
2016-10-31,128.38,133.5,126.75,130.99,130.5981,313284563
2016-09-30,126.38,131.98,125.6,128.27,127.8863,376582063
2016-08-31,123.85,126.73,122.07,126.12,125.7427,365670913
2016-07-29,114.2,128.33,112.97,123.94,123.5692,470108473
2016-06-30,118.5,135.6,108.23,114.28,113.9381,451155442
2016-05-31,117.83,121.08,114.8,118.81,118.4546,460559986
2016-04-29,113.75,120.79,106.31,117.58,117.2282,741613866
2016-03-31,107.83,116.99,104.4,114.1,113.7587,521143963
2016-02-29,112.27,117.59,96.82,106.92,106.6001,874152635
2016-01-29,101.95,112.84,89.37,112.21,111.8743,792709100
2015-12-31,104.83,107.92,101.46,104.66,104.3469,440479804
2015-11-30,102.46,110.65,100.47,104.24,103.9281,547199822
2015-10-30,90.05,105.12,88.36,101.97,101.6649,571991600
2015-09-30,86.99,96.49,85.72,89.73,89.4616,634104916
2015-08-31,93.53,98.74,72.0,89.43,89.1625,709770559
2015-07-31,86.77,99.24,85.231,94.01,93.7288,790781334
2015-06-30,79.3,89.4,78.66,85.765,85.5084,537956820
2015-05-29,79.24,81.845,76.79,79.19,78.9531,421870709
2015-04-30,82.5,85.59,78.32,78.77,78.5343,542124478
2015-03-31,79.0,86.0699,77.26,82.215,81.969,575349997
2015-02-27,76.11,81.37,73.45,78.97,78.7337,475148609
2015-01-30,78.58,79.2455,73.54,75.91,75.6829,546057661
2014-12-31,77.26,82.17,74.4,78.02,77.7866,534690249
2014-11-28,75.47,78.27,72.51,77.7,77.4675,491018048
2014-10-31,78.78,81.16,70.32,74.99,74.7657,1083643275
2014-09-30,75.01,79.7067,73.07,79.04,78.8035,719738102
