Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,577.5,629.7899,575.57,623.77,623.77,67143256
2024-11-29,562.1,578.46,556.39,574.32,574.32,38287127
2024-11-22,557.04,570.0,549.05,559.14,559.14,53985252
2024-11-15,586.36,599.66,551.5,554.08,554.08,66020965
2024-11-08,564.1,594.7999,555.1679,589.34,589.34,64214816
2024-11-01,582.0,601.2,562.56,567.16,567.16,92950778
2024-10-25,576.03,585.0,561.52,573.25,573.25,49487286
2024-10-18,594.22,600.1,574.03,576.47,576.47,45480023
2024-10-11,598.22,602.95,581.61,589.95,589.95,45728782
2024-10-04,567.7,596.85,564.8,595.94,595.94,60371898
2024-09-27,569.5,577.4,554.19,567.36,567.36,66166129
2024-09-20,524.54,564.5,517.4,561.35,561.35,69255730
2024-09-13,506.16,527.581,495.6,524.62,524.1286,54044146
2024-09-06,519.64,525.49,498.25,500.27,499.8014,44100065
2024-08-30,527.6,528.0,512.45,521.31,520.8217,42447764
2024-08-23,526.87,544.23,522.76,528.0,527.5054,58279624
2024-08-16,516.86,539.77,509.1,527.42,526.926,63214275
2024-08-09,451.345,518.34,450.8,517.77,517.285,92309940
2024-08-02,469.88,527.1709,456.7,488.14,487.6828,114143586
2024-07-26,486.575,495.22,442.65,465.7,465.2638,71591230
2024-07-19,498.63,506.6799,459.12,476.79,476.3434,89108167
2024-07-12,542.35,542.81,494.23,498.87,498.4027,70878656
2024-07-05,504.95,540.87,493.17,539.91,539.4043,45427337
2024-06-28,499.2,522.8799,494.29,504.22,503.7477,60493720
2024-06-21,501.67,510.75,492.39,494.78,494.3165,59258940
2024-06-14,493.86,514.01,493.41,504.16,503.6877,53091829
2024-06-07,470.86,502.82,468.24,492.96,492.0103,54106676
2024-05-31,476.575,480.86,454.4601,466.83,465.9306,47057019
2024-05-24,469.95,479.8499,461.54,478.22,477.2987,57338047
2024-05-17,472.75,482.4999,460.08,471.91,471.0008,65663289
2024-05-10,455.58,477.5,453.34,476.2,475.2826,60373022
2024-05-03,439.56,454.17,427.11,451.96,451.0893,91987468
2024-04-26,489.715,510.0,414.5,443.29,442.436,185705182
2024-04-19,516.72,518.53,475.73,481.07,480.1432,75578595
2024-04-12,529.28,531.4899,505.8,511.9,510.9138,57542681
2024-04-05,487.2,530.7,481.78,527.34,526.3241,77389395
2024-03-28,505.79,510.0,485.15,485.58,484.6445,44788439
2024-03-22,491.91,515.04,481.28,509.58,508.5983,52202585
2024-03-15,497.01,502.31,476.0,484.1,483.1674,89007219
2024-03-08,503.0,523.57,487.89,505.95,504.9753,76590861
2024-03-01,483.47,504.25,479.92,502.3,501.3323,69243423
2024-02-23,469.715,494.3599,461.79,484.03,483.0975,70992664
2024-02-16,468.19,488.62,455.09,473.32,471.904,104693912
2024-02-09,469.88,473.59,453.0,468.11,466.7096,122781818
2024-02-02,394.985,485.96,387.1,474.99,473.569,171972674
2024-01-26,387.95,396.79,381.1601,394.14,392.9609,77135380
2024-01-19,373.65,384.36,358.61,383.45,382.3028,66056802
2024-01-12,354.7,377.06,352.05,374.49,373.3697,85986730
2024-01-05,351.32,353.5,340.01,351.95,350.8971,60512753
2023-12-29,354.99,361.9,351.82,353.96,352.9011,49392831
2023-12-22,337.48,357.1999,337.02,353.39,352.3328,80087432
2023-12-15,329.4,338.66,319.995,334.92,333.918,112025431
2023-12-08,317.29,333.17,313.66,332.75,331.7545,77246129
2023-12-01,336.18,339.9,320.76,324.82,323.8482,82768958
2023-11-24,334.89,342.92,334.19,338.23,337.2181,45186657
2023-11-17,326.2,338.4,325.7,335.04,334.0377,82071316
2023-11-10,315.98,329.1,314.45,328.77,327.7864,75773009
2023-11-03,299.09,318.82,296.86,314.6,313.6588,106699936
2023-10-27,309.5,318.35,279.403,296.73,295.8423,175795144
2023-10-20,318.64,325.94,306.47,308.65,307.7266,90796351
2023-10-13,312.5,330.54,311.82,314.69,313.7486,105469240
2023-10-06,302.74,316.31,298.5,315.43,314.4863,91442118
2023-09-29,295.64,310.64,286.79,300.21,299.3119,122374780
2023-09-22,298.19,308.06,293.27,299.08,298.1853,96234465
2023-09-15,301.41,312.87,298.75,300.31,299.4116,93654887
2023-09-08,297.02,307.0499,292.22,297.89,296.9988,81695021
2023-09-01,288.0,301.74,285.8,296.38,295.4933,82872953
2023-08-25,283.45,299.46,276.03,285.5,284.6459,93530714
2023-08-18,300.98,307.23,274.38,283.25,282.4026,105111289
2023-08-11,313.23,317.89,300.36,301.64,300.7376,79780966
2023-08-04,323.69,325.6599,309.93,310.73,309.8004,101978751
2023-07-28,295.78,326.2,288.3001,325.48,324.5063,195241362
2023-07-21,307.54,318.68,291.2,294.26,293.3797,133827529
2023-07-14,295.55,316.24,287.05,308.87,307.946,154656431
2023-07-07,286.7,298.12,284.8499,290.53,289.6608,115814530
2023-06-30,288.7,289.79,277.6,286.98,286.1215,102153590
2023-06-23,278.73,289.67,276.22,288.73,287.8662,109912858
2023-06-16,267.17,287.85,265.33,281.0,280.1593,119911978
2023-06-09,270.3,276.57,258.88,264.95,264.1574,104174736
2023-06-02,265.25,275.35,258.45,272.61,271.7944,94204159
2023-05-26,245.41,262.3107,244.952,262.04,261.2561,111351030
2023-05-19,236.92,248.69,235.33,245.64,244.9051,104686959
2023-05-12,231.415,238.21,230.27,233.81,233.1105,88995558
2023-05-05,238.615,244.92,229.85,232.78,232.0836,132847791
2023-04-28,213.675,241.685,207.13,240.32,239.601,180884889
2023-04-21,219.79,220.979,209.58,212.89,212.2531,77783395
2023-04-14,214.71,222.11,210.66,221.49,220.8274,96689911
2023-04-06,208.84,216.94,208.2,216.1,215.4535,84452021
2023-03-31,204.81,212.17,197.9,211.94,211.3059,104554192
2023-03-24,198.48,207.88,193.64,206.01,205.3937,140613737
2023-03-17,177.96,205.76,174.82,195.61,195.0248,209454905
2023-03-10,188.0,190.36,178.8,179.51,178.973,141591076
2023-03-03,171.875,186.62,169.06,185.25,184.6958,159564899
2023-02-24,174.31,178.17,167.66,170.39,169.8803,96834853
2023-02-17,178.215,181.5064,169.7,172.88,172.3628,130834553
2023-02-10,186.53,193.7799,173.35,174.15,173.629,196255925
2023-02-03,149.405,197.16,146.95,186.53,185.972,340828614
2023-01-27,139.29,153.19,138.66,151.74,151.286,137316253
2023-01-20,136.176,139.94,132.14,139.37,138.9531,98676935
2023-01-13,131.16,137.6781,127.15,136.98,136.5702,133938193
2023-01-06,122.82,130.33,122.28,130.02,129.631,120957222
2022-12-30,117.93,121.03,115.51,120.34,119.98,82954801
2022-12-23,116.83,120.34,112.46,118.04,117.6869,120319921
2022-12-16,115.18,124.14,113.14,119.43,119.0727,207965126
2022-12-09,121.75,124.67,112.88,115.9,115.5533,165277975
2022-12-02,110.78,124.04,108.38,123.49,123.1206,167082449
2022-11-25,111.52,112.73,108.3216,111.41,111.0767,86730686
2022-11-18,110.99,118.74,109.8,112.05,111.7148,205804775
2022-11-11,94.78,114.9,93.1,113.02,112.6819,382385602
2022-11-04,98.22,99.32,88.09,90.79,90.5184,419674192
2022-10-28,127.25,138.35,96.38,99.2,98.9032,519536222
2022-10-21,130.3,137.8399,125.44,130.01,129.6211,158453194
2022-10-14,133.55,136.11,122.5301,126.76,126.3808,154995752
2022-10-07,137.14,142.3901,132.44,133.45,133.0508,159818969
2022-09-30,140.12,142.24,134.1201,135.68,135.2741,166133777
2022-09-23,145.235,149.6,138.89,140.41,139.9899,149598657
2022-09-16,167.39,171.39,144.2935,146.29,145.8523,185457833
2022-09-09,160.1,169.54,156.81,169.15,168.644,80774367
2022-09-02,160.655,167.93,155.91,160.32,159.8404,133072660
2022-08-26,165.49,170.92,159.77,161.78,161.296,98077116
2022-08-19,178.96,181.44,167.05,167.96,167.4575,102238764
2022-08-12,168.0,183.1,166.6,180.5,179.96,121569409
2022-08-05,157.25,172.15,155.2301,167.11,166.6101,149459658
2022-07-29,169.0,170.87,154.85,159.1,158.624,213761028
2022-07-22,166.75,183.85,165.64,169.27,168.7636,144072021
2022-07-15,167.065,167.49,157.2801,164.7,164.2073,102207905
2022-07-08,158.14,172.72,157.02,170.88,170.3688,95083331
2022-07-01,171.32,171.75,155.0,160.03,159.5512,152233058
2022-06-24,165.93,170.25,154.25,170.16,169.6509,207556926
2022-06-17,170.59,172.575,159.61,163.74,163.2501,147320187
2022-06-10,193.99,202.03,175.02,175.57,175.0448,122650016
2022-06-03,194.885,200.935,185.0,190.78,190.2093,114171173
2022-05-27,195.19,196.9924,176.11,195.13,194.5462,149114810
2022-05-20,197.05,205.46,187.87,193.54,192.961,131857798
2022-05-13,199.84,202.96,184.78,198.62,198.0258,164721144
2022-05-06,201.165,224.3,200.99,203.77,203.1604,208545251
2022-04-29,182.73,212.48,169.0,200.47,199.8703,281300784
2022-04-22,210.0,218.4299,183.27,184.11,183.5592,165911103
2022-04-14,218.42,222.03,210.0,210.18,209.5512,78256684
2022-04-08,225.98,236.86,218.56,222.33,221.6649,126033890
2022-04-01,222.13,231.151,219.54,224.85,224.1773,126967068
2022-03-25,214.5,225.5,207.63,221.82,221.1564,155942191
2022-03-18,187.03,216.8,185.82,216.49,215.8423,184107129
2022-03-11,200.79,200.89,186.11,187.61,187.0487,167510962
2022-03-04,207.675,213.1508,198.79,200.06,199.4615,150196640
2022-02-25,202.34,211.32,190.22,210.48,209.8503,171770071
2022-02-18,219.31,221.15,205.18,206.16,205.5432,202562936
2022-02-11,237.7,238.3,216.15,219.55,218.8932,365374072
2022-02-04,300.68,328.0,230.11,237.09,236.3807,375523722
2022-01-28,297.84,309.53,289.01,301.71,300.8074,135895698
2022-01-21,323.29,327.82,303.04,303.17,302.263,88552375
2022-01-14,325.31,336.365,315.43,331.9,330.9071,86904480
2022-01-07,338.295,343.0854,322.72,331.79,330.7974,93810173
2021-12-31,338.845,352.71,336.27,336.35,335.3438,68289517
2021-12-23,329.775,336.67,322.53,335.24,334.2371,64770831
2021-12-17,330.95,344.46,323.98,333.79,332.7914,130738667
2021-12-10,308.13,336.13,306.34,329.75,328.7635,91897246
2021-12-03,336.89,340.67,299.5,306.84,305.922,124292219
2021-11-26,349.05,353.83,331.902,333.12,332.1234,72658715
2021-11-19,344.34,353.65,335.3,345.3,344.267,100836297
2021-11-12,344.42,344.789,325.51,340.89,339.8702,95160268
2021-11-05,326.04,346.79,323.2,341.13,340.1095,129578076
2021-10-29,320.3,330.2099,308.11,323.57,322.602,221900985
2021-10-22,328.95,343.98,321.11,324.61,323.6389,105589765
2021-10-15,327.625,330.52,317.37,324.76,323.7884,97026902
2021-10-08,335.53,338.84,322.7,330.05,329.0626,148959498
2021-10-01,349.805,355.15,338.15,343.01,341.9838,82820775
2021-09-24,359.3,361.03,340.6901,352.96,351.9041,115875745
2021-09-17,381.68,381.75,361.59,364.72,363.6289,77911324
2021-09-10,375.88,383.79,373.15,378.69,377.5571,42514622
2021-09-03,372.56,384.33,370.52,376.26,375.1344,59809404
2021-08-27,359.44,373.74,359.1,372.63,371.5152,48969499
2021-08-20,362.52,366.95,351.0,359.37,358.2949,54305589
2021-08-13,363.7623,365.775,357.11,363.18,362.0935,38028702
2021-08-06,358.1,365.15,347.7,363.51,362.4225,58939289
2021-07-30,369.58,377.5499,352.94,356.3,355.2341,108494684
2021-07-23,337.57,375.33,334.5,369.79,368.6837,80756048
2021-07-16,351.23,358.49,340.14,341.16,340.1394,61176495
2021-07-09,356.5,358.79,342.56,350.42,349.3717,55132472
2021-07-02,342.46,358.14,341.77,354.7,353.6389,94342586
2021-06-25,331.09,344.9,327.65,341.37,340.3487,68424185
2021-06-18,331.9,339.92,328.72,329.66,328.6738,85910843
2021-06-11,329.48,338.2999,328.545,331.26,330.269,75273262
2021-06-04,330.15,332.455,323.48,330.35,329.3617,49320352
2021-05-28,318.21,333.78,318.03,328.73,327.7465,75084394
2021-05-21,313.55,319.93,303.57,316.23,315.2839,79951132
2021-05-14,314.35,316.85,298.19,315.94,314.9948,105125150
2021-05-07,326.17,328.55,313.12,319.08,318.1254,93258608
2021-04-30,303.3396,331.81,301.11,325.08,324.1075,148248253
2021-04-23,305.007,307.7,296.04,301.13,300.2291,80148271
2021-04-16,311.05,314.428,301.95,306.18,305.264,69957691
2021-04-09,300.89,315.88,300.68,312.46,311.5252,105310209
2021-04-01,285.77,302.4,284.7,298.66,297.7665,76307505
2021-03-26,290.45,299.705,277.75,283.02,282.1733,112083881
2021-03-19,269.08,292.8,268.5,290.11,289.2421,118294844
2021-03-12,265.55,277.9,255.05,268.4,267.597,97076003
2021-03-05,260.82,266.71,253.5,264.28,263.4894,111309010
2021-02-26,257.95,267.46,254.04,257.62,256.8493,99703327
2021-02-19,270.8,276.6,260.15,261.56,260.7775,68908015
2021-02-12,268.75,273.7999,265.0,270.5,269.6908,64289912
2021-02-05,259.52,269.2,254.91,268.1,267.2979,82616337
2021-01-29,278.14,286.79,254.85,258.33,257.5572,141955163
2021-01-22,256.9,278.47,252.7201,274.5,273.6788,96021194
2021-01-15,260.48,263.47,244.61,251.36,250.608,130395686
2021-01-08,274.78,275.0,260.01,267.57,266.7695,83649826
2020-12-31,268.74,280.51,265.66,273.16,272.3428,64210583
2020-12-24,272.978,274.67,264.63,267.4,266.6,54919810
2020-12-18,273.3722,280.44,267.47,276.4,275.5731,99312433
2020-12-11,279.19,288.49,270.25,273.55,272.7316,83401514
2020-12-04,276.03,291.78,271.01,279.7,278.8632,78459068
2020-11-27,270.89,280.18,264.53,277.81,276.9789,58118722
2020-11-20,275.05,279.41,269.19,269.7,268.8931,71249664
2020-11-13,289.87,292.58,264.0,276.95,276.1215,92456598
2020-11-06,264.6,297.38,257.34,293.41,292.5322,118206569
2020-10-30,283.16,285.23,259.1,263.11,262.3229,140399102
2020-10-23,265.53,285.24,259.88,284.79,283.938,95604020
2020-10-16,270.2,280.18,263.67,265.93,265.1344,96722519
2020-10-09,262.2,265.69,254.82,264.45,263.6589,85073151
2020-10-02,259.4,268.33,254.8208,259.94,259.1623,95561702
2020-09-25,247.54,257.9921,244.13,254.82,254.0577,113001808
2020-09-18,270.95,276.64,250.05,252.53,251.7745,131192162
2020-09-11,271.28,279.3,262.64,266.61,265.8124,91511318
2020-09-04,293.95,303.6,271.14,282.73,281.8842,121635138
2020-08-28,271.07,304.67,268.7701,293.66,292.7815,182301718
2020-08-21,262.5,270.49,259.26,267.01,266.2112,91123323
2020-08-14,268.04,273.86,255.13,261.24,260.4585,112082116
2020-08-07,252.65,278.89,247.43,268.44,267.6369,171413972
2020-07-31,231.46,255.85,229.0,253.67,252.9111,114566855
2020-07-24,240.06,246.91,226.9,230.71,230.0198,94969728
2020-07-17,247.01,250.15,232.03,242.03,241.3059,104220779
2020-07-10,233.76,247.65,232.27,245.07,244.3368,129047378
2020-07-02,209.75,240.0,207.11,233.42,232.7217,166481188
2020-06-26,238.56,245.19,215.4,216.08,215.4336,158818879
2020-06-19,225.09,240.83,224.8,238.79,238.0756,96018823
2020-06-12,229.03,241.21,223.55,228.58,227.8962,112449630
2020-06-05,224.59,233.0,223.5,230.77,230.0796,88315058
2020-05-29,239.77,240.9,221.13,225.09,224.4166,120621360
2020-05-22,212.15,237.2,210.94,234.91,234.2072,183676949
2020-05-15,210.89,215.28,200.69,210.88,210.2491,84863255
2020-05-08,200.2,213.21,198.76,212.35,211.7147,89854883
2020-05-01,192.66,209.69,182.56,202.27,201.6649,173528954
2020-04-24,177.41,190.41,168.34,190.07,189.5014,124626255
2020-04-17,173.67,181.23,169.45,179.24,178.7038,102358152
2020-04-09,160.15,177.08,158.51,175.19,174.6659,105063985
2020-04-03,159.18,170.93,150.83,154.18,153.7187,112568693
2020-03-27,149.66,164.0,142.25,156.79,156.3209,146914295
2020-03-20,152.32,159.93,137.1,149.73,149.2821,183359861
2020-03-13,169.6,178.29,154.34,170.28,169.7706,153158998
2020-03-06,194.03,197.24,176.26,181.09,180.5482,119888507
2020-02-28,201.8,203.65,181.82,192.47,191.8942,115334874
2020-02-21,213.55,218.77,208.83,210.18,209.5512,54972785
2020-02-14,211.52,214.93,206.51,214.18,213.5392,76839236
2020-02-07,203.44,212.82,202.5,212.33,211.6948,70487616
2020-01-31,213.1,224.2,201.06,201.91,201.306,140969912
2020-01-24,222.16,222.75,216.11,217.94,217.288,49475645
2020-01-17,219.6,222.63,218.63,222.14,221.4754,63568726
2020-01-10,206.7,219.88,206.52,218.06,217.4076,70485432
2020-01-03,207.86,210.4,203.6,208.67,208.0457,42785320
2019-12-27,206.7,208.93,205.0,208.1,207.4774,39055374
2019-12-20,195.27,207.71,194.81,206.3,205.6828,92508494
2019-12-13,200.65,203.66,193.17,194.11,193.5293,72113619
2019-12-06,202.13,202.18,195.08,201.05,200.4485,55051004
2019-11-29,199.52,203.8,198.04,201.64,201.0368,47780905
2019-11-22,194.56,200.0,193.05,198.82,198.2252,69707440
2019-11-15,189.93,195.7,188.54,195.1,194.5163,57853151
2019-11-08,194.55,197.37,189.47,190.84,190.2691,61524047
2019-11-01,187.2,198.09,185.08,193.62,193.0408,119684983
2019-10-25,187.04,190.65,181.5,187.89,187.3279,59914255
2019-10-18,184.2,191.49,182.57,185.85,185.294,59253667
2019-10-11,180.0,186.49,177.72,184.19,183.639,51073295
2019-10-04,177.87,180.98,173.09,180.45,179.9102,71972843
2019-09-27,189.34,190.1,175.66,177.1,176.5702,82429981
2019-09-20,186.93,193.1,185.54,189.93,189.3618,58976775
2019-09-13,187.73,190.93,184.55,187.19,186.63,64800820
2019-09-06,184.0,191.36,182.11,187.49,186.9291,50230199
2019-08-30,179.4,186.8,178.24,185.67,185.1145,53474711
