transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2024-11-25,NVDA,"DABIRI, JOHN",Director,Common,D,716.0,142.0
2024-10-09,NVDA,"STEVENS, MARK A",Director,Common Stock,D,155000.0,132.2747
2024-10-03,NVDA,"STEVENS, MARK A",Director,Common Stock,D,125000.0,122.6076
2024-09-27,NVDA,"STEVENS, MARK A",Director,Common Stock,D,40000.0,121.0089
2024-09-24,NVDA,"STEVENS, MARK A",Director,Common Stock,D,165100.0,121.2685
2024-09-20,NVDA,"ROBERTSON, DONALD F JR",Principal Accounting Officer,Common Stock,D,3300.0,116.1755
2024-09-20,NVDA,"HUANG, JEN HSUN","Director, President and CEO",Common Stock,D,1568000.0,0.0
2024-09-20,NVDA,"COXE, TENCH",Director,Common,D,797022.0,116.2665
2024-09-20,NVDA,"COXE, TENCH",Director,Common,D,202978.0,117.2922
2024-09-20,NVDA,"KRESS, COLETTE",EVP & Chief Financial Officer,Common,D,6869.0,118.0486
2024-09-20,NVDA,"KRESS, COLETTE",EVP & Chief Financial Officer,Common,D,14291.0,117.1491
2024-09-20,NVDA,"KRESS, COLETTE",EVP & Chief Financial Officer,Common,D,45510.0,116.1898
2024-09-20,NVDA,"ROBERTSON, DONALD F JR",Principal Accounting Officer,Common Stock,D,300.0,118.1467
2024-09-20,NVDA,"ROBERTSON, DONALD F JR",Principal Accounting Officer,Common Stock,D,900.0,117.1889
2024-09-19,NVDA,"COXE, TENCH",Director,Common,D,1000000.0,119.2664
2024-09-18,NVDA,"KRESS, COLETTE",EVP & Chief Financial Officer,Common,D,68609.0,115.59
2024-09-18,NVDA,"PURI, AJAY K","EVP, Worldwide Field Ops",Common Stock,D,61705.0,115.59
2024-09-18,NVDA,"ROBERTSON, DONALD F JR",Principal Accounting Officer,Common Stock,D,6972.0,115.59
2024-09-18,NVDA,"HUANG, JEN HSUN","Director, President and CEO",Common Stock,D,63870.0,115.59
2024-09-18,NVDA,"SHOQUIST, DEBORA","EVP, Operations",Common Stock,D,55532.0,115.59
2024-09-18,NVDA,"TETER, TIMOTHY S.","EVP, General Counsel and Sec",Common Stock,D,56687.0,115.59
2024-09-13,NVDA,"HUANG, JEN HSUN","Director, President and CEO",Common Stock,D,539.0,117.8956
2024-09-13,NVDA,"HUANG, JEN HSUN","Director, President and CEO",Common Stock,D,64318.0,118.7759
2024-09-13,NVDA,"HUANG, JEN HSUN","Director, President and CEO",Common Stock,D,55143.0,119.2616
2024-09-12,NVDA,"HUANG, JEN HSUN","Director, President and CEO",Common Stock,D,1296.0,115.8235
2024-09-12,NVDA,"HUANG, JEN HSUN","Director, President and CEO",Common Stock,D,7818.0,116.5917
2024-09-12,NVDA,"HUANG, JEN HSUN","Director, President and CEO",Common Stock,D,18437.0,120.2905
2024-09-12,NVDA,"HUANG, JEN HSUN","Director, President and CEO",Common Stock,D,12474.0,117.501
2024-09-12,NVDA,"HUANG, JEN HSUN","Director, President and CEO",Common Stock,D,51208.0,119.4302
2024-09-12,NVDA,"HUANG, JEN HSUN","Director, President and CEO",Common Stock,D,28767.0,118.5941
