Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,138.83,146.54,137.825,142.44,142.44,928447790
2024-11-29,134.7,152.89,131.8,138.25,138.2405,4498075137
2024-10-31,121.765,144.42,115.14,132.76,132.7508,5628704792
2024-09-30,116.01,127.665,100.95,121.44,121.4316,6268619540
2024-08-30,117.53,131.26,90.69,119.37,119.3518,8105367559
2024-07-31,123.47,136.15,102.54,117.02,117.0021,6407092755
2024-06-28,1136.21,1255.87,117.01,123.54,123.5211,5234031077
2024-05-31,850.77,1158.1915,812.5456,1096.33,109.6072,964797076
2024-04-30,902.99,922.25,756.06,864.02,86.3786,1004973847
2024-03-28,800.0,974.0,794.3503,903.56,90.3316,1210961732
2024-02-29,621.0,823.94,616.5,791.12,79.0869,1107789923
2024-01-31,492.44,634.93,473.2,615.27,61.5075,969880029
2023-12-29,465.25,504.3299,450.1,495.22,49.5063,739627720
2023-11-30,408.84,505.48,408.69,467.7,46.7512,914975019
2023-10-31,440.3,476.09,392.3001,407.8,40.7636,1014241343
2023-09-29,497.62,498.0,409.8,434.99,43.4815,858010319
2023-08-31,464.595,502.66,403.11,493.55,49.3309,1363638357
2023-07-31,425.17,480.88,413.46,467.29,46.7062,870901174
2023-06-30,384.89,439.9,373.56,423.02,42.2814,1052802408
2023-05-31,278.4,419.38,272.4,378.34,37.8115,1169406527
2023-04-28,275.09,281.1,262.2,277.49,27.7325,742662535
2023-03-31,231.92,278.3431,222.97,277.77,27.7605,1126657651
2023-02-28,196.91,238.88,196.11,232.16,23.1982,1039409020
2023-01-31,148.51,206.28,140.34,195.37,19.522,945495814
2022-12-30,169.99,187.9,138.84,146.14,14.6028,894615121
2022-11-30,138.11,169.98,129.56,169.23,16.91,1060101416
2022-10-31,123.47,138.5,108.13,134.97,13.4835,1255185787
2022-09-30,142.09,145.47,119.4601,121.39,12.1268,1312616395
2022-08-31,181.82,192.74,149.5851,150.94,15.0745,1206915173
2022-07-29,148.99,182.44,140.55,181.63,18.1395,1056635538
2022-06-30,187.24,196.19,148.62,151.59,15.1394,1055676405
2022-05-31,185.405,204.0,155.67,186.72,18.6438,1383046898
2022-04-29,273.75,275.58,182.9,185.47,18.519,1109910745
2022-03-31,242.91,289.46,206.5,272.86,27.2449,1163311421
2022-02-28,251.04,269.2499,208.9,243.85,24.3442,1064192509
2022-01-31,298.15,307.11,208.88,244.86,24.445,1067591645
2021-12-31,332.1947,332.8934,271.45,294.11,29.3618,1105975362
2021-11-30,256.49,346.47,252.27,326.76,32.6172,1079213759
2021-10-29,207.5,257.09,195.55,255.67,25.521,497107602
2021-09-30,224.85,229.86,204.67,207.16,20.6787,499956172
2021-08-31,197.0,230.43,187.62,223.85,22.3447,641440828
2021-07-30,805.0,835.0,181.64,194.99,19.4604,371371175
2021-06-30,650.8,806.5,636.13,800.1,19.9629,256748671
2021-05-28,605.0,651.099,538.36,649.78,16.2086,176367494
2021-04-30,542.89,648.566,540.45,600.38,14.9764,167976641
2021-03-31,555.0,557.0,462.66,533.93,13.3188,191236844
2021-02-26,522.1335,614.9,516.11,548.58,13.6799,166258921
2021-01-29,524.17,559.9743,503.44,519.59,12.9569,153776622
2020-12-31,539.69,549.25,510.527,522.2,13.022,128016408
2020-11-30,506.31,587.66,495.8,536.06,13.3637,189808791
2020-10-30,550.32,573.9399,492.0,501.36,12.4986,200593091
2020-09-30,539.2,589.0699,468.17,541.22,13.4923,396511776
2020-08-31,429.3,543.0,428.61,534.98,13.3329,241733886
2020-07-31,380.83,431.69,376.52,424.59,10.5817,202608883
2020-06-30,353.33,385.7,346.32,379.91,9.4682,243002408
2020-05-29,284.35,367.27,280.84,355.02,8.8438,312360731
2020-04-30,255.65,304.2,238.39,292.28,7.2809,282017179
2020-03-31,276.9,284.89,180.68,263.6,6.5665,394309113
2020-02-28,235.7,316.32,235.45,270.07,6.7277,296379863
2020-01-31,238.75,259.5,231.27,236.43,5.8859,152923749
2019-12-31,216.46,241.81,200.37,235.3,5.8578,164328924
2019-11-29,199.6,221.41,198.59,216.74,5.3958,183460462
2019-10-31,175.0,208.9,170.13,201.02,5.0007,194847227
2019-09-30,164.58,188.4,163.25,174.07,4.3303,160186748
2019-08-30,169.14,173.45,147.39,167.51,4.1671,238715294
2019-07-31,172.57,178.89,155.0,168.72,4.1931,210468645
2019-06-28,135.91,165.37,132.6,164.23,4.0815,205833345
2019-05-31,183.11,184.87,135.39,135.46,3.3665,279518852
2019-04-30,183.26,193.47,173.3,181.0,4.4931,236076606
2019-03-29,156.27,185.0,144.8,179.56,4.4573,301712810
2019-02-28,144.5,165.28,142.58,154.26,3.8293,286143490
2019-01-31,130.64,160.88,127.69,143.75,3.5647,421791107
2018-12-31,172.6,174.68,124.46,133.5,3.3105,311279473
2018-11-30,212.3,222.0,133.31,163.43,4.0527,404058585
2018-10-31,284.16,292.76,176.01,210.83,5.2228,324449489
2018-09-28,280.15,285.22,258.68,281.02,6.9616,158504898
2018-08-31,246.13,281.72,238.72,280.68,6.9532,272951421
2018-07-31,234.09,256.6,233.26,244.86,6.0626,158081687
2018-06-29,254.0,269.2,235.01,236.9,5.8655,219638498
2018-05-31,224.57,260.5,222.2,252.19,6.2441,299456113
2018-04-30,228.74,239.25,210.3,224.9,5.565,278676971
2018-03-29,241.91,254.5,217.0,231.59,5.7305,350302126
2018-02-28,238.52,251.97,204.0,242.0,5.9881,358836498
2018-01-31,195.78,249.27,194.5,245.8,6.0784,275174934
2017-12-29,199.31,200.3,180.58,193.5,4.7851,249998757
2017-11-30,209.35,218.67,191.23,200.71,4.9634,288285133
2017-10-31,180.8,207.89,177.0,206.81,5.1106,282241671
2017-09-29,169.95,191.2,162.71,178.77,4.4177,354779197
2017-08-31,162.125,174.56,152.91,169.44,4.1872,356899929
2017-07-31,145.05,169.927,138.58,162.51,4.0125,382121590
2017-06-30,144.99,168.5,142.11,144.56,3.5693,578458277
2017-05-31,104.74,147.0,102.31,144.35,3.5641,469403432
2017-04-28,108.95,109.65,95.49,104.3,2.5726,238801668
2017-03-31,103.79,110.0,95.17,108.93,2.6868,357243119
2017-02-28,110.58,120.92,95.7,101.48,2.503,355169590
2017-01-31,104.4,111.89,99.11,109.18,2.6895,334936385
2016-12-30,92.1,119.93,84.77,106.74,2.6294,452055630
2016-11-30,71.42,95.2499,66.575,92.2,2.2713,319186695
2016-10-31,68.52,72.95,63.7,71.16,1.7503,163789051
2016-09-30,61.39,69.19,57.315,68.52,1.6854,216644185
2016-08-31,57.34,63.4964,55.5,61.34,1.5088,232628024
2016-07-29,46.75,57.25,46.03,57.1,1.4019,180251256
2016-06-30,46.5,48.54,44.57,47.01,1.1542,204978756
2016-05-31,35.87,46.815,34.4,46.72,1.1471,259213398
2016-04-29,35.41,37.46,34.63,35.53,0.8701,168356804
2016-03-31,31.44,36.25,31.04,35.63,0.8726,164224972
2016-02-29,29.26,32.1162,24.75,31.36,0.768,225001134
2016-01-29,32.29,33.44,26.45,29.29,0.7147,203476313
2015-12-31,32.0,33.94,31.97,32.96,0.8043,140690850
2015-11-30,28.46,31.94,27.63,31.72,0.774,183626266
2015-10-30,24.65,28.78,23.47,28.37,0.6897,201349013
2015-09-30,21.83,24.68,21.4,24.64,0.599,161618932
2015-08-31,20.11,23.95,19.85,22.48,0.5465,236729390
