Date,Open,High,Low,Close,Volume
2024-12-06,242.905,244.63,242.08,242.84,36870619
2024-12-05,243.99,244.54,242.13,243.04,40033878
2024-12-04,242.87,244.11,241.25,243.01,44383935
2024-12-03,239.81,242.76,238.9,242.65,38861017
2024-12-02,237.27,240.79,237.16,239.59,48137103
2024-11-29,234.81,237.81,233.97,237.33,28481377
2024-11-27,234.465,235.69,233.8101,234.93,33498439
2024-11-26,233.33,235.57,233.33,235.06,45986189
2024-11-25,231.46,233.245,229.74,232.87,90152832
2024-11-22,228.06,230.7199,228.06,229.87,38168252
2024-11-21,228.88,230.155,225.7103,228.52,42108327
2024-11-20,228.06,229.93,225.89,229.0,35169566
2024-11-19,226.98,230.16,226.66,228.28,36211774
2024-11-18,225.25,229.74,225.17,228.02,44686020
2024-11-15,226.4,226.92,224.27,225.0,47923696
2024-11-14,225.02,228.87,225.0,228.22,44923941
2024-11-13,224.01,226.65,222.76,225.12,48566217
2024-11-12,224.55,225.59,223.355,224.23,40398299
2024-11-11,225.0,225.7,221.5,224.23,42005602
2024-11-08,227.17,228.66,226.405,226.96,38328824
2024-11-07,224.625,227.875,224.57,227.48,42137691
2024-11-06,222.61,226.065,221.19,222.72,54561121
2024-11-05,221.795,223.95,221.14,223.45,28111338
2024-11-04,220.99,222.79,219.71,222.01,44944468
2024-11-01,220.965,225.35,220.27,222.91,65276741
2024-10-31,229.34,229.83,225.37,225.91,64370086
2024-10-30,232.61,233.47,229.55,230.1,47070907
2024-10-29,233.1,234.325,232.32,233.67,35417247
2024-10-28,233.32,234.73,232.55,233.4,36087134
2024-10-25,229.74,233.22,229.57,231.41,38802304
2024-10-24,229.98,230.82,228.41,230.57,31109503
2024-10-23,234.08,235.144,227.76,230.76,52286979
2024-10-22,233.885,236.22,232.6,235.86,38846578
2024-10-21,234.45,236.85,234.45,236.48,36254470
2024-10-18,236.18,236.18,234.01,235.0,46431472
2024-10-17,233.43,233.85,230.52,232.15,32993810
2024-10-16,231.6,232.12,229.84,231.78,34082240
2024-10-15,233.61,237.49,232.37,233.85,64751367
2024-10-14,228.7,231.73,228.6,231.3,39882085
2024-10-11,229.3,229.41,227.34,227.55,31759188
2024-10-10,227.78,229.5,227.17,229.04,28183544
2024-10-09,225.23,229.75,224.83,229.54,33591091
2024-10-08,224.3,225.98,223.25,225.77,31855693
2024-10-07,224.5,225.69,221.33,221.69,39505354
2024-10-04,227.9,228.0,224.13,226.8,37345098
2024-10-03,225.14,226.805,223.32,225.67,34044158
2024-10-02,225.89,227.37,223.02,226.78,32880605
2024-10-01,229.52,229.65,223.74,226.21,63285048
2024-09-30,230.04,233.0,229.65,233.0,54793391
2024-09-27,228.46,229.52,227.3,227.79,34025967
2024-09-26,227.3,228.5,225.41,227.52,36636707
2024-09-25,224.93,227.29,224.02,226.37,42308715
2024-09-24,228.645,229.35,225.73,227.37,43556068
2024-09-23,227.34,229.45,225.81,226.47,54146023
2024-09-20,229.97,233.09,227.62,228.2,318679888
2024-09-19,224.99,229.82,224.63,228.87,66781315
2024-09-18,217.55,222.71,217.54,220.69,59894928
2024-09-17,215.75,216.9,214.5,216.79,45519339
2024-09-16,216.54,217.22,213.92,216.32,59357427
2024-09-13,223.58,224.04,221.91,222.5,36766619
2024-09-12,222.5,223.55,219.82,222.77,37498225
2024-09-11,221.455,223.09,217.89,222.66,44587072
2024-09-10,218.92,221.48,216.73,220.11,51591033
2024-09-09,220.82,221.27,216.71,220.91,67179965
2024-09-06,223.95,225.24,219.77,220.82,48423011
2024-09-05,221.625,225.48,221.52,222.38,36615398
2024-09-04,221.66,221.78,217.48,220.85,43262758
2024-09-03,228.55,229.0,221.17,222.77,50190574
2024-08-30,230.19,230.4,227.48,229.0,52990770
2024-08-29,230.1,232.92,228.88,229.79,51906297
2024-08-28,227.92,229.86,225.68,226.49,38052167
2024-08-27,225.995,228.85,224.89,228.03,35934559
2024-08-26,226.76,227.28,223.8905,227.18,30602208
2024-08-23,225.6589,228.22,224.33,226.84,38677250
2024-08-22,227.79,228.34,223.9,224.53,43695321
2024-08-21,226.52,227.98,225.05,226.4,34765480
2024-08-20,225.77,227.17,225.45,226.51,30299033
2024-08-19,225.72,225.99,223.04,225.89,40687813
2024-08-16,223.92,226.8271,223.6501,226.05,44340240
2024-08-15,224.6,225.35,222.76,224.72,46414013
2024-08-14,220.57,223.03,219.7,221.72,41960574
2024-08-13,219.01,221.89,219.01,221.27,44155331
2024-08-12,216.07,219.5099,215.6,217.53,38028092
2024-08-09,212.1,216.78,211.97,216.24,42201646
2024-08-08,213.11,214.2,208.83,213.31,47161149
2024-08-07,206.9,213.64,206.39,209.82,63516417
2024-08-06,205.3,209.99,201.07,207.23,69660488
2024-08-05,199.09,213.5,196.0,209.27,119548589
2024-08-02,219.15,225.6,217.71,219.86,105568560
2024-08-01,224.37,224.48,217.02,218.36,62500996
2024-07-31,221.44,223.82,220.63,222.08,50036262
2024-07-30,219.19,220.325,216.12,218.8,41643840
2024-07-29,216.96,219.3,215.75,218.24,36311778
2024-07-26,218.7,219.49,216.01,217.96,41601345
2024-07-25,218.93,220.85,214.62,217.49,51391199
2024-07-24,224.0,224.8,217.13,218.54,61777576
2024-07-23,224.365,226.94,222.68,225.01,39960260
2024-07-22,227.01,227.78,223.09,223.96,48201835
2024-07-19,224.82,226.8,223.275,224.31,49151453
2024-07-18,230.28,230.44,222.27,224.18,66034585
