transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2024-11-19,AAPL,"LEVINSON, ARTHUR D",Director,Common Stock,D,50000.0,229.28
2024-11-18,AAPL,"KONDO, CHRIS",Principal Accounting Officer,Common Stock,D,4130.0,228.87
2024-11-18,AAPL,"LEVINSON, ARTHUR D",Director,Common Stock,D,75000.0,228.66
2024-11-15,AAPL,"LEVINSON, ARTHUR D",Director,Common Stock,D,75000.0,224.68
2024-11-05,AAPL,"ADAMS, KATHERINE L.","SVP, GC and Secretary",Common Stock,D,8000.0,0.0
2024-10-15,AAPL,"KONDO, CHRIS",Principal Accounting Officer,Restricted Stock Unit,D,2226.0,
2024-10-15,AAPL,"KONDO, CHRIS",Principal Accounting Officer,Restricted Stock Unit,D,1898.0,
2024-10-15,AAPL,"KONDO, CHRIS",Principal Accounting Officer,Restricted Stock Unit,D,1914.0,
2024-10-15,AAPL,"KONDO, CHRIS",Principal Accounting Officer,Common Stock,D,3985.0,233.85
2024-10-15,AAPL,"KONDO, CHRIS",Principal Accounting Officer,Common Stock,A,8115.0,
2024-10-15,AAPL,"KONDO, CHRIS",Principal Accounting Officer,Restricted Stock Unit,D,2077.0,
2024-10-04,AAPL,"MAESTRI, LUCA","Senior Vice President, CFO",Common Stock,D,59305.0,226.52
2024-10-02,AAPL,"O'BRIEN, DEIRDRE",Senior Vice President,Common Stock,D,22328.0,227.13
2024-10-02,AAPL,"O'BRIEN, DEIRDRE",Senior Vice President,Common Stock,D,38691.0,226.72
2024-10-02,AAPL,"WILLIAMS, JEFFREY E",COO,Common Stock,D,51674.0,226.8
2024-10-02,AAPL,"WILLIAMS, JEFFREY E",COO,Common Stock,D,8056.0,227.22
2024-10-02,AAPL,"ADAMS, KATHERINE L.","SVP, GC and Secretary",Common Stock,D,5850.0,223.79
2024-10-02,AAPL,"ADAMS, KATHERINE L.","SVP, GC and Secretary",Common Stock,D,6454.0,224.59
2024-10-02,AAPL,"ADAMS, KATHERINE L.","SVP, GC and Secretary",Common Stock,D,7550.0,225.87
2024-10-02,AAPL,"ADAMS, KATHERINE L.","SVP, GC and Secretary",Common Stock,D,38170.0,226.82
2024-10-02,AAPL,"ADAMS, KATHERINE L.","SVP, GC and Secretary",Common Stock,D,2995.0,227.24
2024-10-02,AAPL,"COOK, TIMOTHY D","Director, Chief Executive Officer",Common Stock,D,109741.0,223.75
2024-10-02,AAPL,"COOK, TIMOTHY D","Director, Chief Executive Officer",Common Stock,D,61912.0,224.46
2024-10-02,AAPL,"COOK, TIMOTHY D","Director, Chief Executive Officer",Common Stock,D,45140.0,225.86
2024-10-02,AAPL,"COOK, TIMOTHY D","Director, Chief Executive Officer",Common Stock,D,7193.0,226.57
2024-10-01,AAPL,"MAESTRI, LUCA","Senior Vice President, CFO",Common Stock,D,67977.0,226.21
2024-10-01,AAPL,"O'BRIEN, DEIRDRE",Senior Vice President,Restricted Stock Unit,D,127282.0,
2024-10-01,AAPL,"O'BRIEN, DEIRDRE",Senior Vice President,Common Stock,D,66263.0,226.21
2024-10-01,AAPL,"O'BRIEN, DEIRDRE",Senior Vice President,Common Stock,A,127282.0,
2024-10-01,AAPL,"COOK, TIMOTHY D","Director, Chief Executive Officer",Restricted Stock Unit,D,477301.0,
2024-10-01,AAPL,"COOK, TIMOTHY D","Director, Chief Executive Officer",Common Stock,D,253315.0,226.21
2024-10-01,AAPL,"COOK, TIMOTHY D","Director, Chief Executive Officer",Common Stock,A,477301.0,
2024-10-01,AAPL,"ADAMS, KATHERINE L.","SVP, GC and Secretary",Restricted Stock Unit,D,127282.0,
2024-10-01,AAPL,"ADAMS, KATHERINE L.","SVP, GC and Secretary",Common Stock,D,66263.0,226.21
2024-10-01,AAPL,"ADAMS, KATHERINE L.","SVP, GC and Secretary",Common Stock,A,127282.0,
2024-10-01,AAPL,"MAESTRI, LUCA","Senior Vice President, CFO",Restricted Stock Unit,D,127282.0,
2024-10-01,AAPL,"WILLIAMS, JEFFREY E",COO,Common Stock,A,127282.0,
2024-10-01,AAPL,"MAESTRI, LUCA","Senior Vice President, CFO",Common Stock,A,127282.0,
2024-10-01,AAPL,"WILLIAMS, JEFFREY E",COO,Restricted Stock Unit,D,127282.0,
2024-10-01,AAPL,"WILLIAMS, JEFFREY E",COO,Common Stock,D,67552.0,226.21
2024-09-29,AAPL,"O'BRIEN, DEIRDRE",Senior Vice President,Restricted Stock Unit,A,43901.0,0.0
2024-09-29,AAPL,"COOK, TIMOTHY D","Director, Chief Executive Officer",Restricted Stock Unit,A,164626.0,0.0
2024-09-29,AAPL,"COOK, TIMOTHY D","Director, Chief Executive Officer",Restricted Stock Unit,A,54876.0,0.0
2024-09-29,AAPL,"WILLIAMS, JEFFREY E",COO,Restricted Stock Unit,A,43901.0,0.0
2024-09-29,AAPL,"MAESTRI, LUCA","Senior Vice President, CFO",Restricted Stock Unit,A,32926.0,0.0
2024-09-29,AAPL,"KONDO, CHRIS",Principal Accounting Officer,Restricted Stock Unit,A,11854.0,0.0
2024-09-29,AAPL,"ADAMS, KATHERINE L.","SVP, GC and Secretary",Restricted Stock Unit,A,43901.0,0.0
2024-09-29,AAPL,"MAESTRI, LUCA","Senior Vice President, CFO",Restricted Stock Unit,A,10976.0,0.0
2024-08-15,AAPL,"KONDO, CHRIS",Principal Accounting Officer,Common Stock,D,8706.0,225.0
