Date,Open,High,Low,Close,Volume
2024-12-06 19:55:00,242.3977,242.41,242.3025,242.355,1447
2024-12-06 19:50:00,242.33,242.41,242.3,242.4,1554
2024-12-06 19:45:00,242.32,242.41,242.3025,242.34,875
2024-12-06 19:40:00,242.32,242.41,242.32,242.365,1082
2024-12-06 19:35:00,242.3201,242.41,242.32,242.41,1815
2024-12-06 19:30:00,242.41,242.41,242.3,242.37,338
2024-12-06 19:25:00,242.32,242.41,242.3,242.355,796
2024-12-06 19:20:00,242.41,242.41,242.3,242.325,509
2024-12-06 19:15:00,242.4,242.41,242.35,242.38,906
2024-12-06 19:10:00,242.395,242.41,242.35,242.38,249
2024-12-06 19:05:00,242.4,242.44,242.35,242.41,1436
2024-12-06 19:00:00,242.44,242.44,242.4,242.4,831
2024-12-06 18:55:00,242.42,242.44,242.4,242.42,119
2024-12-06 18:50:00,242.44,242.44,242.4,242.44,735
2024-12-06 18:45:00,242.44,242.44,242.4,242.42,379
2024-12-06 18:40:00,242.42,242.44,242.4,242.42,914
2024-12-06 18:35:00,242.42,242.44,242.4,242.44,890
2024-12-06 18:30:00,242.42,242.44,242.395,242.42,396
2024-12-06 18:25:00,242.395,242.44,242.36,242.42,429
2024-12-06 18:20:00,242.385,242.44,242.31,242.395,1880
2024-12-06 18:15:00,242.4,242.44,242.31,242.385,318
2024-12-06 18:10:00,242.375,242.44,242.31,242.375,864
2024-12-06 18:05:00,242.335,242.44,242.3,242.44,1667
2024-12-06 18:00:00,242.25,242.37,242.25,242.335,179
2024-12-06 17:55:00,242.3,242.44,242.25,242.37,1166
2024-12-06 17:50:00,242.37,242.38,242.3,242.37,3800
2024-12-06 17:45:00,242.41,242.84,242.3,242.36,13983
2024-12-06 17:40:00,242.42,242.44,242.38,242.395,887
2024-12-06 17:35:00,242.435,242.44,242.38,242.41,1219
2024-12-06 17:30:00,242.45,242.84,242.42,242.44,978901
2024-12-06 17:25:00,242.445,242.5,242.42,242.42,3399
