Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,237.27,244.63,237.16,242.84,242.84,208286552
2024-11-29,220.965,237.81,219.71,237.33,237.33,891640714
2024-10-31,229.52,237.49,221.33,225.91,225.6614,930835961
2024-09-30,228.55,233.09,213.92,233.0,232.7436,1231814423
2024-08-30,224.37,232.92,196.0,229.0,228.748,1122666993
2024-07-31,212.09,237.23,211.92,222.08,221.581,1153193377
2024-06-28,192.9,220.2,192.15,210.62,210.1467,1723984420
2024-05-31,169.58,193.0,169.11,192.25,191.818,1336570142
2024-04-30,171.19,178.36,164.075,170.33,169.7155,1240410671
2024-03-28,179.55,180.53,168.49,171.48,170.8613,1430780147
2024-02-29,183.985,191.05,179.25,180.75,180.0979,1161711745
2024-01-31,187.15,196.38,180.17,184.4,183.5015,1187139861
2023-12-29,190.33,199.62,187.4511,192.53,191.5919,1062317718
2023-11-30,171.0,192.93,170.12,189.95,189.0245,1099760711
2023-10-31,171.22,182.34,165.67,170.77,169.7194,1172845791
2023-09-29,189.485,189.98,167.62,171.21,170.1567,1337873796
2023-08-31,196.235,196.73,171.96,187.87,186.7142,1323817340
2023-07-31,193.78,198.23,186.6,196.45,194.9782,996368613
2023-06-30,177.7,194.48,176.9306,193.97,192.5168,1297863403
2023-05-31,169.28,179.35,164.31,177.25,175.9221,1275052503
2023-04-28,164.27,169.85,159.78,169.68,168.1749,967580718
2023-03-31,146.83,165.0,143.9,164.9,163.4373,1520461315
2023-02-28,143.97,157.38,141.32,147.41,146.1024,1307294493
2023-01-31,130.28,147.23,124.17,144.29,142.7926,1443652725
2022-12-30,148.21,150.9199,125.87,129.93,128.5816,1675731304
2022-11-30,155.08,155.45,134.38,148.03,146.4938,1724948219
2022-10-31,138.21,157.5,134.37,153.34,151.4969,1868381344
2022-09-30,156.64,164.26,138.0,138.2,136.5389,2083968147
2022-08-31,161.01,176.15,157.14,157.22,155.3303,1509735435
2022-07-29,136.04,163.63,135.66,162.51,160.3337,1447364668
2022-06-30,149.9,151.74,129.04,136.72,134.889,1749297959
2022-05-31,156.71,166.48,132.61,148.84,146.8467,2400305601
2022-04-29,174.03,178.49,155.38,157.65,155.3116,1683547838
2022-03-31,164.695,179.61,150.1,174.61,172.0201,2171827429
2022-02-28,174.01,176.65,152.0,165.12,162.6708,1628570227
2022-01-31,177.83,182.94,154.7,174.78,171.9681,2106513962
2021-12-31,167.48,182.13,157.8,177.57,174.7132,2443227128
2021-11-30,148.985,165.7,147.48,165.3,162.6406,1688864233
2021-10-29,141.9,153.165,138.27,149.8,147.1759,1565079040
2021-09-30,152.83,157.26,141.27,141.5,139.0213,1797948421
2021-08-31,146.36,153.49,144.5,151.83,149.1704,1462773381
2021-07-30,136.6,150.0,135.76,145.86,143.0895,1916751489
2021-06-30,125.08,137.41,123.13,136.96,134.3586,1606114354
2021-05-28,132.04,134.07,122.25,124.61,122.2432,1711935110
2021-04-30,123.66,137.07,122.49,131.46,128.7455,1889956694
2021-03-31,123.75,128.72,116.21,122.15,119.6278,2650845211
2021-02-26,133.75,137.877,118.39,121.26,118.7561,1825486961
2021-01-29,133.52,145.09,126.382,131.96,129.0418,2239366098
2020-12-31,121.01,138.789,120.01,132.69,129.7556,2319687808
2020-11-30,109.11,121.99,107.32,119.05,116.4173,2122724412
2020-10-30,117.64,125.39,107.72,108.86,106.2691,2895317580
2020-09-30,132.76,137.98,103.1,115.81,113.0537,3886793083
2020-08-31,432.8,515.14,126.0,129.04,125.9688,1184207050
2020-07-31,365.12,425.66,356.58,425.04,103.5399,755162226
2020-06-30,317.75,372.38,317.21,364.8,88.8654,810900890
2020-05-29,286.25,324.24,285.85,317.94,77.4503,701660022
2020-04-30,246.5,294.53,236.9,293.8,71.3811,816530808
2020-03-31,282.28,304.0,212.61,254.29,61.7818,1570331732
2020-02-28,304.3,327.22,256.37,273.36,66.415,755223231
2020-01-31,296.24,327.85,292.75,309.51,75.0174,734044103
2019-12-31,267.27,293.97,256.29,293.65,71.1734,598871365
2019-11-29,249.54,268.0,249.16,267.25,64.7747,448922253
2019-10-31,225.07,249.75,215.13,248.76,60.1147,621478768
2019-09-30,206.43,226.42,204.22,223.97,54.1241,547408488
2019-08-30,213.9,218.03,192.58,208.74,50.4436,683515746
2019-07-31,203.17,221.37,198.41,213.04,51.2863,473957094
2019-06-28,175.6,201.57,170.27,197.92,47.6463,515218768
2019-05-31,209.88,215.31,174.99,175.07,42.1455,739456573
2019-04-30,191.64,208.48,188.38,200.67,48.1205,506117812
2019-03-29,174.28,197.69,169.5,189.95,45.5498,650981384
2019-02-28,166.96,175.87,165.93,173.15,41.5212,472540723
2019-01-31,154.89,169.0,142.0,166.44,39.7419,828099179
2018-12-31,184.46,184.94,146.59,157.74,37.6645,898917007
2018-11-30,219.05,222.36,170.26,178.58,42.6406,961321947
2018-10-31,227.95,233.47,206.09,218.86,52.0762,789748068
2018-09-28,228.41,229.67,215.3,225.74,53.7132,678972040
2018-08-31,199.13,228.87,197.31,227.63,54.163,700318837
2018-07-31,183.82,195.96,183.42,190.29,45.1195,393843881
2018-06-29,187.99,194.2,180.73,185.11,43.8912,527624365
2018-05-31,166.41,190.37,165.27,186.87,44.3085,620976206
2018-04-30,166.64,178.94,160.63,165.26,39.0335,666360147
2018-03-29,178.54,183.5,164.94,167.78,39.6287,701387082
2018-02-28,167.17,180.62,150.24,178.12,42.071,888378184
2018-01-31,170.16,180.1,164.7,167.43,39.3874,639245534
2017-12-29,169.95,177.2,166.46,169.23,39.8109,518560008
2017-11-30,169.87,176.24,165.28,171.85,40.4272,581374608
2017-10-31,154.26,169.6499,152.46,169.04,39.6233,496135305
2017-09-29,164.8,164.94,149.16,154.12,36.126,669594016
2017-08-31,149.1,164.52,148.41,164.0,38.4419,638221161
2017-07-31,144.88,153.99,142.41,148.73,34.7217,411377229
2017-06-30,153.17,155.98,142.2,144.02,33.6221,664986406
2017-05-31,145.1,156.65,144.27,152.76,35.6625,635292989
2017-04-28,143.71,145.46,140.06,143.65,33.3991,371280180
2017-03-31,137.89,144.5,137.05,143.66,33.4014,562091214
2017-02-28,127.03,137.48,127.01,136.99,31.8506,574968547
2017-01-31,115.8,122.44,114.76,121.35,28.0933,563331160
2016-12-30,110.365,118.0166,108.25,115.82,26.8131,608771645
2016-11-30,113.46,113.77,104.08,110.52,25.5861,721554967
2016-10-31,112.71,118.69,112.28,113.54,26.1496,686914224
2016-09-30,106.14,116.18,102.53,113.05,26.0367,970096738
2016-08-31,104.41,110.23,104.0,106.1,24.436,630128567
2016-07-29,95.49,104.55,94.37,104.21,23.8722,685779613
2016-06-30,99.02,101.89,91.5,95.6,21.8999,780630235
2016-05-31,93.965,100.73,89.47,99.86,22.8757,901144768
2016-04-29,108.78,112.39,92.51,93.74,21.3433,872383623
2016-03-31,97.65,110.42,97.42,108.99,24.8155,745756771
2016-02-29,96.47,98.89,92.59,96.69,22.015,810862547
2016-01-29,102.61,105.85,92.39,97.34,22.0443,1271848087
2015-12-31,118.75,119.86,104.82,105.26,23.8379,922626259
2015-11-30,119.87,123.82,111.0,118.3,26.7911,750606735
2015-10-30,109.07,121.22,107.31,119.5,26.9469,1113703829
2015-09-30,110.18,116.89,107.36,109.95,24.7934,1203789074
2015-08-31,121.5,122.57,92.0,112.76,25.4271,1606359115
2015-07-31,126.9,132.97,119.22,121.3,27.2298,1058280697
2015-06-30,131.2,131.39,124.48,125.425,28.1558,878606841
2015-05-29,126.1,132.97,123.36,130.28,29.2457,954152126
2015-04-30,124.82,134.54,123.1,125.15,27.978,996135511
2015-03-31,129.25,130.28,121.63,124.43,27.817,1138641910
2015-02-27,118.05,133.6,116.08,128.46,28.7179,1136535493
2015-01-30,111.39,120.0,104.63,117.16,26.0895,1304879185
2014-12-31,118.81,119.25,106.26,110.38,24.5797,1073775862
2014-11-28,108.22,119.75,107.72,118.93,26.4837,820471729
2014-10-31,100.59,108.04,95.18,108.0,23.9462,1360280122
2014-09-30,103.06,103.74,96.14,100.75,22.3387,1523782675
