Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,237.27,244.63,237.16,242.84,242.84,208286552
2024-11-29,231.46,237.81,229.74,237.33,237.33,198118837
2024-11-22,225.25,230.7199,225.17,229.87,229.87,196343939
2024-11-15,225.0,228.87,221.5,225.0,225.0,223817755
2024-11-08,220.99,228.66,219.71,226.96,226.96,208083442
2024-11-01,233.32,234.73,220.27,222.91,222.6647,248222115
2024-10-25,234.45,236.85,227.76,231.41,231.1554,197299834
2024-10-18,228.7,237.49,228.6,235.0,234.7414,218140974
2024-10-11,224.5,229.75,221.33,227.55,227.2996,164894870
2024-10-04,230.04,233.0,223.02,226.8,226.5505,222348300
2024-09-27,227.34,229.52,224.02,227.79,227.5394,210673480
2024-09-20,216.54,233.09,213.92,228.2,227.9489,550232897
2024-09-13,220.82,224.04,216.71,222.5,222.2552,237622914
2024-09-06,228.55,229.0,217.48,220.82,220.577,178491741
2024-08-30,226.76,232.92,223.8905,229.0,228.748,209486001
2024-08-23,225.72,228.34,223.04,226.84,226.5904,188124897
2024-08-16,216.07,226.8271,215.6,226.05,225.8013,214898250
2024-08-09,199.09,216.78,196.0,216.24,215.7541,342088289
2024-08-02,216.96,225.6,215.75,219.86,219.366,296061436
2024-07-26,227.01,227.78,214.62,217.96,217.4702,242932215
2024-07-19,236.48,237.23,222.27,224.31,223.806,278397452
2024-07-12,227.09,233.08,223.25,230.54,230.022,287640514
2024-07-05,212.09,226.45,211.92,226.34,225.8314,216231316
2024-06-28,207.72,216.07,206.59,210.62,210.1467,335969485
2024-06-21,213.37,218.95,207.11,207.49,207.0238,506265358
2024-06-14,196.9,220.2,192.15,212.49,212.0125,635755143
2024-06-07,192.9,196.94,192.52,196.89,196.4476,245994434
2024-05-31,191.51,193.0,189.1,192.25,191.818,230454285
2024-05-24,189.325,192.8231,186.625,189.98,189.5531,208652122
2024-05-17,185.435,191.095,184.62,189.87,189.4434,288966571
2024-05-10,182.354,185.09,180.42,183.05,182.6387,300674993
2024-05-03,173.37,187.0,169.11,183.38,182.7184,441926366
2024-04-26,165.515,171.34,164.77,169.3,168.6892,241302722
2024-04-19,175.36,176.63,164.075,165.0,164.4047,309416498
2024-04-12,169.03,178.36,167.11,176.55,175.913,321898799
2024-04-05,171.19,171.92,168.2302,169.58,168.9682,233688457
2024-03-28,170.565,173.6,169.45,171.48,170.8613,237622732
2024-03-22,175.57,178.67,170.06,172.28,171.6584,361583938
2024-03-15,172.94,174.38,170.285,172.62,171.9972,364748130
2024-03-08,176.15,176.9,168.49,170.73,170.114,393262265
2024-03-01,182.24,183.9225,177.38,179.66,179.0118,354385890
2024-02-23,181.79,185.04,180.0,182.52,181.8615,192607112
2024-02-16,188.415,188.67,181.35,182.31,181.6523,268128941
2024-02-09,188.15,191.05,185.84,188.85,188.1687,252715796
2024-02-02,192.01,192.2,179.25,185.85,184.9445,325909883
2024-01-26,192.3,196.38,191.94,192.42,191.4824,255368848
2024-01-19,182.16,191.95,180.3,191.56,190.6266,259829213
2024-01-12,182.085,187.05,181.5,185.92,185.0141,238385377
2024-01-05,187.15,188.44,180.17,181.18,180.2972,275083628
2023-12-29,193.61,194.66,191.09,192.53,191.5919,153541162
2023-12-22,196.09,197.68,192.97,193.6,192.6567,231859933
2023-12-15,193.11,199.62,191.42,197.57,196.6073,379414755
2023-12-08,189.98,195.99,187.4511,195.71,194.7564,251797045
2023-12-01,189.92,192.09,188.19,191.24,190.3082,216481441
2023-11-24,189.89,192.93,189.25,189.97,189.0444,148351454
2023-11-17,185.82,190.96,184.21,189.69,188.7657,262880715
2023-11-10,176.38,186.565,176.21,186.4,185.4918,303653020
2023-11-03,169.02,177.78,167.9,176.65,175.5632,310075876
2023-10-27,170.91,174.01,165.67,168.22,167.1851,286078102
2023-10-20,176.75,179.075,172.64,172.88,171.8164,288377600
2023-10-13,176.81,182.34,175.8,178.85,177.7497,241839090
2023-10-06,171.22,177.99,170.82,177.49,176.3981,260574027
2023-09-29,174.2,176.97,167.62,171.21,170.1567,285838995
2023-09-22,176.48,179.695,173.86,174.79,173.7147,297395196
2023-09-15,180.07,180.3,173.58,175.01,173.9333,403746390
2023-09-08,188.28,189.98,173.54,178.18,177.0838,305126712
2023-09-01,180.09,189.92,178.545,189.46,188.2944,264199503
2023-08-25,175.07,181.55,173.735,178.61,177.5112,247514268
2023-08-18,177.97,179.69,171.96,174.49,173.4165,261498109
2023-08-11,182.13,183.13,176.55,177.79,176.6962,332501087
2023-08-04,196.06,196.73,181.92,181.99,180.6266,302694989
2023-07-28,193.41,197.2,192.25,195.83,194.3629,226011789
2023-07-21,191.9,198.23,191.23,191.94,190.502,310914135
2023-07-14,189.26,191.7,186.6,190.69,189.2614,250269110
2023-07-07,193.78,193.88,189.2,190.68,189.2514,170349466
2023-06-30,186.83,194.48,185.23,193.97,192.5168,281596832
2023-06-23,184.41,187.56,182.5901,186.68,185.2814,203677112
2023-06-16,181.27,186.99,180.97,184.92,183.5346,333836397
2023-06-09,182.63,184.951,177.32,180.96,179.6043,347854340
2023-06-02,176.96,181.78,176.57,180.95,179.5943,286176391
2023-05-26,173.98,175.77,170.52,175.43,174.1157,250354916
2023-05-19,173.16,176.39,170.4201,175.16,173.8477,258634688
2023-05-12,172.48,174.59,171.0,172.57,171.2771,250061982
2023-05-05,169.28,174.3,164.31,173.57,172.0304,360723248
2023-04-28,165.0,169.85,162.8,169.68,168.1749,254947569
2023-04-21,165.09,168.16,164.03,165.02,163.5562,249150510
2023-04-14,161.42,166.32,159.78,165.21,163.7445,263326290
2023-04-06,164.27,166.84,161.8,164.66,163.1994,200156349
2023-03-31,159.94,165.0,155.98,164.9,163.4373,267939590
2023-03-24,155.07,162.14,154.15,160.25,158.8285,350159914
2023-03-17,147.805,156.74,147.7,155.0,153.6251,410519933
2023-03-10,153.785,156.3,147.6096,148.5,147.1828,313350829
2023-03-03,147.71,151.11,143.9,151.03,149.6903,274036517
2023-02-24,150.2,151.3,145.7202,146.71,145.4086,213742390
2023-02-17,150.952,156.33,150.85,152.55,151.1968,316887898
2023-02-10,152.575,155.23,149.22,151.01,149.6705,330758787
2023-02-03,144.955,157.38,141.32,154.5,152.8967,480249683
2023-01-27,138.12,147.23,137.9,145.93,144.4156,338655715
2023-01-20,134.83,138.61,133.77,137.87,136.4392,271823466
2023-01-13,130.465,134.92,128.12,134.76,133.3615,333335284
2023-01-06,130.28,130.9,124.17,129.62,128.2749,369948527
2022-12-30,131.38,131.41,125.87,129.93,128.5816,307184140
2022-12-23,135.11,136.81,129.64,131.86,130.4916,384620427
2022-12-16,142.7,149.9692,133.73,134.51,133.1141,505728804
2022-12-09,147.77,150.9199,140.0,142.16,140.6847,341500071
2022-12-02,145.14,149.13,140.355,147.81,146.2761,401189067
2022-11-25,150.16,151.83,146.925,148.11,146.573,204025457
2022-11-18,148.97,153.59,146.15,151.29,149.72,382679685
2022-11-11,137.11,150.01,134.5933,149.7,148.1465,461034592
2022-11-04,153.155,155.45,134.38,138.38,136.944,510660451
2022-10-28,147.185,157.5,144.13,155.74,153.8681,513092901
2022-10-21,141.065,147.8479,140.27,147.27,145.4999,397216487
2022-10-14,140.42,144.52,134.37,138.38,136.7167,424188362
2022-10-07,138.21,147.54,137.685,140.09,138.4062,435940423
2022-09-30,149.66,154.72,138.0,138.2,136.5389,577537048
2022-09-23,149.31,158.74,148.56,150.43,148.6219,473155533
2022-09-16,159.59,164.26,148.37,150.7,148.8886,568337936
2022-09-09,156.47,157.82,152.68,157.37,155.4785,313749966
2022-09-02,161.145,162.9,154.67,155.81,153.9372,389809404
2022-08-26,169.69,171.05,163.56,163.62,161.6533,307194601
2022-08-19,171.52,176.15,171.3101,171.52,169.4584,322647151
2022-08-12,166.37,172.17,163.25,172.1,170.0314,318856922
2022-08-05,161.01,167.19,159.63,165.35,163.3625,322415021
2022-07-29,154.01,163.63,150.8,162.51,160.3337,370548915
2022-07-22,150.74,156.28,146.7,154.09,152.0264,360988692
2022-07-15,145.67,150.86,142.1201,150.17,148.1589,366480107
2022-07-08,137.77,147.55,136.93,147.04,145.0708,278295402
2022-07-01,142.695,143.49,133.7737,138.93,137.0694,373781666
2022-06-24,133.42,141.91,133.32,141.66,139.7629,315960327
2022-06-17,132.87,137.34,129.04,131.56,129.7981,541006195
2022-06-10,147.03,149.8697,137.06,137.13,135.2935,354396344
2022-06-03,149.07,151.74,144.46,145.38,143.4331,338923395
2022-05-27,137.79,149.68,137.14,149.64,147.636,495921758
2022-05-20,145.55,149.77,132.61,137.59,135.7474,548244690
2022-05-13,154.925,156.74,138.8,147.11,145.1399,686227375
2022-05-06,156.71,166.48,153.27,157.28,155.1737,566193362
2022-04-29,161.12,166.2,155.38,157.65,155.3116,540082324
2022-04-22,163.92,171.53,161.5,161.79,159.3902,376576076
2022-04-14,168.71,171.27,165.04,165.29,162.8383,297460188
2022-04-08,174.57,178.49,169.2,170.09,167.5671,390677922
2022-04-01,172.17,179.61,171.94,174.31,171.7245,465395123
2022-03-25,163.51,175.28,163.015,174.72,172.1284,438484780
2022-03-18,151.45,164.48,150.1,163.98,161.5477,501667481
2022-03-11,163.36,165.02,154.5,154.73,152.4349,521334165
2022-03-04,163.06,168.91,161.97,163.17,160.7497,418753837
2022-02-25,164.98,166.69,152.0,164.85,162.4048,413588646
2022-02-18,167.37,173.34,166.19,167.3,164.8185,364011266
2022-02-11,172.86,176.65,168.04,168.64,166.1386,412902045
2022-02-04,170.16,176.2399,169.51,172.39,169.833,458553231
2022-01-28,160.02,170.35,154.7,170.33,167.5897,688670659
2022-01-21,171.51,172.54,162.3,162.41,159.7971,397684401
2022-01-14,169.08,177.18,168.17,173.07,170.2856,422454950
2022-01-07,177.83,182.94,171.03,172.17,169.4001,482162362
2021-12-31,177.085,181.33,177.07,177.57,174.7132,337847299
2021-12-23,168.28,176.8499,167.46,176.28,173.4439,359176889
2021-12-17,181.115,182.13,169.69,171.14,168.3866,769789942
2021-12-10,164.29,179.63,164.28,179.45,176.5629,569227705
2021-12-03,159.37,170.3,157.8,161.84,159.2363,669981566
2021-11-26,161.68,165.7,156.36,156.81,154.2872,359933163
2021-11-19,150.37,161.02,149.34,160.55,157.967,462419283
2021-11-12,151.41,151.57,147.48,149.99,147.5769,281026556
2021-11-05,148.985,152.43,147.8,151.28,148.8462,322688958
2021-10-29,148.68,153.165,146.4128,149.8,147.1759,392739936
2021-10-22,143.445,150.18,143.16,148.69,146.0854,340691290
2021-10-15,142.27,144.895,139.2,144.84,142.3028,354098233
2021-10-08,141.76,144.215,138.27,142.9,140.3968,382910000
2021-10-01,145.47,145.96,139.1101,142.65,140.1512,441421358
2021-09-24,143.8,147.4701,141.27,146.92,144.3464,394033205
2021-09-17,150.63,151.42,145.76,146.06,143.5014,492884912
2021-09-10,154.97,157.26,148.7,148.97,146.3605,354897433
2021-09-03,149.0,154.98,148.61,154.3,151.5971,386760934
2021-08-27,148.31,150.86,146.83,148.6,145.997,272129118
2021-08-20,148.535,151.68,144.5,148.19,145.5941,429624447
2021-08-13,146.2,149.4444,145.3,149.1,146.4882,299050639
2021-08-06,146.36,148.045,145.18,146.14,143.58,284559337
2021-07-30,148.27,149.83,142.54,145.86,143.0895,420947531
2021-07-23,143.75,148.7177,141.67,148.56,145.7383,441563639
2021-07-16,146.21,150.0,143.63,146.39,143.6095,504249326
2021-07-09,140.07,145.65,140.07,145.11,142.3538,418559640
2021-07-02,133.41,140.0,133.35,139.96,137.3016,321360130
2021-06-25,130.3,134.64,129.21,133.11,130.5817,354155878
2021-06-18,127.82,132.55,127.07,130.46,127.982,456667151
2021-06-11,126.17,128.46,124.8321,127.35,124.9311,327048055
2021-06-04,125.08,126.16,123.13,125.89,123.4989,278314493
2021-05-28,126.01,128.32,124.55,124.61,122.2432,357615057
2021-05-21,126.82,128.0,122.86,125.43,123.0476,386352101
2021-05-14,129.41,129.54,122.25,127.45,125.0292,514165627
2021-05-07,132.04,134.07,126.7,130.21,127.7368,453802325
2021-04-30,134.83,137.07,131.065,131.46,128.7455,501621389
2021-04-23,133.51,135.53,131.3001,134.32,131.5465,421246935
2021-04-16,132.52,135.0,130.63,134.16,131.3898,444178798
2021-04-09,123.87,133.04,123.07,132.995,130.2488,447820438
2021-04-01,121.65,124.18,118.86,123.0,120.4602,359904082
2021-03-26,120.33,124.24,118.92,121.21,118.7072,488825826
2021-03-19,121.41,127.22,119.675,119.99,117.5124,626770404
2021-03-12,120.93,123.21,116.21,121.03,118.5309,586977280
2021-03-05,123.75,128.72,117.57,121.42,118.9128,663456753
2021-02-26,128.01,129.72,118.39,121.26,118.7561,680391444
2021-02-19,135.49,136.01,127.41,129.87,127.1884,362474097
2021-02-12,136.03,137.877,133.6921,135.37,132.5748,344357350
2021-02-05,133.75,137.42,130.93,136.76,133.9361,438264070
2021-01-29,143.07,145.09,130.21,131.96,129.0418,716990967
2021-01-22,127.78,139.85,126.938,139.07,135.9945,430065722
2021-01-15,129.19,131.45,126.86,127.14,124.3284,481518252
2021-01-08,133.52,133.6116,126.382,132.05,129.1298,610791157
2020-12-31,133.99,138.789,131.72,132.69,129.7556,439740666
2020-12-24,125.02,134.405,123.449,131.97,129.0516,433757134
2020-12-18,122.6,129.58,121.54,126.655,123.8541,621758148
2020-12-11,122.31,125.95,120.15,122.41,119.703,452278651
2020-12-04,116.97,123.78,116.81,122.25,119.5465,541563385
2020-11-27,117.18,117.6202,112.59,116.59,114.0117,364376131
2020-11-20,118.92,120.99,116.81,117.34,114.7451,389493361
2020-11-13,120.5,121.99,114.13,119.26,116.6226,589872919
2020-11-06,109.11,119.62,107.32,118.69,116.0652,609571825
2020-10-30,114.01,117.28,107.72,108.86,106.2691,684767901
2020-10-23,119.96,120.419,114.28,115.04,112.302,519569644
2020-10-16,120.06,125.39,118.15,119.02,116.1873,881572555
2020-10-09,113.91,117.0,112.25,116.97,114.186,548575054
2020-10-02,115.01,117.72,112.22,113.02,110.3301,641240539
2020-09-25,104.54,112.86,103.1,112.28,109.6077,847212649
2020-09-18,114.72,118.829,106.09,106.84,104.2971,944934651
2020-09-11,113.95,120.5,110.0,112.0,109.3343,771441734
2020-09-04,127.58,137.98,110.89,120.96,118.0811,1166301669
2020-08-28,514.79,515.14,492.21,499.23,121.837,265909531
2020-08-21,464.25,499.472,455.8501,497.48,121.4099,208464758
2020-08-14,450.4,464.17,436.4267,459.63,112.1726,235474473
2020-08-07,432.8,457.65,431.57,444.45,108.468,250852555
2020-07-31,374.84,425.66,372.99,425.04,103.5399,211898609
2020-07-24,385.67,397.0,356.58,370.46,90.2442,165885792
2020-07-17,389.06,399.82,375.51,385.31,93.8617,179660754
2020-07-10,370.0,385.27,369.87,383.68,93.4646,141212101
2020-07-02,353.25,370.47,351.28,364.11,88.6974,124222310
2020-06-26,351.34,372.38,351.15,353.63,86.1444,220750873
2020-06-19,333.25,356.56,332.58,349.72,85.1919,194985086
2020-06-12,330.25,354.77,327.32,338.8,82.5318,202956789
2020-06-05,317.75,331.75,317.21,331.5,80.7535,124490802
2020-05-29,323.5,324.24,313.09,317.94,77.4503,131465363
2020-05-22,313.17,320.89,310.32,318.89,77.6817,133274690
2020-05-15,308.1,319.69,300.21,307.71,74.9583,208536826
2020-05-08,289.17,310.35,286.32,310.13,75.5478,168228968
2020-05-01,281.8,299.0,278.2,289.07,70.2319,197513427
2020-04-24,277.95,283.01,265.43,282.97,68.7498,169846750
2020-04-17,268.31,288.25,265.83,282.8,68.7085,207386812
2020-04-09,250.9,271.7,249.38,267.99,65.1103,183929846
2020-04-03,250.74,262.49,236.9,241.41,58.6525,209252759
2020-03-27,228.08,258.68,212.61,247.74,60.1904,346165813
2020-03-20,241.95,259.08,228.0,229.24,55.6957,405065837
