Date,Open,High,Low,Close,Volume
2024-12-06,237.27,244.63,237.16,242.84,208286552
2024-11-29,231.46,237.81,229.74,237.33,198118837
2024-11-22,225.25,230.7199,225.17,229.87,196343939
2024-11-15,225.0,228.87,221.5,225.0,223817755
2024-11-08,220.99,228.66,219.71,226.96,208083442
2024-11-01,233.32,234.73,220.27,222.91,248222115
2024-10-25,234.45,236.85,227.76,231.41,197299834
2024-10-18,228.7,237.49,228.6,235.0,218140974
2024-10-11,224.5,229.75,221.33,227.55,164894870
2024-10-04,230.04,233.0,223.02,226.8,222348300
2024-09-27,227.34,229.52,224.02,227.79,210673480
2024-09-20,216.54,233.09,213.92,228.2,550232897
2024-09-13,220.82,224.04,216.71,222.5,237622914
2024-09-06,228.55,229.0,217.48,220.82,178491741
2024-08-30,226.76,232.92,223.8905,229.0,209486001
2024-08-23,225.72,228.34,223.04,226.84,188124897
2024-08-16,216.07,226.8271,215.6,226.05,214898250
2024-08-09,199.09,216.78,196.0,216.24,342088289
2024-08-02,216.96,225.6,215.75,219.86,296061436
2024-07-26,227.01,227.78,214.62,217.96,242932215
2024-07-19,236.48,237.23,222.27,224.31,278397452
2024-07-12,227.09,233.08,223.25,230.54,287640514
2024-07-05,212.09,226.45,211.92,226.34,216231316
2024-06-28,207.72,216.07,206.59,210.62,335969485
2024-06-21,213.37,218.95,207.11,207.49,506265358
2024-06-14,196.9,220.2,192.15,212.49,635755143
2024-06-07,192.9,196.94,192.52,196.89,245994434
2024-05-31,191.51,193.0,189.1,192.25,230454285
2024-05-24,189.325,192.8231,186.625,189.98,208652122
2024-05-17,185.435,191.095,184.62,189.87,288966571
2024-05-10,182.354,185.09,180.42,183.05,300674993
2024-05-03,173.37,187.0,169.11,183.38,441926366
2024-04-26,165.515,171.34,164.77,169.3,241302722
2024-04-19,175.36,176.63,164.075,165.0,309416498
2024-04-12,169.03,178.36,167.11,176.55,321898799
2024-04-05,171.19,171.92,168.2302,169.58,233688457
2024-03-28,170.565,173.6,169.45,171.48,237622732
2024-03-22,175.57,178.67,170.06,172.28,361583938
2024-03-15,172.94,174.38,170.285,172.62,364748130
2024-03-08,176.15,176.9,168.49,170.73,393262265
2024-03-01,182.24,183.9225,177.38,179.66,354385890
2024-02-23,181.79,185.04,180.0,182.52,192607112
2024-02-16,188.415,188.67,181.35,182.31,268128941
2024-02-09,188.15,191.05,185.84,188.85,252715796
2024-02-02,192.01,192.2,179.25,185.85,325909883
2024-01-26,192.3,196.38,191.94,192.42,255368848
2024-01-19,182.16,191.95,180.3,191.56,259829213
2024-01-12,182.085,187.05,181.5,185.92,238385377
2024-01-05,187.15,188.44,180.17,181.18,275083628
2023-12-29,193.61,194.66,191.09,192.53,153541162
2023-12-22,196.09,197.68,192.97,193.6,231859933
2023-12-15,193.11,199.62,191.42,197.57,379414755
2023-12-08,189.98,195.99,187.4511,195.71,251797045
2023-12-01,189.92,192.09,188.19,191.24,216481441
2023-11-24,189.89,192.93,189.25,189.97,148351454
2023-11-17,185.82,190.96,184.21,189.69,262880715
