Date,Open,High,Low,Close,Volume
2024-12-06,220.75,227.15,220.6,227.03,44178069
2024-12-05,218.03,222.15,217.3,220.55,41140220
2024-12-04,215.96,220.0,215.75,218.16,48745716
2024-12-03,210.31,214.02,209.65,213.44,32214828
2024-12-02,209.96,212.99,209.5101,210.71,39523185
2024-11-29,205.83,208.2,204.59,207.89,24892447
2024-11-27,206.98,207.64,205.05,205.74,28061638
2024-11-26,201.9,208.0,201.79,207.86,41673737
2024-11-25,199.28,201.9499,199.0,201.45,40685672
2024-11-22,198.25,199.2599,196.75,197.12,31530844
2024-11-21,203.49,203.49,195.75,198.38,58800042
2024-11-20,202.98,203.13,199.45,202.88,32768989
2024-11-19,199.33,205.3,198.78,204.61,31197867
2024-11-18,204.15,204.67,200.95,201.7,36512465
2024-11-15,206.76,207.34,199.61,202.61,86591144
2024-11-14,214.16,215.9,210.88,211.48,42620309
2024-11-13,209.4,215.09,209.14,214.1,46212943
2024-11-12,208.37,209.54,206.01,208.91,38942918
2024-11-11,208.5,209.65,205.59,206.84,35456012
2024-11-08,209.72,209.9633,207.44,208.18,36075846
2024-11-07,207.44,212.25,207.19,210.05,52878383
2024-11-06,200.01,207.55,199.14,207.09,72292167
2024-11-05,196.04,199.82,195.99,199.5,30564784
2024-11-04,196.45,197.33,194.3101,195.78,38492062
2024-11-01,199.0,200.5,197.02,197.93,99687847
2024-10-31,190.51,190.6,185.23,186.4,75146759
2024-10-30,194.695,195.61,192.42,192.73,37707550
2024-10-29,188.58,191.4599,187.815,190.83,35690158
2024-10-28,189.565,190.21,188.21,188.39,27930836
2024-10-25,187.85,190.45,187.53,187.83,29362060
2024-10-24,185.25,187.11,183.86,186.38,21647395
2024-10-23,188.85,189.16,183.69,184.71,31937089
2024-10-22,188.35,191.5201,186.975,189.7,29650593
2024-10-21,188.05,189.46,186.4,189.07,24639393
2024-10-18,187.15,190.74,186.28,188.99,37417670
2024-10-17,188.22,188.94,186.0,187.53,25039414
2024-10-16,187.05,187.78,185.61,186.89,23456812
2024-10-15,187.63,188.41,184.58,187.69,32178925
2024-10-14,189.78,189.83,187.36,187.54,22614407
2024-10-11,186.63,189.9284,186.3,188.82,25751557
2024-10-10,187.13,188.134,185.83,186.65,27785043
2024-10-09,182.82,185.845,182.05,185.17,26343117
2024-10-08,181.915,183.09,180.92,182.72,26372086
2024-10-07,182.95,183.6,180.25,180.8,42364201
2024-10-04,185.75,187.6,183.6,186.51,41079011
2024-10-03,183.045,183.44,180.875,181.96,30204302
2024-10-02,184.44,186.6,184.04,184.76,23704056
2024-10-01,184.9,186.19,183.4519,185.13,36044906
2024-09-30,187.14,188.49,184.65,186.33,41680400
2024-09-27,190.68,190.9,187.34,187.97,36002316
2024-09-26,194.31,194.53,189.54,191.16,36334854
2024-09-25,193.75,193.9498,192.16,192.53,26391144
2024-09-24,194.27,195.37,190.13,193.96,43478926
2024-09-23,191.64,194.45,190.57,193.88,36993111
2024-09-20,190.23,191.84,187.41,191.6,100378553
2024-09-19,190.04,190.99,188.47,189.87,39543168
2024-09-18,186.45,188.8,185.06,186.43,34448130
2024-09-17,186.85,189.45,186.14,186.88,26091682
2024-09-16,185.29,185.81,183.36,184.89,26065485
2024-09-13,187.0,188.5,185.91,186.49,26495351
2024-09-12,184.8,187.41,183.54,187.0,33622483
2024-09-11,180.095,184.99,175.73,184.52,42564698
2024-09-10,177.49,180.5,176.79,179.55,36233796
2024-09-09,174.53,175.85,173.51,175.4,29037362
2024-09-06,177.24,178.38,171.16,171.39,41466537
2024-09-05,175.0,179.875,174.995,177.89,40170526
2024-09-04,174.48,175.98,172.54,173.33,29682478
2024-09-03,177.55,178.26,175.26,176.25,37817511
2024-08-30,172.78,178.9,172.6,178.5,43429355
2024-08-29,173.22,174.29,170.81,172.12,26407815
2024-08-28,173.69,173.69,168.92,170.8,29045025
2024-08-27,174.15,174.89,172.25,173.12,29841979
2024-08-26,176.7,177.4682,174.3,175.5,22366236
2024-08-23,177.34,178.9699,175.24,177.04,29150091
2024-08-22,181.38,181.47,175.68,176.13,32047482
2024-08-21,179.92,182.385,178.8937,180.11,35599120
2024-08-20,177.92,179.01,177.4308,178.88,26255204
2024-08-19,177.64,178.3,176.16,178.22,31129807
2024-08-16,177.04,178.34,176.2601,177.06,31489175
2024-08-15,174.86,177.91,173.99,177.59,51698513
2024-08-14,172.11,172.28,168.86,170.1,28843804
2024-08-13,167.81,171.04,167.1,170.23,39237915
2024-08-12,168.14,168.55,166.1101,166.8,30072788
2024-08-09,166.4,168.55,165.85,166.94,36401049
2024-08-08,165.165,166.6899,162.55,165.8,44616206
2024-08-07,166.55,167.58,161.43,162.77,48408240
2024-08-06,161.71,165.08,158.5404,161.93,59950830
2024-08-05,154.21,162.96,151.61,161.02,83149437
2024-08-02,166.75,168.77,160.55,167.9,141448365
2024-08-01,189.285,190.6,181.87,184.07,70435635
2024-07-31,185.05,187.94,184.46,186.98,41667326
2024-07-30,184.72,185.86,179.38,181.71,39508574
2024-07-29,183.84,184.75,182.38,183.2,33270123
2024-07-26,180.39,183.19,180.24,182.5,29505964
2024-07-25,182.91,183.8958,176.8,179.85,44464163
2024-07-24,183.2,185.45,180.41,180.83,41532360
2024-07-23,184.1,189.39,183.56,186.41,47537670
2024-07-22,185.0,185.06,182.48,182.55,39931923
2024-07-19,181.14,184.93,180.11,183.13,43081829
2024-07-18,189.59,189.68,181.448,183.75,51043626
