Date,Open,High,Low,Close,Volume
2024-12-06 19:55:00,226.42,226.5,226.38,226.39,6066
2024-12-06 19:50:00,226.44,226.46,226.38,226.42,3679
2024-12-06 19:45:00,226.425,226.47,226.3822,226.43,2083
2024-12-06 19:40:00,226.45,226.47,226.21,226.47,1330
2024-12-06 19:35:00,226.37,226.48,226.2,226.47,966
2024-12-06 19:30:00,226.49,226.49,226.16,226.37,1087
2024-12-06 19:25:00,226.375,226.49,226.1,226.2967,4317
2024-12-06 19:20:00,226.445,226.49,226.2101,226.3,4871
2024-12-06 19:15:00,226.49,226.49,226.27,226.4,2071
2024-12-06 19:10:00,226.44,226.6,226.25,226.35,4164
2024-12-06 19:05:00,226.6,226.6,226.44,226.52,5008
2024-12-06 19:00:00,226.45,226.58,226.44,226.45,864
2024-12-06 18:55:00,226.47,226.58,226.43,226.58,752
2024-12-06 18:50:00,226.53,226.53,226.43,226.465,2028
2024-12-06 18:45:00,226.52,226.57,226.5,226.5,2586
2024-12-06 18:40:00,226.565,226.57,226.5,226.53,1255
2024-12-06 18:35:00,226.57,226.58,226.5,226.565,1506
2024-12-06 18:30:00,226.525,226.6,226.5,226.57,5099
2024-12-06 18:25:00,226.57,226.58,226.49,226.525,1235
2024-12-06 18:20:00,226.52,226.58,226.45,226.58,2014
2024-12-06 18:15:00,226.48,226.53,226.45,226.5,757
2024-12-06 18:10:00,226.595,226.6,226.5,226.51,3461
2024-12-06 18:05:00,226.575,226.66,226.53,226.6,2434
2024-12-06 18:00:00,226.61,226.65,226.55,226.6,2257
2024-12-06 17:55:00,226.64,226.66,226.61,226.61,2011
2024-12-06 17:50:00,226.7,226.7,226.62,226.65,8186
2024-12-06 17:45:00,226.712,226.79,226.62,226.66,6081
2024-12-06 17:40:00,226.65,226.8,226.61,226.69,2156
2024-12-06 17:35:00,226.65,226.75,226.65,226.75,1725
2024-12-06 17:30:00,226.75,226.75,226.65,226.65,3628
2024-12-06 17:25:00,226.685,226.75,226.64,226.75,3629
2024-12-06 17:20:00,226.61,226.75,226.61,226.67,2099
2024-12-06 17:15:00,226.75,226.8,226.6,226.68,1705
2024-12-06 17:10:00,226.76,226.84,226.68,226.775,1658
2024-12-06 17:05:00,226.99,227.03,226.68,226.765,25418
2024-12-06 17:00:00,226.765,226.99,226.71,226.99,2223
2024-12-06 16:55:00,226.94,226.94,226.71,226.79,2529
2024-12-06 16:50:00,226.74,226.99,226.69,226.95,11560
2024-12-06 16:45:00,226.85,226.85,226.6,226.79,13253
2024-12-06 16:40:00,226.82,227.03,226.8,226.84,140318
2024-12-06 16:35:00,226.6,226.9,226.6,226.84,6120
2024-12-06 16:30:00,226.715,227.03,226.6,226.64,17207
2024-12-06 16:25:00,226.8,227.03,226.69,226.755,111760
2024-12-06 16:20:00,227.0,227.15,225.2799,226.78,42228
2024-12-06 16:15:00,226.79,227.03,226.75,227.0,38524
2024-12-06 16:10:00,226.74,227.03,226.55,226.7902,42576
2024-12-06 16:05:00,226.81,227.03,226.7,226.7687,25514
2024-12-06 16:00:00,227.03,227.17,226.5,226.82,11430256
2024-12-06 15:55:00,226.72,227.15,226.68,227.03,2354397
2024-12-06 15:50:00,226.41,226.82,226.296,226.7093,921628
2024-12-06 15:45:00,226.45,226.75,226.4,226.4,537727
2024-12-06 15:40:00,226.46,226.6399,226.35,226.45,586014
2024-12-06 15:35:00,226.3181,226.51,226.27,226.46,452778
2024-12-06 15:30:00,226.32,226.53,226.18,226.31,567424
2024-12-06 15:25:00,226.105,226.33,225.85,226.3235,523310
2024-12-06 15:20:00,226.02,226.14,225.865,226.1,307066
2024-12-06 15:15:00,225.76,226.05,225.76,226.03,524979
2024-12-06 15:10:00,225.62,225.81,225.5953,225.75,251484
2024-12-06 15:05:00,225.7432,225.84,225.59,225.62,312625
2024-12-06 15:00:00,225.78,225.86,225.54,225.7412,379626
2024-12-06 14:55:00,225.74,225.81,225.5717,225.78,356226
2024-12-06 14:50:00,225.475,225.8,225.4501,225.73,446181
2024-12-06 14:45:00,225.19,225.5,225.19,225.475,304924
2024-12-06 14:40:00,225.04,225.25,224.99,225.2076,283561
2024-12-06 14:35:00,225.0499,225.15,225.0,225.01,199046
2024-12-06 14:30:00,224.68,225.08,224.61,225.04,340319
2024-12-06 14:25:00,224.626,224.88,224.535,224.6701,217499
2024-12-06 14:20:00,224.5524,224.73,224.51,224.64,200364
2024-12-06 14:15:00,224.565,224.7,224.34,224.5594,233613
2024-12-06 14:10:00,224.52,224.75,224.43,224.57,259776
2024-12-06 14:05:00,224.8,224.93,224.5102,224.5175,238970
2024-12-06 14:00:00,225.11,225.11,224.7501,224.81,174827
2024-12-06 13:55:00,224.92,225.13,224.83,225.12,161261
2024-12-06 13:50:00,225.01,225.12,224.84,224.93,190067
2024-12-06 13:45:00,224.7034,225.08,224.64,225.0,172093
2024-12-06 13:40:00,225.05,225.12,224.7001,224.72,212885
2024-12-06 13:35:00,224.66,225.11,224.58,225.06,2164143
2024-12-06 13:30:00,225.1,225.11,224.56,224.651,278382
2024-12-06 13:25:00,225.1,225.15,224.97,225.11,180598
2024-12-06 13:20:00,225.045,225.19,224.965,225.09,236820
2024-12-06 13:15:00,225.02,225.12,224.82,225.0499,254226
2024-12-06 13:10:00,224.94,225.17,224.89,225.0101,234518
2024-12-06 13:05:00,224.9019,225.2,224.83,224.95,221022
2024-12-06 13:00:00,224.71,225.01,224.54,224.92,280208
2024-12-06 12:55:00,224.965,225.0,224.66,224.7,208120
2024-12-06 12:50:00,224.71,225.02,224.42,224.9531,278171
2024-12-06 12:45:00,224.64,224.83,224.41,224.72,287712
2024-12-06 12:40:00,224.71,225.0,224.625,224.625,275966
2024-12-06 12:35:00,224.83,224.85,224.54,224.73,165771
2024-12-06 12:30:00,224.76,224.93,224.59,224.85,226360
2024-12-06 12:25:00,224.775,224.91,224.61,224.7543,204787
2024-12-06 12:20:00,224.955,225.0,224.58,224.7601,334630
2024-12-06 12:15:00,224.795,224.97,224.77,224.9599,263980
2024-12-06 12:10:00,224.9544,225.0,224.71,224.805,191990
2024-12-06 12:05:00,224.565,224.97,224.54,224.9543,241301
2024-12-06 12:00:00,225.1556,225.1877,224.52,224.55,235933
2024-12-06 11:55:00,225.09,225.26,224.73,225.14,394920
2024-12-06 11:50:00,225.1475,225.33,225.05,225.1,243232
2024-12-06 11:45:00,225.33,225.5,225.0804,225.1582,368146
2024-12-06 11:40:00,225.21,225.55,225.2,225.325,645179
