Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,209.96,227.15,209.5101,227.03,227.03,205802018
2024-11-29,199.0,215.9,194.3101,207.89,207.89,905938116
2024-10-31,184.9,195.61,180.25,186.4,186.4,734067340
2024-09-30,177.55,195.37,171.16,186.33,186.33,764498511
2024-08-30,189.285,190.6,151.61,178.5,178.5,971024071
2024-07-31,193.49,201.2,176.8,186.98,186.98,868117789
2024-06-28,177.7,199.84,175.92,193.25,193.25,813275850
2024-05-31,181.635,191.7,173.87,176.44,176.44,892339076
2024-04-30,180.79,189.77,166.32,175.0,175.0,913774690
2024-03-28,176.75,181.7,171.47,180.38,180.38,700200667
2024-02-29,155.87,177.22,155.62,176.76,176.76,1045157826
2024-01-31,151.54,161.73,144.05,155.2,155.2,952721600
2023-12-29,146.0,155.63,142.81,151.94,151.94,930652363
2023-11-30,133.96,149.26,133.71,146.09,146.09,1026201791
2023-10-31,127.28,134.48,118.35,133.09,133.09,1224706726
2023-09-29,139.455,145.86,123.04,127.12,127.12,1120523243
2023-08-31,133.55,143.63,126.41,138.01,138.01,1213497007
2023-07-31,130.82,136.65,125.915,133.68,133.68,1059097946
2023-06-30,120.69,131.49,119.93,130.36,130.36,1243071267
2023-05-31,104.95,122.92,101.15,120.58,120.58,1432007632
2023-04-28,102.3,110.86,97.705,105.45,105.45,1222124091
2023-03-31,93.87,103.49,88.12,103.29,103.29,1349466996
2023-02-28,102.53,114.0,92.3186,94.23,94.23,1364198308
2023-01-31,85.46,103.485,81.43,103.13,103.13,1523798384
2022-12-30,96.99,97.23,81.69,84.0,84.0,1549193116
2022-11-30,103.99,104.58,85.87,96.54,96.54,2035252422
2022-10-31,113.58,123.0,97.66,102.44,102.44,1459511591
2022-09-30,126.0,136.49,112.06,113.0,113.0,1209987592
2022-08-31,134.96,146.57,126.74,126.77,126.77,1170389539
2022-07-29,106.29,137.65,105.8469,134.95,134.95,1338005773
2022-06-30,2445.12,2512.2,101.43,106.21,106.21,1457571482
2022-05-31,2448.02,2524.41,2025.2,2404.19,120.2095,112895255
2022-04-29,3282.99,3367.89,2432.5,2485.63,124.2815,73072079
2022-03-31,3054.65,3416.63,2671.45,3259.95,162.9975,81145583
2022-02-28,3000.0,3276.69,2766.66,3071.26,153.563,84446686
2022-01-31,3351.0,3428.0,2707.04,2991.47,149.5735,76146845
2021-12-31,3545.0,3559.88,3303.9,3334.34,166.717,64405344
2021-11-30,3361.8,3762.145,3283.55,3507.07,175.3535,75633992
2021-10-29,3289.01,3479.0,3176.25,3372.43,168.6215,63680713
2021-09-30,3496.396,3549.99,3273.99,3285.04,164.252,62540133
2021-08-31,3353.1,3472.58,3175.76,3470.79,173.5395,62844829
2021-07-30,3434.61,3773.0782,3306.98,3327.59,166.3795,82554006
2021-06-30,3243.495,3524.8599,3172.2,3440.16,172.008,66960544
2021-05-28,3484.73,3486.645,3127.37,3223.07,161.1535,75191624
2021-04-30,3117.94,3554.0,3115.55,3467.42,173.371,76843571
2021-03-31,3127.89,3182.0,2881.0001,3094.08,154.704,78204991
2021-02-26,3242.36,3434.0,3036.7,3092.93,154.6465,70893385
2021-01-29,3270.0,3363.89,3086.0,3206.2,160.31,71427780
2020-12-31,3188.5,3350.65,3072.82,3256.93,162.8465,77463508
2020-11-30,3061.74,3366.8,2950.12,3168.04,158.402,90800583
2020-10-30,3208.0,3496.24,3019.0,3036.15,151.8075,116252115
2020-09-30,3489.58,3552.25,2871.0,3148.73,157.4365,115969967
2020-08-31,3180.51,3495.0,3073.0,3450.96,172.548,83519879
2020-07-31,2757.99,3344.29,2754.0,3164.68,158.234,127304238
2020-06-30,2448.0,2796.0,2437.13,2758.82,137.941,87845661
2020-05-29,2336.8,2525.45,2256.38,2442.37,122.1185,82620883
2020-04-30,1932.97,2475.0,1889.15,2474.0,123.7,124631816
2020-03-31,1906.49,1996.33,1626.03,1949.72,97.486,163796017
2020-02-28,2010.6,2185.95,1811.13,1883.75,94.1875,92555977
2020-01-31,1875.0,2055.72,1815.34,2008.72,100.436,84743300
2019-12-31,1804.4,1901.4,1735.0,1847.84,92.392,68522009
2019-11-29,1788.01,1824.69,1722.71,1800.8,90.04,52060472
2019-10-31,1746.0,1798.85,1685.06,1776.66,88.833,71821008
2019-09-30,1770.0,1853.66,1709.22,1735.91,86.7955,62003799
2019-08-30,1871.72,1897.92,1743.51,1776.29,88.8145,79978762
2019-07-31,1922.98,2035.8,1849.44,1866.78,93.339,73190780
2019-06-28,1760.01,1935.2,1672.0,1893.63,94.6815,74746589
2019-05-31,1933.09,1964.4,1772.7,1775.07,88.7535,98214360
2019-04-30,1800.11,1956.34,1798.73,1926.52,96.326,81293632
2019-03-29,1655.13,1823.75,1586.57,1780.75,89.0375,100832035
2019-02-28,1638.88,1673.06,1566.76,1639.83,81.9915,80936924
2019-01-31,1465.2,1736.41,1460.93,1718.73,85.9365,134015530
2018-12-31,1769.46,1778.34,1307.0,1501.97,75.0985,154812304
2018-11-30,1623.53,1784.0,1420.0,1690.17,84.5085,139290208
2018-10-31,2021.99,2033.19,1476.36,1598.01,79.9005,183228552
2018-09-28,2026.5,2050.5,1865.0,2003.0,100.15,94445693
2018-08-31,1784.0,2025.57,1776.02,2012.71,100.6355,96575676
2018-07-31,1682.7,1880.05,1678.06,1777.44,88.872,97629820
2018-06-29,1637.03,1763.1,1635.09,1699.8,84.99,85941510
2018-05-31,1563.22,1635.0,1546.02,1629.62,81.481,71615299
2018-04-30,1417.62,1638.1,1352.88,1566.13,78.3065,129945743
2018-03-29,1513.6,1617.54,1365.2,1447.34,72.367,128401298
2018-02-28,1445.0,1528.7,1265.93,1512.45,75.6225,133362428
2018-01-31,1172.0,1472.58,1170.51,1450.89,72.5445,94145634
2017-12-29,1172.05,1194.78,1124.74,1169.47,58.4735,56130525
2017-11-30,1105.4,1213.41,1086.87,1176.75,58.8375,76226064
2017-10-31,964.0,1122.79,950.37,1105.28,55.264,80304293
2017-09-29,984.2,1000.0,931.75,961.35,48.0675,58038449
2017-08-31,996.11,1006.4,936.33,980.6,49.03,75779478
2017-07-31,972.79,1083.31,951.0001,987.78,49.389,76564735
2017-06-30,998.59,1017.0,927.0,968.0,48.4,94729701
2017-05-31,927.8,1001.2,927.8,994.62,49.731,75223469
2017-04-28,888.0,949.59,884.49,924.99,46.2495,72336605
2017-03-31,853.05,890.35,833.5,886.54,44.327,60722752
2017-02-28,829.21,860.86,803.0,845.04,42.252,71748231
2017-01-31,757.92,843.84,747.7,823.48,41.174,70714587
2016-12-30,752.41,782.46,736.7,749.87,37.4935,73660584
2016-11-30,799.0,800.84,710.1,750.57,37.5285,110085967
2016-10-31,836.0,847.21,774.61,789.82,39.491,77063812
2016-09-30,770.9,839.95,756.0,837.31,41.8655,67354133
2016-08-31,759.87,774.98,750.35,769.16,38.458,50000397
2016-07-29,717.32,766.0,716.54,758.81,37.9405,68635440
2016-06-30,720.9,731.5,682.115,715.62,35.781,74556809
2016-05-31,663.92,724.23,656.0,722.79,36.1395,90623145
2016-04-29,590.49,669.98,585.25,659.59,32.9795,78464320
2016-03-31,556.29,603.24,538.58,593.64,29.682,93964682
2016-02-29,578.15,581.8,474.0,552.52,27.626,124144797
2016-01-29,656.29,657.715,547.18,587.0,29.35,130200780
2015-12-31,673.75,696.44,635.27,675.89,33.7945,90220804
2015-11-30,627.13,682.77,620.41,664.8,33.24,87301503
2015-10-30,511.0,630.72,506.0,625.9,31.295,97188843
2015-09-30,499.14,549.78,490.5,511.67,25.5835,76602841
2015-08-31,537.45,542.74,451.0,512.89,25.6445,82893196
2015-07-31,439.35,580.57,425.57,536.15,26.8075,102069942
2015-06-30,430.4,447.04,419.14,434.09,21.7045,54989227
2015-05-29,423.82,439.0,414.55,429.23,21.4615,51984199
2015-04-30,372.1,452.65,368.34,421.78,21.089,84404887
2015-03-31,380.85,388.4182,365.65,372.1,18.605,55502746
2015-02-27,350.05,389.37,350.01,380.16,19.008,70847240
2015-01-30,312.58,359.5,285.25,354.53,17.7265,103040529
2014-12-31,338.12,340.64,293.03,310.35,15.5175,86874154
2014-11-28,306.24,341.26,292.29,338.64,16.932,68993021
2014-10-31,322.04,325.16,284.0,305.46,15.273,111120640
2014-09-30,339.98,349.38,317.64,322.44,16.122,68006506
2014-08-29,313.69,346.67,304.588,339.04,16.952,62015200
2014-07-31,325.86,364.85,311.86,312.99,15.6495,99337300
2014-06-30,312.59,340.7199,303.84,324.78,16.239,76493200
2014-05-30,304.13,314.87,284.38,312.55,15.6275,78579200
2014-04-30,338.09,348.295,288.0,304.13,15.2065,138278700
2014-03-31,358.735,383.11,330.88,336.365,16.8182,75253500
2014-02-28,358.98,365.865,337.73,362.1,18.105,83009000
2014-01-31,398.8,408.06,357.76,358.69,17.9345,81011900
2013-12-31,399.0,405.63,379.5,398.79,19.9395,55686700
2013-11-29,365.63,394.0999,341.88,393.62,19.681,54207700
2013-10-31,314.22,368.4,296.5025,364.03,18.2015,77295400
