Date,Open,High,Low,Close,Volume
2024-12-06,170.1,180.68,169.3301,179.53,27830828
2024-12-05,170.75,172.3981,169.2,170.47,18489993
2024-12-04,173.44,175.39,168.56,170.56,32748246
2024-12-03,164.48,168.27,164.03,168.15,17024434
2024-12-02,162.95,168.3797,162.75,166.51,21472442
2024-11-29,159.57,162.69,159.08,162.08,11024005
2024-11-27,163.2,163.2,157.54,159.67,19722723
2024-11-26,164.6,166.37,162.69,164.74,16308772
2024-11-25,165.395,167.225,162.89,164.82,26850591
2024-11-22,164.3,164.9092,162.4,164.23,17332473
2024-11-21,166.25,166.34,160.6,163.94,24835252
2024-11-20,165.54,165.54,160.86,163.25,17196728
2024-11-19,166.66,166.8,164.31,165.35,18003401
2024-11-18,165.66,166.3463,162.22,165.67,17870329
2024-11-15,168.47,169.135,163.43,164.84,20836160
2024-11-14,174.77,175.57,169.87,170.38,20638855
2024-11-13,174.705,175.5926,172.6,173.58,17472513
2024-11-12,178.9,179.56,173.2,176.22,15861981
2024-11-11,183.4,183.63,176.8201,178.91,17036660
2024-11-08,182.99,185.05,181.83,183.64,13503154
2024-11-07,181.9853,184.8722,181.79,183.81,18970581
2024-11-06,179.63,180.21,175.96,179.55,24300758
2024-11-05,170.05,174.4,170.05,173.9,13441752
2024-11-04,169.28,172.45,168.42,168.55,13621310
2024-11-01,168.26,171.3255,167.5,168.92,17847038
2024-10-31,174.45,174.45,167.38,169.77,26086587
2024-10-30,177.47,179.19,175.62,176.64,17911488
2024-10-29,172.435,180.23,171.2101,179.24,23702344
2024-10-28,173.0,173.9728,171.345,172.02,13195829
2024-10-25,174.19,176.796,172.72,173.0,19977679
2024-10-24,174.26,174.3,169.5,171.35,20485174
2024-10-23,177.585,178.98,172.57,173.51,19513713
2024-10-22,178.66,180.69,177.41,179.38,12062648
2024-10-21,179.38,181.7199,178.25,179.99,13695149
2024-10-18,182.32,182.71,178.68,179.89,17835247
2024-10-17,181.37,185.51,180.69,181.53,25232427
2024-10-16,178.51,179.25,175.33,176.82,15285054
2024-10-15,180.79,181.7,173.3652,175.98,27657529
2024-10-14,183.3,184.9516,180.13,182.31,17195824
2024-10-11,181.14,182.59,177.4,181.48,23070023
2024-10-10,183.56,186.31,182.53,185.69,16317969
2024-10-09,179.24,186.42,176.42,185.95,25504058
2024-10-08,175.42,181.6,174.89,180.73,20774189
2024-10-07,174.82,178.31,173.86,175.08,15588333
2024-10-04,176.3,176.8998,172.6,176.64,17941387
2024-10-03,169.62,174.94,169.19,171.89,13072281
2024-10-02,167.55,172.84,167.0201,170.66,14317834
2024-10-01,172.16,172.25,165.8,167.47,23770416
2024-09-30,171.87,172.92,169.6302,172.5,16900033
2024-09-27,178.17,178.47,171.76,172.69,20580905
2024-09-26,178.5,180.25,175.0,178.09,24339996
2024-09-25,174.65,177.14,173.76,175.52,16613795
2024-09-24,172.81,175.99,171.68,174.84,34223405
2024-09-23,172.0,173.32,168.3501,172.94,29431112
2024-09-20,167.18,172.02,166.47,171.1,91758507
2024-09-19,167.68,170.0,165.66,167.42,32453057
2024-09-18,163.77,167.47,161.36,161.67,26557560
2024-09-17,165.49,166.02,160.7,162.47,19844343
2024-09-16,165.19,165.5,160.41,164.02,26126934
2024-09-13,166.735,168.08,164.0401,167.69,29850048
2024-09-12,158.1,166.32,156.83,164.56,43581917
2024-09-11,148.39,158.87,145.04,158.27,39700766
2024-09-10,141.22,149.86,141.04,148.21,36067473
2024-09-09,139.11,141.585,134.9,140.82,39516691
2024-09-06,143.25,143.5,136.6,136.995,76634630
2024-09-05,150.565,156.36,150.11,152.82,31548537
2024-09-04,150.3,157.79,149.15,154.12,20099668
2024-09-03,160.38,160.74,151.38,152.79,37179061
2024-08-30,161.12,163.24,158.71,162.82,25158510
2024-08-29,158.49,163.2,155.41,156.93,23519286
2024-08-28,160.08,162.28,156.25,158.18,18063622
2024-08-27,157.6,162.03,155.83,161.39,16683106
2024-08-26,164.96,165.7,158.66,159.62,18521153
2024-08-23,165.025,168.28,163.46,166.36,18848022
2024-08-22,170.84,172.42,161.49,162.34,30044532
2024-08-21,165.12,166.47,162.88,165.78,16097693
2024-08-20,167.05,168.3699,164.15,165.95,19417494
2024-08-19,164.86,167.83,160.42,167.71,20441691
2024-08-16,164.47,166.09,162.68,165.72,19296868
2024-08-15,161.2,166.67,160.3351,166.13,27944968
2024-08-14,158.02,160.25,154.72,157.69,20184199
2024-08-13,151.55,156.38,149.81,156.16,22053604
2024-08-12,148.08,151.13,146.37,148.62,17778473
2024-08-09,144.2,149.55,144.11,148.26,18438655
2024-08-08,141.2,146.27,138.4,145.74,27583199
2024-08-07,148.25,150.1,135.83,136.27,29749755
2024-08-06,141.73,148.91,140.25,143.92,24751290
2024-08-05,129.61,145.42,128.5,142.08,41309257
2024-08-02,141.925,145.35,139.6,143.82,33745843
2024-08-01,157.5,158.91,146.17,147.02,40319955
2024-07-31,151.47,161.33,151.0,160.68,45827511
2024-07-30,153.28,153.47,143.35,143.52,31102341
2024-07-29,152.02,155.0,149.15,150.22,16625762
2024-07-26,153.5,153.58,149.9202,151.63,20839871
2024-07-25,151.26,153.55,145.52,149.26,30872127
2024-07-24,160.355,161.405,151.1,151.34,37162620
2024-07-23,160.395,165.33,159.9,163.77,21570177
2024-07-22,160.23,162.99,157.9,161.06,28813334
2024-07-19,161.84,163.95,157.12,157.35,26309545
2024-07-18,158.89,161.51,153.9,160.52,37973498
