fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-07-31,2024-09-05,1.24,1.2,0.04,3.3333,post-market
2024-04-30,2024-06-12,1.096,1.084,0.012,1.107,post-market
2024-01-31,2024-03-07,1.099,1.029,0.07,6.8027,post-market
2023-10-31,2023-12-07,1.106,1.098,0.008,0.7286,post-market
2023-07-31,2023-08-31,1.054,1.042,0.012,1.1516,post-market
2023-04-30,2023-06-01,1.032,1.008,0.024,2.381,post-market
2023-01-31,2023-03-02,1.033,1.01,0.023,2.2772,post-market
2022-10-31,2022-12-08,1.045,1.028,0.017,1.6537,post-market
2022-07-31,2022-09-01,0.973,0.956,0.017,1.7782,post-market
2022-04-30,2022-05-26,0.907,0.871,0.036,4.1332,pre-market
2022-01-31,2022-03-03,0.839,0.808,0.031,3.8366,post-market
2021-10-31,2021-12-09,0.781,0.774,0.007,0.9044,post-market
2021-07-31,2021-09-02,0.696,0.688,0.008,1.1628,post-market
2021-04-30,2021-06-03,0.662,0.643,0.019,2.9549,post-market
2021-01-31,2021-03-04,0.661,0.656,0.005,0.7622,post-market
2020-10-31,2020-12-10,0.635,0.625,0.01,1.6,post-market
2020-07-31,2020-09-03,0.54,0.524,0.016,3.0534,post-market
2020-04-30,2020-06-04,0.514,0.514,0,0,post-market
2020-01-31,2020-03-12,0.525,0.533,-0.008,-1.5009,post-market
2019-10-31,2019-12-12,0.539,0.535,0.004,0.7477,post-market
2019-07-31,2019-09-12,0.516,0.513,0.003,0.5848,post-market
2019-04-30,2019-06-13,0.521,0.516,0.005,0.969,post-market
2019-01-31,2019-03-14,0.555,0.523,0.032,6.1185,post-market
2018-10-31,2018-12-06,0.585,0.558,0.027,4.8387,post-market
2018-07-31,2018-09-06,0.498,0.483,0.015,3.1056,post-market
2018-04-30,2018-06-07,0.488,0.476,0.012,2.521,post-market
2018-01-31,2018-03-15,0.512,0.505,0.007,1.3861,post-market
2017-10-31,2017-12-06,0.459,0.452,0.007,1.5487,post-market
2017-07-31,2017-08-24,0.41,0.403,0.007,1.737,post-market
2017-04-30,2017-06-01,0.369,0.35,0.019,5.4286,post-market
2017-01-31,2017-03-01,0.363,0.348,0.015,4.3103,post-market
2016-10-31,2016-12-08,0.347,0.338,0.009,2.6627,post-market
2016-07-31,2016-09-01,0.289,0.276,0.013,4.7101,post-market
2016-04-30,2016-06-02,0.253,0.238,0.015,6.3025,post-market
2016-01-31,2016-03-03,0.241,0.23,0.011,4.7826,post-market
2015-10-31,2015-12-02,0.251,0.238,0.013,5.4622,post-market
2015-07-31,2015-08-26,0.224,0.214,0.01,4.6729,post-market
2015-04-30,2015-05-28,0.213,0.201,0.012,5.9701,pre-market
2015-01-31,2015-02-25,0.209,0.194,0.015,7.732,post-market
2014-10-31,2014-12-03,0.199,0.169,0.03,17.7515,post-market
2014-07-31,2014-08-28,0.126,0.105,0.021,20,post-market
2014-04-30,2014-05-29,0.085,0.076,0.009,11.8421,pre-market
2014-01-31,2014-02-25,0.084,0.078,0.006,7.6923,pre-market
2013-10-31,2013-12-04,0.089,0.082,0.007,8.5366,pre-market
2013-07-31,2013-08-27,0.067,0.063,0.004,6.3492,pre-market
2013-04-30,2013-05-29,0.054,0.052,0.002,3.8462,pre-market
2013-01-31,2013-02-26,0.058,0.055,0.003,5.4545,pre-market
2012-10-31,2012-11-29,0.071,0.067,0.004,5.9701,pre-market
2012-07-31,2012-08-16,0.066,0.063,0.003,4.7619,pre-market
2012-04-30,2012-05-22,0.061,0.059,0.002,3.3898,pre-market
2012-01-31,2012-02-22,0.057,0.056,0.001,1.7857,pre-market
2011-10-31,2011-12-01,0.069,0.067,0.002,2.9851,pre-market
2011-07-31,2011-08-23,0.064,0.063,0.001,1.5873,pre-market
2011-04-30,2011-05-24,0.06,0.06,0,0,pre-market
2011-01-31,2011-02-23,0.062,0.057,0.005,8.7719,pre-market
2010-10-31,2010-12-02,0.061,0.061,0,0,pre-market
2010-07-31,2010-08-24,0.058,0.053,0.005,9.434,pre-market
2010-04-30,2010-05-26,0.045,0.043,0.002,4.6512,pre-market
2010-01-31,2010-02-24,0.034,0.03,0.004,13.3333,pre-market
2009-10-31,2009-12-03,0.028,0.024,0.004,16.6667,pre-market
2009-07-31,2009-09-04,0.0009,None,None,None,pre-market
