transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2024-11-06,AVGO,"TAN, HOCK E","Director, President and CEO","Common Stock, $0.001 par value",A,1477110.0,0.0
2024-11-06,AVGO,"TAN, HOCK E","Director, President and CEO","Common Stock, $0.001 par value",D,696804.0,179.55
2024-10-11,AVGO,"BRAZEAL, MARK DAVID",Chief Legal & Corp Affairs Ofc,"Common Stock, $0.001 par value",D,18900.0,181.45
2024-10-11,AVGO,"KAWWAS, CHARLIE B","President, Semi Solutions Grp","Common Stock, $0.001 par value",D,15950.0,181.445
2024-10-09,AVGO,"BRAZEAL, MARK DAVID",Chief Legal & Corp Affairs Ofc,"Common Stock, $0.001 par value",D,18900.0,182.875
2024-10-07,AVGO,"BRAZEAL, MARK DAVID",Chief Legal & Corp Affairs Ofc,"Common Stock, $0.001 par value",D,20280.0,177.098
2024-10-04,AVGO,"TAN, HOCK E","Director, President and CEO","Common Stock, $0.001 par value",D,20000.0,174.874
2024-10-03,AVGO,"TAN, HOCK E","Director, President and CEO","Common Stock, $0.001 par value",D,20000.0,172.325
2024-10-01,AVGO,"TAN, HOCK E","Director, President and CEO","Common Stock, $0.001 par value",D,10000.0,167.141
2024-09-25,AVGO,"SAMUELI, HENRY",Director,"Common Stock, $0.001 par value",D,142988.0,0.0
2024-09-25,AVGO,"DELLY, GAYLA J",Director,"Common Stock, $0.001 par value",D,750.0,174.53
2024-09-24,AVGO,"TAN, HOCK E","Director, President and CEO","Common Stock, $0.001 par value",D,150000.0,172.94
2024-09-19,AVGO,"KAWWAS, CHARLIE B","President, Semi Solutions Grp","Common Stock, $0.001 par value",D,25200.0,168.274
2024-09-17,AVGO,"TAN, HOCK E","Director, President and CEO","Common Stock, $0.001 par value",D,50000.0,163.371
2024-07-11,AVGO,"TAN, HOCK E","Director, President and CEO","Common Stock, $0.001 par value",D,7502.0,1705.95
2024-07-05,AVGO,"TAN, HOCK E","Director, President and CEO","Common Stock, $0.001 par value",D,8200.0,0.0
2024-06-26,AVGO,"SAMUELI, HENRY",Director,"Common Stock, $0.001 par value",D,15815.0,0.0
2024-06-21,AVGO,"PAGE, JUSTINE",Director,"Common Stock, $0.001 par value",D,30.0,0.0
2024-06-21,AVGO,"TAN, HOCK E","Director, President and CEO","Common Stock, $0.001 par value",D,3450.0,0.0
2024-06-20,AVGO,"PAGE, JUSTINE",Director,"Common Stock, $0.001 par value",D,254.0,1750.26
2024-06-17,AVGO,"PAGE, JUSTINE",Director,"Common Stock, $0.001 par value",D,312.0,1800.0
2024-06-17,AVGO,"KAWWAS, CHARLIE B","President, Semi Solutions Grp","Common Stock, $0.001 par value",D,2520.0,1830.951
2024-04-22,AVGO,"SAMUELI, HENRY",Director,"Common Stock, $0.001 par value",A,189.0,0.0
2024-04-22,AVGO,"PAGE, JUSTINE",Director,"Common Stock, $0.001 par value",A,189.0,0.0
2024-04-22,AVGO,"LOW, CHECK KIAN",Director,"Common Stock, $0.001 par value",A,189.0,0.0
2024-04-22,AVGO,"HARTENSTEIN, EDDY W",Director,"Common Stock, $0.001 par value",A,189.0,0.0
2024-04-22,AVGO,"DELLY, GAYLA J",Director,"Common Stock, $0.001 par value",A,189.0,0.0
2024-04-22,AVGO,"HAO, KENNETH",Director,"Common Stock, $0.001 par value",A,189.0,0.0
2024-04-22,AVGO,"BRYANT, DIANE M",Director,"Common Stock, $0.001 par value",A,189.0,0.0
2024-04-22,AVGO,"YOU, HARRY L.",Director,"Common Stock, $0.001 par value",A,189.0,0.0
2024-04-15,AVGO,"SAMUELI, HENRY",Director,"Common Stock, $0.001 par value",D,18601.0,0.0
2024-04-10,AVGO,"BRAZEAL, MARK DAVID",Chief Legal & Corp Affairs Ofc,"Common Stock, $0.001 par value",D,2500.0,1316.46
2024-04-10,AVGO,"PAGE, JUSTINE",Director,"Common Stock, $0.001 par value",D,110.0,1323.0
2024-04-05,AVGO,"SPEARS, KIRSTEN M.",CFO & Chief Accounting Officer,"Common Stock, $0.001 par value",D,3000.0,1343.145
2024-04-03,AVGO,"BRAZEAL, MARK DAVID",Chief Legal & Corp Affairs Ofc,"Common Stock, $0.001 par value",D,2500.0,1367.52
2024-04-03,AVGO,"LOW, CHECK KIAN",Director,"Common Stock, $0.001 par value",D,35.0,1363.21
