Date,Open,High,Low,Close,Volume
2024-12-06 19:55:00,179.46,179.49,179.25,179.35,6161
2024-12-06 19:50:00,179.455,179.49,179.42,179.46,1944
2024-12-06 19:45:00,179.4,179.46,179.38,179.43,2105
2024-12-06 19:40:00,179.32,179.5,179.28,179.31,967
2024-12-06 19:35:00,179.4,179.5,179.31,179.33,3084
2024-12-06 19:30:00,179.4,179.49,179.31,179.46,285
2024-12-06 19:25:00,179.4743,179.49,179.28,179.4,628
2024-12-06 19:20:00,179.35,179.49,179.28,179.28,3098
2024-12-06 19:15:00,179.4,179.49,179.3017,179.39,939
2024-12-06 19:10:00,179.41,179.5,179.3,179.4,1950
2024-12-06 19:05:00,179.41,179.5,179.41,179.41,373
2024-12-06 19:00:00,179.385,179.5,179.3,179.41,499
2024-12-06 18:55:00,179.35,179.47,179.35,179.45,622
2024-12-06 18:50:00,179.31,179.41,179.3,179.35,724
2024-12-06 18:45:00,179.3,179.41,179.25,179.355,342
2024-12-06 18:40:00,179.31,179.47,179.25,179.3,966
2024-12-06 18:35:00,179.3,179.47,179.3,179.31,852
2024-12-06 18:30:00,179.41,179.47,179.3,179.385,1052
2024-12-06 18:25:00,179.49,179.5,179.3,179.32,633
2024-12-06 18:20:00,179.4,179.5,179.3,179.3,279
2024-12-06 18:15:00,179.48,179.49,179.3,179.4,1567
2024-12-06 18:10:00,179.44,179.5,179.25,179.34,2588
2024-12-06 18:05:00,179.4733,179.4733,179.25,179.47,2100
2024-12-06 18:00:00,179.42,179.5,179.2,179.48,2148
2024-12-06 17:55:00,179.4,179.5,179.15,179.4,4090
2024-12-06 17:50:00,179.235,179.43,179.15,179.4,3895
2024-12-06 17:45:00,179.15,179.32,179.06,179.2,10357
2024-12-06 17:40:00,179.15,179.32,179.15,179.31,581
2024-12-06 17:35:00,179.2516,179.34,179.05,179.27,582
2024-12-06 17:30:00,179.14,179.39,179.05,179.39,1169
2024-12-06 17:25:00,179.19,179.48,179.04,179.29,702
2024-12-06 17:20:00,179.01,179.57,179.0,179.21,205
2024-12-06 17:15:00,179.12,179.57,179.0,179.285,11326
2024-12-06 17:10:00,179.5701,179.58,179.0,179.14,9536
2024-12-06 17:05:00,179.57,179.72,179.53,179.6,1332
2024-12-06 17:00:00,179.575,179.645,179.51,179.57,1607
2024-12-06 16:55:00,179.595,179.64,179.5,179.52,1838
2024-12-06 16:50:00,179.6,179.64,179.55,179.55,1001
2024-12-06 16:45:00,179.6194,179.64,179.54,179.6388,2671
2024-12-06 16:40:00,179.5987,179.64,179.53,179.55,12670
2024-12-06 16:35:00,179.41,179.6,179.41,179.54,2606
2024-12-06 16:30:00,179.53,179.59,179.2917,179.53,4395
2024-12-06 16:25:00,179.01,179.6,179.01,179.6,59460
2024-12-06 16:20:00,179.59,179.64,179.0,179.58,56430
2024-12-06 16:15:00,179.53,179.7,179.5,179.53,4501
2024-12-06 16:10:00,179.53,179.7,179.51,179.65,5294
2024-12-06 16:05:00,179.5202,179.7,179.51,179.53,3610
2024-12-06 16:00:00,179.53,179.7699,178.91,179.53,13552192
2024-12-06 15:55:00,179.11,179.81,179.09,179.53,1393714
2024-12-06 15:50:00,178.91,179.52,178.82,179.11,538567
2024-12-06 15:45:00,179.745,179.8379,178.91,178.93,294117
2024-12-06 15:40:00,179.94,180.06,179.685,179.745,374011
2024-12-06 15:35:00,180.04,180.06,179.76,179.99,262322
2024-12-06 15:30:00,180.04,180.35,180.01,180.04,224519
2024-12-06 15:25:00,179.79,180.13,179.72,180.05,408942
2024-12-06 15:20:00,179.54,179.8,179.48,179.79,197327
2024-12-06 15:15:00,179.27,179.66,179.03,179.555,230326
2024-12-06 15:10:00,179.795,179.795,179.2401,179.27,190656
2024-12-06 15:05:00,179.87,179.95,179.69,179.771,251163
2024-12-06 15:00:00,179.6,179.89,179.52,179.87,271592
2024-12-06 14:55:00,179.99,179.99,179.625,179.625,163789
2024-12-06 14:50:00,180.075,180.14,179.9401,180.0,119622
2024-12-06 14:45:00,179.9124,180.39,179.9,180.11,333519
2024-12-06 14:40:00,179.995,180.02,179.6101,179.96,141871
2024-12-06 14:35:00,180.0048,180.0975,179.96,180.03,97012
2024-12-06 14:30:00,179.9375,180.1,179.8501,180.0283,147751
2024-12-06 14:25:00,180.05,180.19,179.9301,179.9411,115414
2024-12-06 14:20:00,179.96,180.21,179.9308,180.0681,131631
2024-12-06 14:15:00,179.92,180.25,179.66,179.94,179940
2024-12-06 14:10:00,179.935,179.99,179.6,179.935,145638
2024-12-06 14:05:00,180.08,180.09,179.57,179.9799,389757
2024-12-06 14:00:00,180.46,180.4791,179.81,180.04,199762
2024-12-06 13:55:00,179.813,180.475,179.54,180.475,227928
2024-12-06 13:50:00,180.04,180.25,179.7957,179.81,186362
2024-12-06 13:45:00,179.92,180.11,179.72,180.045,163646
2024-12-06 13:40:00,179.42,179.94,179.3291,179.91,177822
2024-12-06 13:35:00,180.625,180.68,179.27,179.3601,351727
