Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2024-11-14,171.54,184.025,169.485,177.35,177.35,166563524,0.0,0.0
2024-10-31,168.86,183.79,161.12,172.69,172.69,381772171,0.0,0.0
2024-09-30,163.315,167.36,148.2,167.19,167.19,387665966,0.2,0.0
2024-08-30,171.98,175.68,156.6,165.11,164.8895,389619175,0.0,0.0
2024-07-31,184.48,193.31,165.865,173.15,172.9187,354591866,0.0,0.0
2024-06-28,173.88,187.5,172.45,183.42,183.175,351402985,0.2,0.0
2024-05-31,166.18,179.95,164.9,173.96,173.5312,391990581,0.0,0.0
2024-04-30,151.83,176.42,151.081,164.64,164.2341,487116614,0.0,0.0
2024-03-28,139.61,153.2,131.55,152.26,151.8847,506789382,0.0,0.0
2024-02-29,143.69,150.695,136.64,139.78,139.4354,475266070,0.0,0.0
2024-01-31,139.6,155.2,136.85,141.8,141.4504,428139685,0.0,0.0
2023-12-29,133.32,143.945,129.4,140.93,140.5826,481964446,0.0,0.0
2023-11-30,125.34,141.1,124.925,133.92,133.5899,405702609,0.0,0.0
2023-10-31,132.155,142.38,121.46,125.3,124.9911,514909680,0.0,0.0
2023-09-29,138.43,139.93,128.19,131.85,131.525,389661374,0.0,0.0
2023-08-31,130.855,138.4,127.0,137.35,137.0114,463648503,0.0,0.0
2023-07-31,120.32,134.07,115.83,133.11,132.7819,525559527,0.0,0.0
2023-06-30,123.5,129.55,116.91,120.97,120.6718,521483047,0.0,0.0
2023-05-31,107.72,127.05,104.5,123.37,123.0659,620306000,0.0,0.0
2023-04-28,102.67,109.63,102.38,108.22,107.9532,461168243,0.0,0.0
2023-03-31,90.16,107.51,89.77,104.0,103.7436,725590594,0.0,0.0
2023-02-28,99.74,108.82,88.86,90.3,90.0774,754465909,0.0,0.0
2023-01-31,89.83,101.58,85.57,99.87,99.6238,526177891,0.0,0.0
2022-12-30,101.4,102.59,86.3701,88.73,88.5113,498585560,0.0,0.0
2022-11-30,95.59,101.45,83.45,101.45,101.1999,603456198,0.0,0.0
2022-10-31,97.22,105.0999,91.9,94.66,94.4266,584705310,0.0,0.0
2022-09-30,109.2,112.64,96.03,96.15,95.913,532842467,0.0,0.0
2022-08-31,115.53,123.26,108.8,109.15,108.8809,430922710,0.0,0.0
2022-07-29,2166.74,2408.7,104.76,116.64,116.3525,339525726,0.0,0.0
2022-06-30,2298.63,2387.9696,2112.5706,2187.45,109.1029,31358279,0.0,0.0
2022-05-31,2278.13,2462.86,2044.16,2280.78,113.7579,35869499,0.0,0.0
2022-04-29,2800.2,2880.875,2262.485,2299.33,114.6831,28022017,0.0,0.0
2022-03-31,2689.6,2883.25,2517.215,2792.99,139.3052,31811236,0.0,0.0
