Date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient
2024-11-14,179.75,180.445,176.03,177.35,177.35,17925763,0.0,1.0
2024-11-13,182.15,182.615,180.12,180.49,180.49,13969709,0.0,1.0
2024-11-12,181.38,184.025,180.99,183.32,183.32,14065845,0.0,1.0
2024-11-11,180.07,182.085,179.99,181.97,181.97,12503422,0.0,1.0
2024-11-08,182.0,182.35,179.57,179.86,179.86,15021549,0.0,1.0
2024-11-07,179.11,182.58,178.89,182.28,182.28,16730407,0.0,1.0
2024-11-06,175.35,178.64,175.04,178.33,178.33,27061510,0.0,1.0
2024-11-05,170.83,172.0973,170.37,171.41,171.41,12518282,0.0,1.0
2024-11-04,171.24,171.92,169.485,170.68,170.68,16193994,0.0,1.0
2024-11-01,171.54,173.82,170.31,172.65,172.65,21752859,0.0,1.0
2024-10-31,174.72,178.42,172.56,172.69,172.69,32801898,0.0,1.0
2024-10-30,182.41,183.79,175.7451,176.14,176.14,49698313,0.0,1.0
2024-10-29,169.385,171.86,168.66,171.14,171.14,28916106,0.0,1.0
2024-10-28,170.59,170.606,165.79,168.34,168.34,20858254,0.0,1.0
2024-10-25,165.365,167.4,165.23,166.99,166.99,14566410,0.0,1.0
2024-10-24,164.59,165.05,162.77,164.53,164.53,12764430,0.0,1.0
2024-10-23,166.43,167.6,163.6325,164.48,164.48,12754283,0.0,1.0
2024-10-22,164.7,167.47,164.67,166.82,166.82,11958617,0.0,1.0
2024-10-21,164.58,166.22,164.305,165.8,165.8,11384047,0.0,1.0
2024-10-18,164.87,166.3699,164.75,165.05,165.05,13091267,0.0,1.0
2024-10-17,167.38,167.93,164.37,164.51,164.51,15113356,0.0,1.0
2024-10-16,166.03,167.28,165.216,166.74,166.74,9968474,0.0,1.0
2024-10-15,167.14,169.09,166.05,166.9,166.9,14829338,0.0,1.0
2024-10-14,164.91,167.62,164.78,166.35,166.35,9981765,0.0,1.0
2024-10-11,163.33,165.27,162.5,164.52,164.52,10945971,0.0,1.0
2024-10-10,162.11,164.3107,161.64,163.18,163.18,12900492,0.0,1.0
2024-10-09,164.855,166.26,161.12,163.06,163.06,19666411,0.0,1.0
