Transaction Date,Ticker,Executive,Executive Title,Security Type,Acquisition or Disposal,Shares,Share Price
2024-11-12,GOOG,"HENNESSY, JOHN L",Director,Class A Common Stock,D,465.0,180.5905
2024-11-12,GOOG,"HENNESSY, JOHN L",Director,Class A Common Stock,D,419.0,179.7965
2024-11-12,GOOG,"HENNESSY, JOHN L",Director,Class A Common Stock,D,94.0,182.0302
2024-11-12,GOOG,"HENNESSY, JOHN L",Director,Class A Common Stock,D,522.0,181.4265
2024-11-07,GOOG,"SHRIRAM, KAVITARK RAM",Director,Class A Common Stock,D,9000.0,177.41
2024-11-07,GOOG,"SHRIRAM, KAVITARK RAM",Director,Class A Common Stock,D,10500.0,177.41
2024-11-06,GOOG,"PICHAI, SUNDAR","Director, Chief Executive Officer",Class C Capital Stock,D,1800.0,178.37
2024-11-06,GOOG,"PICHAI, SUNDAR","Director, Chief Executive Officer",Class C Capital Stock,D,9413.0,177.8707
2024-11-06,GOOG,"PICHAI, SUNDAR","Director, Chief Executive Officer",Class C Capital Stock,D,9587.0,176.9097
2024-11-06,GOOG,"PICHAI, SUNDAR","Director, Chief Executive Officer",Class C Capital Stock,D,1700.0,176.0635
2024-11-04,GOOG,"ARNOLD, FRANCES",Director,Class C Capital Stock,D,441.0,171.06
2024-11-01,GOOG,"O'TOOLE, AMIE THUENER","VP, Chief Accounting Officer",Class C Capital Stock,D,1367.0,171.42
2024-10-30,GOOG,"SHRIRAM, KAVITARK RAM",Director,Class A Common Stock,D,10500.0,180.78
2024-10-30,GOOG,"SHRIRAM, KAVITARK RAM",Director,Class A Common Stock,D,9000.0,180.78
2024-10-25,GOOG,"O'TOOLE, AMIE THUENER","VP, Chief Accounting Officer",Class C Google Stock Units,D,1394.0,164.53
2024-10-25,GOOG,"O'TOOLE, AMIE THUENER","VP, Chief Accounting Officer",Class C Capital Stock,A,1367.0,0.0
2024-10-25,GOOG,"O'TOOLE, AMIE THUENER","VP, Chief Accounting Officer",Class C Google Stock Units,D,1367.0,0.0
2024-10-16,GOOG,"PICHAI, SUNDAR","Director, Chief Executive Officer",Class C Capital Stock,D,12396.0,166.6139
2024-10-16,GOOG,"PICHAI, SUNDAR","Director, Chief Executive Officer",Class C Capital Stock,D,10104.0,165.9161
2024-10-15,GOOG,"O'TOOLE, AMIE THUENER","VP, Chief Accounting Officer",Class C Capital Stock,D,2834.0,167.23
2024-10-14,GOOG,"HENNESSY, JOHN L",Director,Class A Common Stock,D,281.0,165.2666
2024-10-14,GOOG,"HENNESSY, JOHN L",Director,Class A Common Stock,D,700.0,165.0
2024-10-14,GOOG,"HENNESSY, JOHN L",Director,Class A Common Stock,D,1.0,163.7
2024-10-14,GOOG,"HENNESSY, JOHN L",Director,Class A Common Stock,D,518.0,164.7263
2024-10-10,GOOG,"SHRIRAM, KAVITARK RAM",Director,Class C Capital Stock,D,195700.0,0.0
2024-10-10,GOOG,"SHRIRAM, KAVITARK RAM",Director,Class A Common Stock,D,195700.0,0.0
2024-10-10,GOOG,"SHRIRAM, KAVITARK RAM",Director,Class C Capital Stock,A,195700.0,0.0
2024-10-10,GOOG,"SHRIRAM, KAVITARK RAM",Director,Class A Common Stock,A,195700.0,0.0
2024-10-02,GOOG,"PICHAI, SUNDAR","Director, Chief Executive Officer",Class C Capital Stock,D,600.0,168.56
2024-10-02,GOOG,"PICHAI, SUNDAR","Director, Chief Executive Officer",Class C Capital Stock,D,17067.0,166.8751
2024-10-02,GOOG,"PICHAI, SUNDAR","Director, Chief Executive Officer",Class C Capital Stock,D,4833.0,167.575
2024-10-01,GOOG,"O'TOOLE, AMIE THUENER","VP, Chief Accounting Officer",Class C Capital Stock,D,1367.0,168.84
2024-09-30,GOOG,"WALKER, JOHN KENT","President, Global Affairs, CLO",Class C Capital Stock,D,16802.0,0.0
2024-09-30,GOOG,"WALKER, JOHN KENT","President, Global Affairs, CLO",Class C Capital Stock,A,16802.0,0.0
2024-09-27,GOOG,"WALKER, JOHN KENT","President, Global Affairs, CLO",Class C Capital Stock,D,16802.0,165.474
2024-09-25,GOOG,"ASHKENAZI, ANAT","SVP, Chief Financial Officer",Class C Capital Stock,A,17825.0,0.0
2024-09-25,GOOG,"PORAT, RUTH","President, Chief Invs. Officer",Class C Google Stock Units,D,4782.0,163.64
2024-09-25,GOOG,"PORAT, RUTH","President, Chief Invs. Officer",Class C Google Stock Units,D,5113.0,0.0
2024-09-25,GOOG,"PORAT, RUTH","President, Chief Invs. Officer",Class C Google Stock Units,D,5212.0,163.64
2024-09-25,GOOG,"PORAT, RUTH","President, Chief Invs. Officer",Class C Google Stock Units,D,7001.0,0.0
2024-09-25,GOOG,"PORAT, RUTH","President, Chief Invs. Officer",Class C Google Stock Units,D,7137.0,163.64
2024-09-25,GOOG,"RAGHAVAN, PRABHAKAR",Senior Vice President,Class C Capital Stock,A,21472.0,0.0
2024-09-25,GOOG,"RAGHAVAN, PRABHAKAR",Senior Vice President,Class C Google Stock Units,D,6659.0,163.64
2024-09-25,GOOG,"SCHINDLER, PHILIPP","SVP, Chief Business Officer",Class C Google Stock Units,D,5994.0,0.0
2024-09-25,GOOG,"SCHINDLER, PHILIPP","SVP, Chief Business Officer",Class C Google Stock Units,D,9119.0,163.64
2024-09-25,GOOG,"SCHINDLER, PHILIPP","SVP, Chief Business Officer",Class C Google Stock Units,D,8946.0,0.0
2024-09-25,GOOG,"SCHINDLER, PHILIPP","SVP, Chief Business Officer",Class C Google Stock Units,D,6659.0,163.64
2024-09-25,GOOG,"SCHINDLER, PHILIPP","SVP, Chief Business Officer",Class C Google Stock Units,D,6532.0,0.0
2024-09-25,GOOG,"SCHINDLER, PHILIPP","SVP, Chief Business Officer",Class C Capital Stock,A,21472.0,0.0
2024-09-25,GOOG,"WALKER, JOHN KENT","President, Global Affairs, CLO",Class C Google Stock Units,D,4782.0,163.64
2024-09-25,GOOG,"WALKER, JOHN KENT","President, Global Affairs, CLO",Class C Google Stock Units,D,4691.0,0.0
2024-09-25,GOOG,"WALKER, JOHN KENT","President, Global Affairs, CLO",Class C Google Stock Units,D,7136.0,163.64
2024-09-25,GOOG,"WALKER, JOHN KENT","President, Global Affairs, CLO",Class C Google Stock Units,D,7001.0,0.0
2024-09-25,GOOG,"WALKER, JOHN KENT","President, Global Affairs, CLO",Class C Google Stock Units,D,5212.0,163.64
2024-09-25,GOOG,"RAGHAVAN, PRABHAKAR",Senior Vice President,Class C Google Stock Units,D,6532.0,0.0
2024-09-25,GOOG,"RAGHAVAN, PRABHAKAR",Senior Vice President,Class C Google Stock Units,D,9119.0,163.64
2024-09-25,GOOG,"RAGHAVAN, PRABHAKAR",Senior Vice President,Class C Google Stock Units,D,8946.0,0.0
2024-09-25,GOOG,"RAGHAVAN, PRABHAKAR",Senior Vice President,Class C Google Stock Units,D,6110.0,163.64
2024-09-25,GOOG,"RAGHAVAN, PRABHAKAR",Senior Vice President,Class C Google Stock Units,D,5994.0,0.0
2024-09-25,GOOG,"O'TOOLE, AMIE THUENER","VP, Chief Accounting Officer",Class C Capital Stock,A,1368.0,0.0
2024-09-25,GOOG,"O'TOOLE, AMIE THUENER","VP, Chief Accounting Officer",Class C Google Stock Units,D,1368.0,0.0
2024-09-25,GOOG,"O'TOOLE, AMIE THUENER","VP, Chief Accounting Officer",Class C Google Stock Units,D,1394.0,163.64
2024-09-25,GOOG,"ASHKENAZI, ANAT","SVP, Chief Financial Officer",Class C Google Stock Units,D,17825.0,0.0
2024-09-25,GOOG,"ASHKENAZI, ANAT","SVP, Chief Financial Officer",Class C Google Stock Units,D,18170.0,163.64
2024-09-25,GOOG,"WALKER, JOHN KENT","President, Global Affairs, CLO",Class C Capital Stock,A,16804.0,0.0
2024-09-25,GOOG,"PORAT, RUTH","President, Chief Invs. Officer",Class C Capital Stock,A,16804.0,0.0
2024-09-25,GOOG,"PORAT, RUTH","President, Chief Invs. Officer",Class C Google Stock Units,D,4691.0,0.0
