Date,Open,High,Low,Close,Volume
2024-11-14 19:55:00,177.0,177.09,177.0,177.09,742
2024-11-14 19:50:00,176.88,177.02,176.8,177.0,7169
2024-11-14 19:45:00,176.83,177.02,176.77,176.88,316
2024-11-14 19:40:00,176.85,177.03,176.8,176.83,595
2024-11-14 19:35:00,176.85,177.03,176.1679,176.925,595
2024-11-14 19:30:00,177.08,177.35,176.9,176.99,1542
2024-11-14 19:25:00,176.93,177.08,176.91,176.99,631
2024-11-14 19:20:00,177.005,177.08,176.9,176.93,1590
2024-11-14 19:15:00,177.035,177.08,176.9308,177.005,1113
2024-11-14 19:10:00,177.03,177.05,177.0,177.0012,247
2024-11-14 19:05:00,176.95,177.08,176.936,176.99,759
2024-11-14 19:00:00,176.95,177.0,176.9,176.9499,71
2024-11-14 18:55:00,176.9998,177.0,176.9,176.9,45
2024-11-14 18:50:00,176.99,177.0,176.9,177.0,1218
2024-11-14 18:45:00,176.95,176.99,176.9,176.9014,126
2024-11-14 18:40:00,176.9,177.0,176.9,176.96,707
2024-11-14 18:35:00,176.915,177.01,176.915,177.0,1351
2024-11-14 18:30:00,176.9,176.94,176.9,176.94,353
2024-11-14 18:25:00,177.02,177.02,176.9,176.9,294
2024-11-14 18:20:00,176.9,177.02,176.9,176.96,788
2024-11-14 18:15:00,176.95,177.0,176.9,176.9,792
2024-11-14 18:10:00,176.85,177.0,176.85,176.9975,498
2024-11-14 18:05:00,176.94,177.03,176.85,177.02,350
2024-11-14 18:00:00,176.96,177.03,176.93,177.03,79
2024-11-14 17:55:00,177.0754,177.0784,176.85,177.07,708
2024-11-14 17:50:00,177.01,177.08,176.85,176.8557,4074
2024-11-14 17:45:00,176.9,177.0085,176.85,177.0085,3589
2024-11-14 17:40:00,176.95,176.95,176.85,176.87,806
2024-11-14 17:35:00,176.91,176.95,176.88,176.89,65
2024-11-14 17:30:00,176.8576,177.35,176.85,176.925,6519
2024-11-14 17:25:00,176.92,176.96,176.85,176.94,367
2024-11-14 17:20:00,176.89,177.08,165.7157,176.85,731
2024-11-14 17:15:00,177.0,177.08,176.85,177.08,640
2024-11-14 17:10:00,177.0,177.08,176.92,176.96,479
