Title,URL,Time Published,Source,Overall Sentiment,Sentiment Label,Ticker Mentioned
Gen Z fuels fast-growing second-hand watch market,https://www.ft.com/content/a831b315-886f-4b59-91a5-96fe352289ad,20241115T040042,Financial Times,0.233314,Somewhat-Bullish,
Before you continue,https://consent.google.com/m,20241115T035633,Business Standard,0.086343,Neutral,
Before you continue,https://consent.google.com/m,20241115T030758,Business Standard,0.086343,Neutral,
Before you continue,https://consent.google.com/m,20241115T020951,Business Standard,0.086343,Neutral,
Beam Global Announces Third Quarter 2024 Operating Results,https://www.globenewswire.com/news-release/2024/11/15/2981737/0/en/Beam-Global-Announces-Third-Quarter-2024-Operating-Results.html,20241115T015700,GlobeNewswire,0.20465,Somewhat-Bullish,
Before you continue,https://consent.google.com/m,20241115T015412,Business Standard,0.086343,Neutral,
Before you continue,https://consent.google.com/m,20241115T013832,Business Standard,0.086343,Neutral,
Before you continue,https://consent.google.com/m,20241115T011552,Business Standard,0.086343,Neutral,
"If You Dropped $1,000 On Spotify When Joe Rogan's Show Became An Exclusive, Here's How Much You'd Have Today - Spotify Technology  ( NYSE:SPOT ) ",https://www.benzinga.com/markets/24/11/41997920/if-you-dropped-1000-on-spotify-when-joe-rogans-show-became-an-exclusive-heres-how-much-youd-have-today,20241115T010416,Benzinga,0.222867,Somewhat-Bullish,
"'Dogecoin Millionaire' Regains Title After DOGE Pump-And This Time, He's Selling",https://decrypt.co/291491/dogecoin-millionaire-regains-title-plans-sell,20241115T004958,Decrypt.co,0.026283,Neutral,
ADCOLOR Unveils Speakers and Special Guests for ADCOLOR 2024,https://www.benzinga.com/pressreleases/24/11/n41997333/adcolor-unveils-speakers-and-special-guests-for-adcolor-2024,20241115T002600,Benzinga,0.347442,Somewhat-Bullish,
Why Alphabet Stock Tumbled on Thursday,https://www.fool.com/investing/2024/11/14/why-alphabet-stock-tumbled-on-thursday/,20241114T232126,Motley Fool,-0.112874,Neutral,
Grateful Dead's Jerry Garcia Resurrected By AI Using His Voice,https://decrypt.co/291749/grateful-deads-jerry-garcia-resurrected-by-ai,20241114T231708,Decrypt.co,0.116723,Neutral,
"Beam Global to Release Q3 2024 Operating Results Conference Call Scheduled for November 15, 2024 at 4:30 p.m. ET - Beam Glb  ( NASDAQ:BEEM ) ",https://www.benzinga.com/pressreleases/24/11/g41994819/beam-global-to-release-q3-2024-operating-results-conference-call-scheduled-for-november-15-2024-at,20241114T224734,Benzinga,0.388081,Bullish,
"Beam Global to Release Q3 2024 Operating Results Conference Call Scheduled for November 15, 2024 at 4:30 p.m. ET",https://www.globenewswire.com/news-release/2024/11/14/2981706/0/en/Beam-Global-to-Release-Q3-2024-Operating-Results-Conference-Call-Scheduled-for-November-15-2024-at-4-30-p-m-ET.html,20241114T224700,GlobeNewswire,0.401142,Bullish,
The Best Use of AI Ever: A 'Grandma' Built To Waste Telescammers' Time,https://decrypt.co/291711/the-best-use-of-ai-ever-a-grandma-built-to-waste-telescammers-time,20241114T224452,Decrypt.co,-0.249989,Somewhat-Bearish,
"Visit San José Launches ""A Very San José Holiday"" Campaign, Showcasing the City as the Bay Area's Ultimate Holiday Destination",https://www.benzinga.com/pressreleases/24/11/n41994307/visit-san-jos-launches-a-very-san-jos-holiday-campaign-showcasing-the-city-as-the-bay-areas-ultima,20241114T223700,Benzinga,0.44586,Bullish,
"Tiger Global Hedge Fund Buys Flutter Entertainment Stock, Sells DexCom - Flutter Entertainment  ( NYSE:FLUT ) ",https://www.benzinga.com/trading-ideas/movers/24/11/41993605/tiger-global-hedge-fund-buys-flutter-entertainment-stock-sells-dexcom,20241114T221835,Benzinga,0.257984,Somewhat-Bullish,
"After Chasing Fame and Finding Darkness, Actress Tehya Johns Finds Light and Love at Homestead Heritage",https://www.benzinga.com/pressreleases/24/11/g41993383/after-chasing-fame-and-finding-darkness-actress-tehya-johns-finds-light-and-love-at-homestead-heri,20241114T221205,Benzinga,0.358483,Bullish,
East Side Games Group Reports Third Quarter 2024 Financial Results - East Side Games Grp  ( OTC:EAGRF ) ,https://www.benzinga.com/pressreleases/24/11/n41992869/east-side-games-group-reports-third-quarter-2024-financial-results,20241114T220000,Benzinga,0.306411,Somewhat-Bullish,
Super League Announces Third Quarter 2024 Financial Results,https://www.globenewswire.com/news-release/2024/11/14/2981645/0/en/Super-League-Announces-Third-Quarter-2024-Financial-Results.html,20241114T212000,GlobeNewswire,0.367344,Bullish,
Cineverse Reports Second Quarter Fiscal Year 2025 Results - Cineverse  ( NASDAQ:CNVS ) ,https://www.benzinga.com/pressreleases/24/11/n41988359/cineverse-reports-second-quarter-fiscal-year-2025-results,20241114T210000,Benzinga,0.28104,Somewhat-Bullish,
Before you continue,https://consent.google.com/m,20241114T202220,Business Standard,0.086343,Neutral,
Pennsylvania Introduces Bitcoin Strategic Reserve Act To Invest Up To $700 Million In BTC,https://www.benzinga.com/markets/cryptocurrency/24/11/41986427/pennsylvania-introduces-bitcoin-strategic-reserve-act-to-invest-up-to-700-million-in-btc,20241114T195221,Benzinga,0.344111,Somewhat-Bullish,
"Here's How Billionaire Ken Fisher's Hedge Fund Made $14 Billion Last Quarter - Apple  ( NASDAQ:AAPL ) , Amazon.com  ( NASDAQ:AMZN ) ",https://www.benzinga.com/trading-ideas/movers/24/11/41985268/heres-how-billionaire-ken-fishers-hedge-fund-made-14-billion-last-quarter,20241114T190737,Benzinga,0.409991,Bullish,
"Bitcoin To Peak At $180,000, Says VanEck's Head Of Digital Assets Research",https://www.benzinga.com/markets/cryptocurrency/24/11/41984505/bitcoin-to-peak-at-180000-says-vanecks-head-of-digital-assets-research,20241114T183853,Benzinga,0.250065,Somewhat-Bullish,
"Nvidia Powers Tesla's Humanoid Robots With New AI Tech: Here's What To Expect In 2025 - Netflix  ( NASDAQ:NFLX ) , Tesla  ( NASDAQ:TSLA ) ",https://www.benzinga.com/media/24/11/41984426/nvidia-powers-teslas-humanoid-robots-with-new-ai-tech-heres-what-to-expect-in-2025,20241114T183751,Benzinga,0.265183,Somewhat-Bullish,
TaiwanPlus Debuts Mandarin Learning YouTube Channel,https://www.benzinga.com/pressreleases/24/11/n41983937/taiwanplus-debuts-mandarin-learning-youtube-channel,20241114T183000,Benzinga,0.424054,Bullish,
"Knocking Inc. Signs Emmy-Nominated TV host, Journalist and Author Debbie Matenopoulos as Celebrity Lifestyle Expert of 'Inside Shop' for Inside Edition",https://www.benzinga.com/pressreleases/24/11/n41983535/knocking-inc-signs-emmy-nominated-tv-host-journalist-and-author-debbie-matenopoulos-as-celebrity-l,20241114T182200,Benzinga,0.423908,Bullish,
Before you continue,https://consent.google.com/m,20241114T180533,Business Standard,0.086343,Neutral,
Before you continue,https://consent.google.com/m,20241114T180100,Business Standard,0.086343,Neutral,
Before you continue,https://consent.google.com/m,20241114T175529,Business Standard,0.086343,Neutral,
Before you continue,https://consent.google.com/m,20241114T174553,Business Standard,0.086343,Neutral,
Before you continue,https://consent.google.com/m,20241114T173807,Business Standard,0.086343,Neutral,
Meta Hit With $841 Million EU Fine Over Antitrust Violations Tied To Facebook Marketplace - Meta Platforms  ( NASDAQ:META ) ,https://www.benzinga.com/government/regulations/24/11/41981957/meta-hit-with-841-million-eu-fine-over-antitrust-violations-tied-to-facebook-marketplace,20241114T173259,Benzinga,-0.048811,Neutral,
Walt Disney  ( DIS )  Q4 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2024/11/14/walt-disney-dis-q4-2024-earnings-call-transcript/,20241114T173014,Motley Fool,0.342057,Somewhat-Bullish,
C3.ai Stock Plunges 12% in a Year: Should Investors Buy on the Dip?,https://www.zacks.com/stock/news/2370636/c3ai-stock-plunges-12-in-a-year-should-investors-buy-on-the-dip,20241114T172400,Zacks Commentary,0.384873,Bullish,
New Swindon crochet store opens to tackle mental health,https://www.benzinga.com/pressreleases/24/11/g41981508/new-swindon-crochet-store-opens-to-tackle-mental-health,20241114T172301,Benzinga,0.501382,Bullish,
Before you continue,https://consent.google.com/m,20241114T171328,Business Standard,0.086343,Neutral,
Before you continue,https://consent.google.com/m,20241114T170651,Business Standard,0.086343,Neutral,
"Carahsoft and Partners Showcase Cutting-Edge Data Analytics and HPC Solutions at SC24 in Atlanta, Nov. 17-22, 2024",https://www.benzinga.com/pressreleases/24/11/g41980493/carahsoft-and-partners-showcase-cutting-edge-data-analytics-and-hpc-solutions-at-sc24-in-atlanta-n,20241114T170000,Benzinga,0.19318,Somewhat-Bullish,
Before you continue,https://consent.google.com/m,20241114T164920,Business Standard,0.086343,Neutral,
Before you continue,https://consent.google.com/m,20241114T164006,Business Standard,0.086343,Neutral,
Solo.io Donates Leading Open Source API Gateway to the CNCF to Drive Community Innovation and Redefine API Management with 'Omni' Directional Connectivity,https://www.benzinga.com/pressreleases/24/11/g41979804/solo-io-donates-leading-open-source-api-gateway-to-the-cncf-to-drive-community-innovation-and-rede,20241114T164000,Benzinga,0.305762,Somewhat-Bullish,
Bybit Card Unveils Limited-edition MBTI and Hamster Designs for New Users,https://www.benzinga.com/pressreleases/24/11/g41979773/bybit-card-unveils-limited-edition-mbti-and-hamster-designs-for-new-users,20241114T163822,Benzinga,0.475932,Bullish,
Before you continue,https://consent.google.com/m,20241114T163035,Business Standard,0.086343,Neutral,
Before you continue,https://consent.google.com/m,20241114T162855,Business Standard,0.086343,Neutral,
Eisai Receives Positive Opinion from the CHMP in the European Union for Lecanemab in Early Alzheimer's Disease,https://www.globenewswire.com/news-release/2024/11/14/2981433/0/en/Eisai-Receives-Positive-Opinion-from-the-CHMP-in-the-European-Union-for-Lecanemab-in-Early-Alzheimer-s-Disease.html,20241114T162300,GlobeNewswire,0.106805,Neutral,
Before you continue,https://consent.google.com/m,20241114T162206,Business Standard,0.086343,Neutral,
Before you continue,https://consent.google.com/m,20241114T161648,Business Standard,0.086343,Neutral,
