fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-09-30,2024-10-23,2.3,2.23,0.07,3.139,post-market
2024-06-30,2024-07-24,2.43,2.2,0.23,10.4545,post-market
2024-03-31,2024-04-24,1.68,1.6,0.08,5,post-market
2023-12-31,2024-01-24,3.87,3.78,0.09,2.381,post-market
2023-09-30,2023-10-25,2.2,2.13,0.07,3.2864,post-market
2023-06-30,2023-07-19,2.18,2.01,0.17,8.4577,post-market
2023-03-31,2023-04-19,1.36,1.26,0.1,7.9365,post-market
2022-12-31,2023-01-25,3.6,3.6,0,0,post-market
2022-09-30,2022-10-19,1.81,1.77,0.04,2.2599,post-market
2022-06-30,2022-07-18,2.31,2.27,0.04,1.7621,post-market
2022-03-31,2022-04-19,1.4,1.38,0.02,1.4493,post-market
2021-12-31,2022-01-24,3.35,3.3,0.05,1.5152,post-market
2021-09-30,2021-10-20,2.52,2.5,0.02,0.8,post-market
2021-06-30,2021-07-19,2.33,2.29,0.04,1.7467,post-market
2021-03-31,2021-04-19,1.77,1.63,0.14,8.589,post-market
2020-12-31,2021-01-21,2.07,1.79,0.28,15.6425,post-market
2020-09-30,2020-10-19,2.58,2.58,0,0,post-market
2020-06-30,2020-07-20,2.18,2.07,0.11,5.314,post-market
2020-03-31,2020-04-20,1.84,1.8,0.04,2.2222,post-market
2019-12-31,2020-01-21,4.71,4.68,0.03,0.641,post-market
2019-09-30,2019-10-16,2.68,2.67,0.01,0.3745,post-market
2019-06-30,2019-07-17,3.17,3.07,0.1,3.2573,post-market
2019-03-31,2019-04-16,2.25,2.22,0.03,1.3514,post-market
2018-12-31,2019-01-22,4.87,4.82,0.05,1.0373,post-market
2018-09-30,2018-10-16,3.42,3.4,0.02,0.5882,post-market
2018-06-30,2018-07-18,3.08,3.04,0.04,1.3158,post-market
2018-03-31,2018-04-17,2.45,2.42,0.03,1.2397,post-market
2017-12-31,2018-01-18,5.18,5.17,0.01,0.1934,post-market
2017-09-30,2017-10-17,3.3,3.28,0.02,0.6098,post-market
2017-06-30,2017-07-18,2.79,2.74,0.05,1.8248,post-market
2017-03-31,2017-04-18,2.38,2.35,0.03,1.2766,post-market
2016-12-31,2017-01-19,5.01,4.88,0.13,2.6639,post-market
2016-09-30,2016-10-17,3.29,3.23,0.06,1.8576,post-market
2016-06-30,2016-07-18,2.95,2.89,0.06,2.0761,post-market
2016-03-31,2016-04-18,2.35,2.09,0.26,12.4402,post-market
2015-12-31,2016-01-19,4.84,4.81,0.03,0.6237,post-market
2015-09-30,2015-10-19,3.34,3.3,0.04,1.2121,post-market
2015-06-30,2015-07-20,3.84,3.78,0.06,1.5873,post-market
2015-03-31,2015-04-20,2.91,2.8,0.11,3.9286,post-market
2014-12-31,2015-01-20,5.81,5.41,0.4,7.3937,post-market
2014-09-30,2014-10-20,3.68,4.31,-0.63,-14.6172,pre-market
2014-06-30,2014-07-17,4.32,4.29,0.03,0.6993,pre-market
2014-03-31,2014-04-16,2.46,2.54,-0.08,-3.1496,pre-market
2013-12-31,2014-01-21,6.13,5.99,0.14,2.3372,pre-market
2013-09-30,2013-10-16,3.99,3.96,0.03,0.7576,pre-market
2013-06-30,2013-07-17,3.91,3.77,0.14,3.7135,pre-market
2013-03-31,2013-04-18,3,3.05,-0.05,-1.6393,pre-market
2012-12-31,2013-01-22,5.39,5.25,0.14,2.6667,pre-market
2012-09-30,2012-10-16,3.62,3.61,0.01,0.277,pre-market
2012-06-30,2012-07-18,3.51,3.42,0.09,2.6316,pre-market
2012-03-31,2012-04-17,2.78,2.65,0.13,4.9057,pre-market
2011-12-31,2012-01-19,4.71,4.62,0.09,1.9481,pre-market
2011-09-30,2011-10-17,3.28,3.22,0.06,1.8634,pre-market
2011-06-30,2011-07-18,3.09,3.03,0.06,1.9802,pre-market
2011-03-31,2011-04-19,2.41,2.3,0.11,4.7826,pre-market
2010-12-31,2011-01-18,4.18,4.08,0.1,2.451,pre-market
2010-09-30,2010-10-18,2.82,2.75,0.07,2.5455,pre-market
2010-06-30,2010-07-19,2.61,2.58,0.03,1.1628,pre-market
2010-03-31,2010-04-19,1.97,1.93,0.04,2.0725,pre-market
2009-12-31,2010-01-19,3.59,3.47,0.12,3.4582,pre-market
2009-09-30,2009-10-15,2.4,2.38,0.02,0.8403,pre-market
2009-06-30,2009-07-16,2.32,2.02,0.3,14.8515,pre-market
2009-03-31,2009-04-20,1.7,1.66,0.04,2.4096,pre-market
2008-12-31,2009-01-20,3.28,3.03,0.25,8.2508,pre-market
2008-09-30,2008-10-16,2.05,2.03,0.02,0.9852,pre-market
2008-06-30,2008-07-17,1.98,1.82,0.16,8.7912,pre-market
2008-03-31,2008-04-16,1.65,1.45,0.2,13.7931,pre-market
2007-12-31,2008-01-17,2.8,2.68,0.12,4.4776,pre-market
2007-09-30,2007-10-16,1.68,1.67,0.01,0.5988,pre-market
2007-06-30,2007-07-18,1.5,1.47,0.03,2.0408,pre-market
2007-03-31,2007-04-17,1.21,1.21,0,0,pre-market
2006-12-31,2007-01-18,2.26,2.19,0.07,3.1963,pre-market
2006-09-30,2006-10-17,1.45,1.35,0.1,7.4074,pre-market
2006-06-30,2006-07-18,1.3,1.29,0.01,0.7752,pre-market
2006-03-31,2006-04-18,1.08,1.05,0.03,2.8571,pre-market
2005-12-31,2006-01-17,2.11,1.94,0.17,8.7629,pre-market
2005-09-30,2005-10-17,1.26,1.13,0.13,11.5044,pre-market
2005-06-30,2005-07-18,1.12,1.03,0.09,8.7379,pre-market
2005-03-31,2005-04-14,0.85,0.9,-0.05,-5.5556,pre-market
2004-12-31,2005-01-18,1.81,1.76,0.05,2.8409,pre-market
2004-09-30,2004-10-18,1.17,1.14,0.03,2.6316,pre-market
2004-06-30,2004-07-15,1.16,1.12,0.04,3.5714,pre-market
2004-03-31,2004-04-15,0.93,0.93,0,0,pre-market
2003-12-31,2004-01-15,1.56,1.5,0.06,4,pre-market
2003-09-30,2003-10-15,1.02,1.02,0,0,pre-market
2003-06-30,2003-07-16,0.97,0.98,-0.01,-1.0204,pre-market
2003-03-31,2003-04-14,0.79,0.8,-0.01,-1.25,pre-market
2002-12-31,2003-01-16,1.34,1.3,0.04,3.0769,pre-market
2002-09-30,2002-10-16,0.99,0.96,0.03,3.125,pre-market
