Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,227.5,238.38,225.51,238.04,238.04,18743737
2024-11-29,207.77,230.36,204.07,227.41,227.41,77280587
2024-10-31,220.63,237.37,203.51,206.72,205.0957,105624376
2024-09-30,201.91,224.15,199.335,221.08,219.3428,83415811
2024-08-30,192.81,202.17,181.81,202.13,200.5417,65453729
2024-07-31,173.45,196.26,173.38,192.14,188.9817,81258646
2024-06-28,166.54,178.4599,163.53,172.95,170.1072,70706301
2024-05-31,165.69,175.46,162.62,166.85,164.1074,78620355
2024-04-30,190.0,193.28,165.2605,166.2,161.8426,98297181
2024-03-28,185.49,199.18,185.18,190.96,185.9534,99921776
2024-02-29,183.63,188.95,178.75,185.03,180.1789,88679550
2024-01-31,162.83,196.9,157.885,183.66,177.2489,128121557
2023-12-29,158.41,166.34,158.0,163.55,157.8409,87358302
2023-11-30,145.0,158.6,144.45,158.56,153.025,78460252
2023-10-31,140.04,144.76,135.87,144.64,138.0282,94386980
2023-09-29,147.26,151.9299,139.61,140.3,133.8866,82806487
2023-08-31,144.25,147.7275,139.76,146.83,140.1181,84274205
2023-07-31,133.42,144.605,131.55,144.18,136.0048,85778938
2023-06-30,128.44,139.469,127.78,133.81,126.2228,100722016
2023-05-31,126.35,130.0699,120.55,128.59,121.2988,95710890
2023-04-28,130.97,132.61,124.56,126.41,117.6309,83664114
2023-03-31,128.9,131.48,121.71,131.09,121.9859,138093084
2023-02-28,134.49,137.39,128.86,129.3,120.3202,76080679
2023-01-31,141.1,147.18,132.98,134.73,123.8453,105576019
2022-12-30,149.98,153.21,137.195,140.89,129.5076,86426226
2022-11-30,138.25,150.46,133.97,148.9,136.8705,93620235
2022-10-31,120.16,138.8615,115.545,138.29,125.6091,113480787
2022-09-30,128.4,130.99,118.61,118.81,107.9154,87256958
2022-08-31,130.75,139.34,128.4,128.45,116.6714,77392342
2022-07-29,141.0,141.87,125.13,130.79,117.3019,129801061
2022-06-30,139.67,144.73,132.85,141.19,126.6294,105815743
2022-05-31,133.0,139.83,125.8,138.84,124.5218,113207659
2022-04-29,129.66,141.88,124.91,132.21,117.1378,107525264
2022-03-31,122.67,133.08,120.7,130.02,115.1975,96447210
2022-02-28,133.76,138.82,118.81,122.51,108.5437,98492968
2022-01-31,134.07,142.2,124.193,133.57,116.9069,147238382
2021-12-31,118.25,134.99,116.56,133.66,116.9856,113930079
2021-11-30,125.05,127.29,114.56,117.1,102.4915,119252012
2021-10-29,141.0,146.0,124.62,125.1,103.2768,144097758
2021-09-30,139.98,140.57,132.78,138.93,114.6942,76644238
