Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,227.5,238.38,225.51,238.04,238.04,18743737
2024-11-29,223.35,230.36,222.65,227.41,227.41,17274177
2024-11-22,207.0,227.2,205.3701,222.97,222.97,21386866
2024-11-15,214.4,215.41,204.07,204.99,204.99,19438346
2024-11-08,207.65,216.7,205.57,213.72,212.0406,15846890
2024-11-01,215.5,216.25,203.51,208.25,206.6136,26467891
2024-10-25,231.21,233.34,214.385,214.67,212.9832,31380820
2024-10-18,233.57,237.37,230.17,232.2,230.3754,18477394
2024-10-11,225.38,235.83,225.02,233.26,231.4271,18398213
2024-10-04,220.65,226.08,215.798,226.0,224.2242,17778630
2024-09-27,218.0,224.15,217.27,220.84,219.1047,16300165
2024-09-20,215.88,218.84,210.37,217.7,215.9894,28532770
2024-09-13,201.94,216.09,201.43,214.79,213.1022,21518747
2024-09-06,201.91,205.95,199.335,200.74,199.1626,13519865
2024-08-30,196.0,202.17,195.9,202.13,200.5417,15570283
2024-08-23,193.84,197.92,193.715,196.1,194.5591,11022549
2024-08-16,191.25,194.35,189.0001,193.78,192.2573,11330854
2024-08-09,184.55,192.88,181.81,191.45,189.9456,18895865
2024-08-02,193.18,194.5499,185.7,189.12,186.0114,20594367
2024-07-26,183.4,196.26,182.86,191.75,188.5982,25458498
2024-07-19,183.38,189.47,181.95,183.25,180.2379,17829469
2024-07-12,176.41,184.16,174.45,182.83,179.8248,16071235
2024-07-05,173.45,177.98,173.38,176.02,173.1267,9939255
2024-06-28,175.0,178.4599,170.41,172.95,170.1072,18850478
2024-06-21,168.76,174.96,167.5,172.46,169.6252,21531360
2024-06-14,169.55,172.47,166.81,169.21,166.4287,16222067
2024-06-07,166.54,171.305,163.53,170.01,167.2155,14102396
2024-05-31,170.44,171.085,163.84,166.85,164.1074,15594186
2024-05-24,169.0,175.46,168.38,170.89,168.081,18410125
2024-05-17,167.5,169.63,166.48,169.03,166.2516,15933303
2024-05-10,166.5,170.26,165.88,167.15,164.4025,17421523
2024-05-03,167.4,168.22,162.62,165.71,161.3654,22536194
2024-04-26,182.45,184.68,165.66,167.13,162.7482,42329269
2024-04-19,185.57,187.48,180.17,181.58,176.8194,16929550
2024-04-12,189.24,191.25,181.685,182.27,177.4913,14955313
2024-04-05,190.0,193.28,187.34,189.14,184.1812,12808073
2024-03-28,190.26,191.9299,188.5,190.96,185.9534,15383298
2024-03-22,191.7,193.98,190.01,190.84,185.8366,23968505
2024-03-15,195.09,199.18,190.7,191.07,186.0606,27466323
2024-03-08,187.76,198.73,187.6,195.95,190.8126,29085296
2024-03-01,185.6,188.38,182.62,188.2,183.2658,21955379
2024-02-23,187.64,188.77,178.75,185.72,180.8508,17487852
2024-02-16,185.9,188.95,182.26,187.64,182.7205,21745006
2024-02-09,185.51,187.18,181.49,186.34,181.4546,22784812
2024-02-02,187.46,189.46,182.71,185.79,179.3045,28283876
2024-01-26,172.82,196.9,172.4,187.42,180.8776,56232762
2024-01-19,165.8,171.5791,165.04,171.48,165.494,19864308
2024-01-12,158.69,165.98,157.885,165.8,160.0123,17643392
2024-01-05,162.83,163.29,158.67,159.16,153.6041,14822074
2023-12-29,162.23,164.18,162.05,163.55,157.8409,9376537
2023-12-22,162.23,163.33,159.53,162.14,156.4801,17686398
2023-12-15,162.68,166.34,160.149,162.23,156.5669,33504550
2023-12-08,160.29,162.79,159.97,161.96,156.3064,21918957
2023-12-01,154.99,160.59,154.75,160.55,154.9456,21900644
2023-11-24,152.51,155.705,152.35,155.18,149.763,11362696
2023-11-17,148.46,153.5,147.35,152.89,147.553,19547595
2023-11-10,147.89,149.68,145.28,149.02,143.8181,18357944
2023-11-03,143.19,148.445,142.58,147.9,141.1392,22959464
2023-10-27,136.63,144.7,135.87,142.52,136.0051,30227448
2023-10-20,139.28,140.62,136.31,137.16,130.8902,21044049
2023-10-13,142.3,143.415,138.27,138.46,132.1307,16386334
2023-10-06,140.04,142.94,139.86,142.03,135.5375,15932918
2023-09-29,146.57,147.43,139.61,140.3,133.8866,23445425
2023-09-22,145.77,151.9299,144.66,146.91,140.1945,23597168
2023-09-15,148.57,148.78,145.53,145.99,139.3165,19316647
2023-09-08,147.91,149.0,147.12,147.68,140.9293,13719451
2023-09-01,145.41,148.1,145.21,147.94,141.1774,15198607
2023-08-25,141.42,145.47,141.11,145.35,138.7058,15614989
2023-08-18,143.05,143.365,139.76,141.41,134.9459,18826007
2023-08-11,145.0,146.5,142.205,143.12,136.5777,19428470
2023-08-04,143.81,146.09,142.17,144.24,136.0614,24072830
2023-07-28,139.35,143.95,138.7788,143.45,135.3162,24310886
2023-07-21,133.26,140.32,133.1,138.94,131.0619,29295540
2023-07-14,131.76,135.33,131.695,133.4,125.8361,15109770
2023-07-07,133.42,134.35,131.55,132.08,124.5909,10923840
2023-06-30,129.39,135.03,129.31,133.81,126.2228,18695850
2023-06-23,136.36,137.23,129.18,129.43,122.0912,27111509
2023-06-16,136.0,139.469,135.8216,137.48,129.6847,24228597
2023-06-09,133.12,136.1,131.88,135.3,127.6283,21174178
2023-06-02,129.56,133.12,127.46,132.42,124.9116,24339245
2023-05-26,127.5,129.66,125.01,128.89,121.5818,21029979
2023-05-19,123.0,128.29,122.34,127.26,120.0442,18284524
2023-05-12,123.76,123.92,120.55,122.84,115.8748,20404364
2023-05-05,126.35,126.75,121.7563,123.65,115.0626,21164660
2023-04-28,125.55,127.25,124.56,126.41,117.6309,20644224
2023-04-21,128.3,130.98,125.27,125.73,116.9981,30341128
2023-04-14,129.83,131.105,126.0,128.14,119.2407,19506500
2023-04-06,130.97,132.61,130.315,130.5,121.4368,13172262
2023-03-31,126.47,131.48,126.47,131.09,121.9859,20779522
2023-03-24,124.31,127.215,122.6,125.29,116.5887,20458253
2023-03-17,125.15,128.19,121.71,123.69,115.0998,66132690
2023-03-10,129.64,130.86,125.13,125.45,116.7376,20761401
2023-03-03,131.42,131.87,127.71,129.64,120.6366,17865677
2023-02-24,134.0,134.385,128.86,130.57,121.502,14198950
2023-02-17,136.0,137.39,133.89,135.02,125.6429,16543870
2023-02-10,135.83,136.74,133.34,135.6,126.1826,22140989
2023-02-03,134.32,136.95,132.8,136.94,125.8767,27874571
2023-01-27,141.4,142.985,132.98,134.39,123.5327,43345140
2023-01-20,146.42,147.18,139.75,141.2,129.7925,21419368
2023-01-13,144.08,146.66,142.9,145.89,134.1036,14580596
2023-01-06,141.1,144.25,140.01,143.7,132.0906,13648755
2022-12-30,141.73,142.81,139.45,140.89,129.5076,10477419
2022-12-23,140.16,143.09,137.195,141.65,130.2062,19663576
2022-12-16,147.82,153.21,138.97,140.16,128.8366,33572382
2022-12-09,147.94,149.153,146.29,147.05,135.1699,15316930
2022-12-02,147.98,150.01,145.67,148.67,136.659,20066941
2022-11-25,147.55,150.46,146.45,148.37,136.3833,16271883
2022-11-18,142.63,148.31,142.0,147.64,135.7123,22034930
2022-11-11,136.64,144.13,136.51,143.17,131.6034,25066114
2022-11-04,138.06,140.17,133.97,136.96,124.4011,22491556
2022-10-28,130.9,138.8615,129.85,138.51,125.809,26667185
2022-10-21,121.8,130.845,121.43,129.9,117.9885,37309868
2022-10-14,119.79,122.54,115.545,120.04,109.0326,22973512
2022-10-07,120.16,126.46,118.07,118.82,107.9245,21614952
2022-09-30,122.3,124.26,118.61,118.81,107.9154,22265241
2022-09-23,126.49,128.06,121.74,122.71,111.4578,19442664
2022-09-16,130.33,130.99,123.83,127.27,115.5996,27107187
2022-09-09,127.8,129.49,126.28,129.19,117.3436,12004834
2022-09-02,129.99,131.42,127.24,127.79,116.0719,15086608
2022-08-26,137.65,137.85,130.34,130.38,118.4245,16982107
2022-08-19,132.96,139.34,132.24,138.37,125.6818,17105977
2022-08-12,133.1,134.09,129.12,134.01,121.7216,17254110
2022-08-05,130.75,132.862,130.51,132.48,118.8176,17400572
2022-07-29,128.44,131.0,127.58,130.79,117.3019,22223785
2022-07-22,140.15,140.31,125.13,128.25,115.0239,66246811
2022-07-15,140.62,141.87,135.02,139.92,125.4904,21089228
2022-07-08,139.97,141.325,135.27,140.47,125.9837,16229131
2022-07-01,142.26,144.155,139.26,141.12,126.5666,21052787
2022-06-24,135.9,142.37,135.9,142.06,127.4097,23921844
2022-06-17,133.97,138.45,132.85,135.02,121.0957,34055621
2022-06-10,142.98,144.73,135.25,136.19,122.145,18914084
2022-06-03,138.2,142.5794,136.81,141.18,126.6204,19861566
2022-05-27,129.5,139.7394,129.42,139.27,124.9074,19618090
2022-05-20,133.1,138.37,125.8,128.48,115.2302,27360441
2022-05-13,134.41,136.345,128.43,133.6,119.8221,31171489
2022-05-06,133.0,137.99,130.89,137.67,121.9754,27079586
2022-04-29,137.59,139.87,132.0,132.21,117.1378,24560464
2022-04-22,126.6,141.88,125.53,138.25,122.4893,47056765
2022-04-14,127.95,130.58,124.91,126.56,112.1319,15342641
2022-04-08,130.26,131.23,126.73,127.73,113.1686,16553021
2022-04-01,130.82,133.08,128.06,130.15,115.3127,19183786
2022-03-25,129.0,131.4,127.4,131.35,116.3759,15440952
2022-03-18,124.45,128.93,122.685,128.76,114.0811,22675632
2022-03-11,126.47,128.345,123.125,123.96,109.8284,23784887
2022-03-04,122.21,127.35,120.7,126.62,112.1851,26131658
2022-02-25,124.2,125.0,118.81,124.18,110.0233,20417161
2022-02-18,132.59,132.65,123.61,124.35,110.1739,26022824
