transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2024-11-20,NFLX,"SWEENEY, ANNE M",Director,Non-Qualified Stock Option (right to buy),D,197.0,0.0
2024-11-20,NFLX,"KILGORE, LESLIE J",Director,Non-Qualfied Stock Option (right to buy),D,311.0,0.0
2024-11-20,NFLX,"KILGORE, LESLIE J",Director,Common Stock,D,311.0,879.98
2024-11-20,NFLX,"KILGORE, LESLIE J",Director,Common Stock,A,311.0,201.07
2024-11-20,NFLX,"SWEENEY, ANNE M",Director,Non-Qualfied Stock Option (right to buy),D,195.0,0.0
2024-11-20,NFLX,"SWEENEY, ANNE M",Director,Common Stock,D,589.0,880.0
2024-11-20,NFLX,"SWEENEY, ANNE M",Director,Common Stock,A,195.0,319.5
2024-11-20,NFLX,"SWEENEY, ANNE M",Director,Common Stock,A,197.0,317.38
2024-11-20,NFLX,"SWEENEY, ANNE M",Director,Common Stock,A,197.0,316.95
2024-11-20,NFLX,"SWEENEY, ANNE M",Director,Non-Qualfied Stock Option (right to buy),D,197.0,0.0
2024-11-19,NFLX,"KILGORE, LESLIE J",Director,Common Stock,D,313.0,870.0
2024-11-19,NFLX,"KILGORE, LESLIE J",Director,Non-Qualfied Stock Option (right to buy),D,316.0,0.0
2024-11-19,NFLX,"SWEENEY, ANNE M",Director,Common Stock,A,200.0,313.48
2024-11-19,NFLX,"SWEENEY, ANNE M",Director,Common Stock,A,202.0,309.99
2024-11-19,NFLX,"SWEENEY, ANNE M",Director,Common Stock,A,199.0,313.3
2024-11-19,NFLX,"SWEENEY, ANNE M",Director,Common Stock,D,601.0,860.0
2024-11-19,NFLX,"SWEENEY, ANNE M",Director,Non-Qualfied Stock Option (right to buy),D,200.0,0.0
2024-11-19,NFLX,"SWEENEY, ANNE M",Director,Non-Qualified Stock Option (right to buy),D,202.0,0.0
2024-11-19,NFLX,"SWEENEY, ANNE M",Director,Non-Qualfied Stock Option (right to buy),D,199.0,0.0
2024-11-19,NFLX,"KILGORE, LESLIE J",Director,Non-Qualified Stock Option (right to buy),D,313.0,0.0
2024-11-19,NFLX,"KILGORE, LESLIE J",Director,Common Stock,A,316.0,198.0
2024-11-19,NFLX,"KILGORE, LESLIE J",Director,Common Stock,A,313.0,199.46
2024-11-19,NFLX,"KILGORE, LESLIE J",Director,Common Stock,D,316.0,865.0
2024-11-14,NFLX,"KILGORE, LESLIE J",Director,Common Stock,A,324.0,192.91
2024-11-14,NFLX,"KILGORE, LESLIE J",Director,Non-Qualified Stock Option (right to buy),D,324.0,0.0
2024-11-14,NFLX,"KILGORE, LESLIE J",Director,Common Stock,D,324.0,840.0
2024-11-12,NFLX,"KILGORE, LESLIE J",Director,Common Stock,A,334.0,186.82
2024-11-12,NFLX,"KILGORE, LESLIE J",Director,Non-Qualified Stock Option (right to buy),D,334.0,0.0
2024-11-12,NFLX,"KILGORE, LESLIE J",Director,Common Stock,D,334.0,820.0
2024-11-11,NFLX,"HALEY, TIMOTHY M",Director,Common Stock,A,647.0,96.67
2024-11-11,NFLX,"HALEY, TIMOTHY M",Director,Non-Qualified Stock Option (right to buy),D,647.0,0.0
2024-11-11,NFLX,"KILGORE, LESLIE J",Director,Common Stock,D,343.0,800.0
2024-11-11,NFLX,"KILGORE, LESLIE J",Director,Non-Qualified Stock Option (right to buy),D,343.0,0.0
2024-11-11,NFLX,"HALEY, TIMOTHY M",Director,Common Stock,D,647.0,800.1929
2024-11-11,NFLX,"KILGORE, LESLIE J",Director,Common Stock,A,343.0,182.03
2024-11-07,NFLX,"KILGORE, LESLIE J",Director,Common Stock,D,347.0,787.0
2024-11-07,NFLX,"KILGORE, LESLIE J",Director,Common Stock,A,347.0,179.95
2024-11-07,NFLX,"KILGORE, LESLIE J",Director,Non-Qualified Stock Option (right to buy),D,347.0,0.0
2024-11-06,NFLX,"KILGORE, LESLIE J",Director,Non-Qualified Stock Option (right to buy),D,353.0,0.0
2024-11-06,NFLX,"KILGORE, LESLIE J",Director,Common Stock,D,353.0,775.0
2024-11-06,NFLX,"KILGORE, LESLIE J",Director,Common Stock,A,353.0,177.01
