Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,887.51,935.27,884.12,934.74,934.74,13270919
2024-11-29,753.48,908.0,747.77,886.81,886.81,64164477
2024-10-31,713.64,773.0,677.88,756.03,756.03,85337842
2024-09-30,700.1,725.26,660.8,709.27,709.27,53097358
2024-08-30,629.25,711.33,587.04,701.35,701.35,67317690
2024-07-31,674.89,697.49,617.0001,628.35,628.35,80917355
2024-06-28,645.215,689.88,626.44,674.88,674.88,54272118
2024-05-31,547.84,664.25,544.25,641.62,641.62,69003643
2024-04-30,608.0,639.0,542.01,550.64,550.64,93798492
2024-03-28,599.81,634.3899,592.0,607.33,607.33,60082935
2024-02-29,567.02,605.36,549.0,602.92,602.92,71657013
2024-01-31,483.185,579.64,461.86,564.11,564.11,145799682
2023-12-29,473.17,500.89,445.73,486.88,486.88,80384110
2023-11-30,414.77,482.7,414.1798,473.97,473.97,71753994
2023-10-31,377.48,418.84,344.73,411.69,411.69,164044616
2023-09-29,437.725,453.45,371.1,377.6,377.6,100318111
2023-08-31,437.37,445.2499,398.15,433.68,433.68,107345716
2023-07-31,439.76,485.0,411.88,438.97,438.97,168815860
2023-06-30,397.41,448.65,393.08,440.49,440.49,147280502
2023-05-31,329.435,405.11,315.62,395.23,395.23,145460985
2023-04-28,341.83,349.8,316.1,329.93,329.93,127949417
2023-03-31,321.55,345.84,285.3301,345.48,345.48,157586504
2023-02-28,353.86,379.4301,314.3,322.13,322.13,123378003
2023-01-31,298.06,369.02,288.7,353.86,353.86,206417551
2022-12-30,303.99,332.7236,273.41,294.88,294.88,193080958
2022-11-30,296.17,312.71,252.09,305.53,305.53,185681922
2022-10-31,237.85,305.63,211.73,291.88,291.88,335299232
2022-09-30,220.72,250.49,214.69,235.44,235.44,233874981
2022-08-31,223.095,251.99,218.74,223.56,223.56,152260437
2022-07-29,176.49,230.75,169.702,224.9,224.9,270098156
2022-06-30,198.7,207.38,164.28,174.87,174.87,192596138
2022-05-31,191.71,204.38,162.71,197.44,197.44,251505649
2022-04-29,376.8,396.02,185.6,190.36,190.36,402229557
2022-03-31,391.6,396.5,329.82,374.59,374.59,119130359
2022-02-28,432.96,458.48,354.72,394.52,394.52,150981606
2022-01-31,605.61,609.99,351.46,427.14,427.14,241496528
2021-12-31,649.48,654.52,581.74,602.44,602.44,60004525
2021-11-30,689.06,700.9894,640.01,641.9,641.9,64371322
2021-10-29,604.24,690.9699,594.68,690.31,690.31,98581620
2021-09-30,569.0,619.0,568.08,610.34,610.34,82338296
2021-08-31,519.0,569.48,505.37,569.19,569.19,54707801
2021-07-30,525.72,557.5399,504.66,517.57,517.57,77194388
2021-06-30,504.01,536.13,482.14,528.21,528.21,78536070
2021-05-28,512.65,518.95,478.54,502.81,502.81,66932689
2021-04-30,529.93,563.56,499.0,513.47,513.47,111580464
2021-03-31,545.5734,556.99,492.85,521.66,521.66,90187968
2021-02-26,536.79,566.65,518.28,538.85,538.85,61545689
2021-01-29,539.0,593.2877,485.6701,532.39,532.39,139998993
2020-12-31,492.3404,545.5,491.29,540.73,540.73,77399169
2020-11-30,478.87,518.7337,463.41,490.7,490.7,91714605
2020-10-30,506.03,572.49,472.21,475.74,475.74,154319302
2020-09-30,532.6,557.3895,458.6,500.03,500.03,118814502
2020-08-31,490.86,549.04,466.55,529.56,529.56,116258856
2020-07-31,454.0,575.37,454.0,488.88,488.88,232102398
2020-06-30,418.83,474.01,404.25,455.04,455.04,117293703
2020-05-29,415.1,458.97,397.86,419.73,419.73,135055446
2020-04-30,376.05,449.52,357.51,419.85,419.85,225161942
2020-03-31,373.11,393.52,290.25,375.5,375.5,201974491
2020-02-28,347.24,392.95,346.28,369.03,369.03,114109315
2020-01-31,326.1,359.85,321.2,345.09,345.09,168074372
2019-12-31,314.39,338.0,292.02,323.57,323.57,125111575
2019-11-29,288.7,316.82,281.14,314.66,314.66,113765792
2019-10-31,267.35,308.75,257.01,287.41,287.41,234943732
2019-09-30,290.82,301.55,252.28,267.62,267.62,176233042
2019-08-30,324.25,328.58,287.1968,293.75,293.75,137336106
2019-07-31,373.5,384.76,305.81,322.99,322.99,196691550
2019-06-28,343.56,375.0,332.65,367.32,367.32,111051934
2019-05-31,374.0,385.99,341.39,343.28,343.28,125298454
2019-04-30,359.0,384.8,342.27,370.54,370.54,165087220
2019-03-29,362.26,379.0,342.47,356.56,356.56,144841905
2019-02-28,337.18,371.49,336.5,358.1,358.1,148192110
2019-01-31,259.28,358.85,256.58,339.5,339.5,306630336
2018-12-31,293.19,298.72,231.23,267.66,267.66,234304628
2018-11-30,304.59,332.0499,250.0,286.13,286.13,257126498
2018-10-31,375.85,386.7999,271.2093,301.78,301.78,363589920
2018-09-28,366.47,383.2,335.83,374.13,374.13,170832156
2018-08-31,335.87,376.8085,310.928,367.68,367.68,213144082
2018-07-31,385.45,419.77,328.0,337.45,337.45,305487432
2018-06-29,353.88,423.2056,352.82,391.43,391.43,244032001
2018-05-31,310.36,356.1,305.73,351.6,351.6,142051114
2018-04-30,291.94,338.82,271.2239,312.46,312.46,262064417
2018-03-29,292.75,333.98,275.9,295.35,295.35,260507993
2018-02-28,266.41,297.36,236.11,291.38,291.38,180222504
2018-01-31,196.1,286.81,195.42,270.3,270.3,226315174
2017-12-29,186.99,194.49,178.38,191.96,191.96,110711885
2017-11-30,197.24,202.48,184.32,187.58,187.58,110007825
2017-10-31,182.11,204.38,176.58,196.43,196.43,202226058
2017-09-29,175.55,189.95,172.44,181.35,181.35,109725318
2017-08-31,182.49,184.62,164.23,174.71,174.71,133570518
2017-07-31,149.8,191.5,144.25,181.66,181.66,176027440
2017-06-30,163.52,166.87,147.3,149.41,149.41,134019677
2017-05-31,151.91,164.75,151.61,163.07,163.07,114553205
2017-04-28,146.7,153.52,138.66,152.2,152.2,149459734
2017-03-31,142.84,148.29,138.26,147.81,147.81,106572265
2017-02-28,141.2,145.95,139.05,142.13,142.13,87621026
2017-01-31,124.96,143.46,124.31,140.71,140.71,182188811
2016-12-30,117.52,129.07,113.95,123.8,123.8,128529159
2016-11-30,124.98,125.83,110.68,117.0,117.0,147512942
2016-10-31,98.0,129.29,97.63,124.87,124.87,274097791
2016-09-30,97.81,100.35,93.26,98.55,98.55,169724435
2016-08-31,91.23,98.85,90.5,97.45,97.45,182611315
2016-07-29,95.0,101.27,84.5,91.25,91.25,320137989
2016-06-30,101.5,102.15,84.81,91.48,91.48,218261920
2016-05-31,90.41,104.0,85.74,102.57,102.57,265066427
2016-04-29,102.93,111.85,88.21,90.03,90.03,340174277
2016-03-31,94.58,104.91,93.61,102.23,102.23,311298972
2016-02-29,91.79,97.48,79.95,93.41,93.41,389268936
2016-01-29,109.0,122.18,90.11,91.84,91.84,488193128
2015-12-31,124.47,133.27,113.85,114.38,114.38,320005595
2015-11-30,109.2,126.6,101.86,123.33,123.33,320277028
2015-10-30,102.91,115.83,96.26,108.38,108.38,446442151
2015-09-30,109.36,111.24,93.55,103.26,103.26,496545738
2015-08-31,114.6,129.29,85.5,115.03,115.03,469605799
2015-07-31,663.64,716.16,97.05,114.31,114.31,266271497
2015-06-30,621.86,706.24,615.61,656.94,93.8485,67037351
2015-05-29,558.99,631.44,552.26,624.06,89.1513,40004097
2015-04-30,417.5,576.13,409.25,556.5,79.4999,72638621
2015-03-31,474.0,480.25,410.01,416.69,59.5271,46838521
2015-02-27,439.9,486.499,433.69,474.91,67.8442,29957829
2015-01-30,344.06,457.38,316.85,441.8,63.1142,60846647
2014-12-31,345.0,357.95,315.5405,341.61,48.8014,38031004
2014-11-28,393.23,395.52,344.0,346.59,49.5128,36663139
2014-10-31,448.69,467.99,331.0,392.77,56.1099,83355312
2014-09-30,478.5,489.2867,438.8801,451.18,64.4542,38306261
2014-08-29,421.76,485.3,412.51,477.64,68.2342,39182700
2014-07-31,456.23,475.87,418.52,422.72,60.3885,61405600
2014-06-30,419.48,450.82,412.5,440.6,62.9428,50380000
2014-05-30,324.05,421.74,314.36,417.83,59.6899,74833900
2014-04-30,351.75,380.88,299.5,322.04,46.0057,92657900
2014-03-31,441.19,458.0,349.88,352.03,50.2899,53891400
2014-02-28,411.9,457.79,397.01,445.63,63.6614,45340600
2014-01-31,366.81,412.4,319.07,409.33,58.4757,85774100
2013-12-31,364.88,383.96,352.0,368.17,52.5957,44758400
2013-11-29,328.83,367.8,325.15,365.8,52.2571,49079700
2013-10-31,314.77,355.4158,282.8,322.48,46.0685,120065200
2013-09-30,287.43,320.39,284.55,309.21,44.1728,55265400
2013-08-30,246.54,290.23,241.38,283.91,40.5585,59548400
2013-07-31,213.62,270.31,212.0,244.484,34.9263,77560100
2013-06-28,227.05,235.88,205.75,211.09,30.1557,58948100
2013-05-31,215.92,248.85,204.02,226.25,32.3214,76684000
2013-04-30,190.95,224.3,159.0,216.07,30.8671,122076600
2013-03-28,187.11,197.06,176.16,189.28,27.04,74344100
2013-02-28,170.0,197.62,162.78,188.08,26.8685,107938800
2013-01-31,95.21,177.25,90.69,165.24,23.6057,141701300
2012-12-31,81.85,97.8,74.5,92.59,13.2271,85462300
2012-11-30,77.85,84.56,74.5,81.71,11.6728,71146800
2012-10-31,54.6,84.95,54.34,79.2394,11.3199,159187800
2012-09-28,58.0,61.419,53.05,54.44,7.7771,91304500
2012-08-31,57.43,66.65,52.81,59.72,8.5314,85858400
2012-07-31,68.77,86.65,56.14,56.85,8.1214,141149300
2012-06-29,60.95,70.48,60.7,68.485,9.7836,71344500
2012-05-31,80.29,82.98,62.365,63.44,9.0628,112694400
2012-04-30,114.8,114.8,79.76,80.14,11.4486,120322000
2012-03-30,109.1,123.48,102.53,115.04,16.4343,116380100
2012-02-29,121.41,133.43,106.64,110.73,15.8186,143239100
2012-01-31,70.28,129.48,70.13,120.2,17.1714,261331800
2011-12-30,64.42,77.59,64.0,69.29,9.8986,120290800
2011-11-30,80.1099,93.84,62.37,64.53,9.2186,150494500
2011-10-31,115.14,128.5,74.25,82.08,11.7257,241583300
2011-09-30,234.53,238.5,107.63,113.27,16.1814,239941200
2011-08-31,268.54,269.5,203.3515,235.01,33.5728,91512100
2011-07-29,262.06,304.79,251.46,265.99,37.9985,102389500
2011-06-30,269.47,277.7,240.12,262.69,37.5271,87639400
2011-05-31,238.22,270.8,225.3,270.8,38.6857,96884000
2011-04-29,241.0,254.98,224.41,232.67,33.2385,111997100
2011-03-31,206.2,242.1693,188.89,237.78,33.9685,141193100
2011-02-28,214.63,247.55,203.0,206.67,29.5243,105283200
2011-01-31,175.0,218.0,173.5,214.08,30.5828,108770300
2010-12-31,207.82,209.24,175.53,175.7,25.1,141624500
2010-11-30,173.95,206.8,163.57,205.9,29.4143,107087900
2010-10-29,160.6,184.74,147.35,173.57,24.7957,124762900
2010-09-30,130.87,174.4,129.11,162.16,23.1657,121866700
2010-08-31,104.02,140.9,98.73,125.52,17.9314,123317000
2010-07-30,108.8,124.0,95.33,102.55,14.65,77296600
2010-06-30,109.26,127.96,104.79,108.65,15.5214,72787800
2010-05-28,99.96,119.5,90.0,111.15,15.8786,76262700
2010-04-30,73.62,109.7,73.62,98.9,14.1286,68868500
2010-03-31,66.02,75.65,65.62,73.74,10.5343,27231500
2010-02-26,61.81,67.3,59.28,66.05,9.4357,30712600
2010-01-29,55.52,64.57,48.52,62.25,8.8928,46301300
2009-12-31,57.51,59.8,53.0,55.09,7.87,25307000
2009-11-30,53.18,61.65,52.6,58.63,8.3757,23783300
2009-10-30,45.75,57.5,44.3,53.45,7.6357,31587100
2009-09-30,43.19,48.2,39.27,46.17,6.5957,26907500
2009-08-31,44.35,46.67,42.51,43.63,6.2329,21725600
2009-07-31,41.58,47.69,37.93,43.94,6.2771,37684800
2009-06-30,39.99,42.81,37.05,41.34,5.9057,39281100
2009-05-29,45.25,45.825,36.25,39.42,5.6314,37316600
2009-04-30,42.78,50.24,42.08,45.31,6.4729,45959500
2009-03-31,35.4,44.42,34.01,42.92,6.1314,47667800
2009-02-27,35.56,38.83,34.81,36.24,5.1771,40397800
2009-01-30,29.52,37.9,28.78,36.14,5.1629,37239100
2008-12-31,22.2,30.36,21.79,29.89,4.27,24171100
2008-11-28,24.52,24.81,18.23,22.98,3.2829,20515300
2008-10-31,30.33,31.0,17.9,24.76,3.5371,35350800
2008-09-30,31.17,33.97,27.47,30.88,4.4114,27578500
2008-08-29,30.55,32.57,28.84,30.84,4.4057,26456000
2008-07-31,26.8,31.367,26.39,30.89,4.4129,40259600
2008-06-30,30.34,34.0,26.04,26.07,3.7243,22090600
2008-05-30,31.67,34.35,29.56,30.36,4.3371,32923200
