Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,887.51,935.27,884.12,934.74,934.74,13270919
2024-11-29,902.05,902.05,858.91,886.81,886.81,13757921
2024-11-22,815.5,908.0,809.3301,897.79,897.79,19717434
2024-11-15,795.9,840.9997,795.565,823.96,823.96,14692937
2024-11-08,753.14,799.06,749.69,795.04,795.04,12999356
2024-11-01,758.68,763.88,747.77,756.1,756.1,14299378
2024-10-25,765.76,773.0,744.26,754.68,754.68,18255787
2024-10-18,725.0,766.281,677.88,763.89,763.89,33124890
2024-10-11,714.755,736.0,696.43,722.79,722.79,13596379
2024-10-04,707.0,721.01,698.59,719.7,719.7,10769745
2024-09-27,702.39,725.26,699.16,707.35,707.35,14278425
2024-09-20,700.0,715.66,688.0,701.03,701.03,15353328
2024-09-13,674.0,699.64,660.8,697.06,697.06,12019136
2024-09-06,700.1,703.86,662.34,665.77,665.77,9734961
2024-08-30,687.26,707.89,677.1,701.35,701.35,12403312
2024-08-23,674.07,711.33,672.91,686.73,686.73,15148527
2024-08-16,631.0,680.23,627.07,674.07,674.07,15706814
2024-08-09,587.04,636.62,587.04,633.94,633.94,16815461
2024-08-02,634.61,646.7099,608.35,613.64,613.64,16275599
2024-07-26,639.5,656.29,621.7001,631.37,631.37,20246017
2024-07-19,647.5,678.97,629.1201,633.34,633.34,27303140
2024-07-12,687.0,695.27,643.7075,647.6,647.6,15649313
2024-07-05,674.89,697.49,663.78,690.65,690.65,8686862
2024-06-28,685.0,688.57,662.3,674.88,674.88,15558158
2024-06-21,669.11,689.88,665.1101,686.12,686.12,13717134
2024-06-14,641.01,675.58,635.59,669.38,669.38,12639260
2024-06-07,645.215,657.99,626.44,641.47,641.47,12357566
2024-05-31,647.05,664.25,628.3,641.62,641.62,12769763
2024-05-24,620.4,652.0,619.52,646.75,646.75,13883381
2024-05-17,614.3,625.79,606.83,621.1,621.1,17388220
2024-05-10,581.82,623.98,580.25,610.87,610.87,15113294
2024-05-03,559.18,580.26,544.25,579.34,579.34,15719359
2024-04-26,550.66,579.21,542.01,561.23,561.23,27068177
2024-04-19,630.17,630.17,552.16,555.04,555.04,34834844
2024-04-12,636.39,639.0,609.34,622.83,622.83,12693301
2024-04-05,608.0,638.0,605.5101,636.18,636.18,13331796
2024-03-28,627.9,634.3899,601.59,607.33,607.33,10944787
2024-03-22,613.56,634.3617,608.0,628.01,628.01,12769725
2024-03-15,608.08,622.92,596.27,605.88,605.88,17238609
2024-03-08,621.56,624.42,592.0,604.82,604.82,14859509
2024-03-01,583.56,620.28,583.27,619.34,619.34,17330696
2024-02-23,580.18,592.43,567.32,583.56,583.56,11500828
2024-02-16,560.36,597.0,549.0,583.95,583.95,22300793
2024-02-09,562.47,575.75,554.37,561.32,561.32,17588156
2024-02-02,571.35,578.5499,560.82,564.64,564.64,25151632
2024-01-26,487.55,579.64,479.9,570.42,570.42,69287536
2024-01-19,490.0,494.15,475.2642,482.95,482.95,19300317
2024-01-12,473.89,503.41,472.95,492.16,492.16,24541963
2024-01-05,483.185,484.65,461.86,474.06,474.06,14725079
2023-12-29,489.39,494.015,481.935,486.88,486.88,9039394
2023-12-22,476.3,500.89,475.095,486.76,486.76,20272198
2023-12-15,459.36,481.25,457.21,472.06,472.06,27069943
2023-12-08,460.99,461.2,445.73,453.76,453.76,19661104
2023-12-01,479.03,482.0,464.6,465.74,465.74,18000448
2023-11-24,465.4,482.7,465.4,479.56,479.56,10867441
2023-11-17,447.25,467.65,442.6,465.91,465.91,18448498
2023-11-10,434.38,447.48,429.61,447.24,447.24,15829935
2023-11-03,402.35,434.815,399.41,432.36,432.36,22143913
2023-10-27,403.32,418.84,395.62,397.87,397.87,31996180
2023-10-20,356.21,410.64,344.73,400.96,400.96,63324340
2023-10-13,378.05,388.7,352.05,355.68,355.68,33432542
2023-10-06,377.48,394.9,367.24,381.51,381.51,26096784
2023-09-29,382.9,386.62,371.1,377.6,377.6,20265395
2023-09-22,395.5,399.465,378.36,379.81,379.81,21907563
2023-09-15,443.07,449.89,395.03,396.94,396.94,37706606
2023-09-08,438.39,453.45,436.7,442.8,442.8,15645168
2023-09-01,418.04,445.5,413.27,439.88,439.88,19637029
2023-08-25,402.23,437.02,399.5,416.03,416.03,26718316
2023-08-18,421.99,429.12,398.15,404.53,404.53,21644647
2023-08-11,436.455,443.57,421.3277,421.66,421.66,21790658
2023-08-04,426.51,445.2499,426.27,431.6,431.6,28936064
2023-07-28,425.0,430.8799,411.88,425.78,425.78,32174058
2023-07-21,445.57,485.0,423.19,427.5,427.5,82424238
2023-07-14,438.52,456.48,431.0415,441.91,441.91,27911288
2023-07-07,439.76,450.97,430.72,438.1,438.1,19718657
2023-06-30,422.435,444.12,411.5,440.49,440.49,30548134
2023-06-23,430.18,440.0,417.73,424.02,424.02,23079600
2023-06-16,418.83,448.65,416.5669,431.96,431.96,38054991
2023-06-09,400.47,425.9,396.34,420.02,420.02,42535251
2023-06-02,397.48,407.52,385.79,400.47,400.47,30888898
2023-05-26,365.36,383.76,354.31,378.88,378.88,35869355
2023-05-19,340.62,375.87,329.615,365.36,365.36,39731578
2023-05-12,322.99,348.1664,322.03,339.89,339.89,29439233
2023-05-05,329.435,331.23,315.62,322.76,322.76,22594447
2023-04-28,330.2,334.66,317.44,329.93,329.93,25473762
2023-04-21,338.0,338.39,316.1,327.98,327.98,62472785
2023-04-14,335.27,347.14,330.04,338.63,338.63,23425061
2023-04-06,341.83,349.8,332.63,339.33,339.33,16577809
2023-03-31,327.55,345.84,321.28,345.48,345.48,34144116
2023-03-24,299.79,331.83,293.54,328.39,328.39,44465176
2023-03-17,287.34,316.6,285.3301,303.5,303.5,36295565
2023-03-10,317.0,323.3,289.0,292.76,292.76,26895964
2023-03-03,323.87,330.0,310.38,315.18,315.18,25604338
2023-02-24,342.85,344.1253,314.3,317.15,317.15,30325906
2023-02-17,349.5,363.75,342.44,347.96,347.96,26239601
2023-02-10,363.642,373.83,347.14,347.36,347.36,31729685
2023-02-03,358.44,379.4301,348.71,365.9,365.9,36052487
2023-01-27,341.715,369.02,340.6329,360.77,360.77,50170680
2023-01-20,331.08,344.0,313.39,342.5,342.5,63499636
2023-01-13,316.83,336.65,311.07,332.82,332.82,48561657
2023-01-06,298.06,316.77,288.7,315.55,315.55,33397247
2022-12-30,293.19,295.4999,273.41,294.88,294.88,28897886
2022-12-23,289.73,300.66,280.81,294.965,294.965,31565254
2022-12-16,320.0,332.7236,286.55,290.71,290.71,60252934
2022-12-09,316.46,329.0,302.1,320.01,320.01,45009416
2022-12-02,284.0,321.99,275.94,320.41,320.41,53919511
2022-11-25,291.0,292.47,277.34,285.54,285.54,22656567
2022-11-18,290.0,312.71,287.0,287.98,287.98,58877214
2022-11-11,261.06,290.66,252.09,290.13,290.13,42118010
2022-11-04,295.13,299.7,255.32,260.79,260.79,42971221
2022-10-28,290.23,305.63,280.36,295.72,295.72,68749521
2022-10-21,234.41,290.75,234.4,289.57,289.57,135615969
2022-10-14,225.64,238.8,211.73,230.0,230.0,71024611
2022-10-07,237.85,245.7999,224.28,224.75,224.75,52403998
2022-09-30,225.6,246.98,220.72,235.44,235.44,64419728
2022-09-23,245.05,250.49,221.43,226.41,226.41,64315283
2022-09-16,233.61,242.2871,215.8,240.13,240.13,60646192
2022-09-09,225.59,234.7799,214.69,233.57,233.57,29035978
2022-09-02,221.93,233.8814,218.74,226.11,226.11,36910150
2022-08-26,232.55,236.95,223.15,223.28,223.28,28450070
2022-08-19,248.11,251.99,235.68,241.16,241.16,30076515
2022-08-12,227.49,251.62,224.65,249.3,249.3,41311956
2022-08-05,223.095,232.07,220.88,226.78,226.78,30969546
2022-07-29,221.31,230.75,211.64,224.9,224.9,48989839
2022-07-22,192.5,229.35,188.4,220.44,220.44,139657396
2022-07-15,184.73,189.22,169.702,189.11,189.11,50986705
2022-07-08,176.28,190.21,172.6801,186.975,186.975,25262633
