Date,Open,High,Low,Close,Volume
2024-12-06,144.6,145.7,141.31,142.44,188505573
2024-12-05,145.11,146.54,143.95,145.06,172621180
2024-12-04,141.995,145.79,140.29,145.14,231224295
2024-12-03,138.26,140.54,137.95,140.26,164413965
2024-12-02,138.83,140.45,137.825,138.63,171682777
2024-11-29,136.78,139.35,136.05,138.25,141863156
2024-11-27,135.01,137.22,131.8,135.34,226370912
2024-11-26,137.7,139.3,135.67,136.92,190287654
2024-11-25,141.99,142.05,135.82,136.02,344941875
2024-11-22,145.93,147.16,141.1,141.95,236406154
2024-11-21,149.35,152.89,140.7,146.67,400946570
2024-11-20,147.41,147.56,142.73,145.89,309871654
2024-11-19,141.32,147.13,140.99,147.01,227834912
2024-11-18,139.5,141.55,137.15,140.15,221865993
2024-11-15,144.87,145.24,140.08,141.98,250132869
2024-11-14,147.64,149.0,145.55,146.76,194463301
2024-11-13,149.07,149.33,145.9,146.27,191903267
2024-11-12,146.78,149.65,146.01,148.29,198634738
2024-11-11,148.68,148.85,143.57,145.26,182325620
2024-11-08,148.77,149.77,146.26,147.63,175665830
2024-11-07,146.39,148.93,146.17,148.88,207323303
2024-11-06,142.96,146.49,141.96,145.61,242043945
2024-11-05,137.45,140.3701,137.33,139.91,160537373
2024-11-04,137.21,138.96,135.57,136.05,187528173
2024-11-01,134.7,137.31,134.57,135.4,207127838
2024-10-31,137.6,137.61,132.1106,132.76,270039641
2024-10-30,139.54,140.33,136.81,139.335,179418082
2024-10-29,140.285,142.2598,138.9,141.25,157593634
2024-10-28,143.0,143.14,140.05,140.52,173586745
2024-10-25,140.93,144.13,140.8,141.54,205122109
2024-10-24,140.82,141.35,138.46,140.41,172354888
2024-10-23,142.03,142.43,137.46,139.56,285930038
2024-10-22,142.91,144.42,141.78,143.59,226311589
2024-10-21,138.13,143.71,138.0,143.71,264554514
2024-10-18,138.665,138.9,137.28,138.0,176090184
2024-10-17,139.34,140.89,136.87,136.93,306435921
2024-10-16,133.98,136.62,131.58,135.72,264879720
2024-10-15,137.87,138.57,128.74,131.6,377831021
2024-10-14,136.47,139.6,136.3,138.07,232347668
2024-10-11,134.01,135.78,133.66,134.8,170209474
2024-10-10,131.91,135.0,131.0,134.81,242311337
2024-10-09,134.11,134.52,131.38,132.65,246191612
2024-10-08,130.26,133.48,129.42,132.89,285722485
2024-10-07,124.99,130.64,124.95,127.72,346250233
2024-10-04,124.94,125.04,121.83,124.92,244465552
2024-10-03,120.92,124.36,120.3401,122.85,277117973
2024-10-02,116.44,119.38,115.14,118.85,221845887
2024-10-01,121.765,122.4351,115.79,117.0,302094485
2024-09-30,118.31,121.5,118.15,121.44,227053651
2024-09-27,123.97,124.03,119.26,121.4,271009175
2024-09-26,126.8,127.665,121.8,124.04,302582868
2024-09-25,122.02,124.94,121.61,123.51,284692948
2024-09-24,116.515,121.8,115.38,120.87,354966772
2024-09-23,116.55,116.99,114.86,116.26,206228490
2024-09-20,117.06,118.6181,115.3901,116.0,382462428
2024-09-19,117.35,119.66,117.25,117.87,293506438
2024-09-18,115.89,117.7,113.22,113.37,310318937
2024-09-17,118.17,118.8,114.83,115.59,231925876
2024-09-16,116.79,118.18,114.36,116.78,248772308
2024-09-13,119.08,119.955,117.6,119.1,238358328
2024-09-12,116.84,120.79,115.38,119.14,367100496
2024-09-11,109.39,117.19,107.42,116.91,441422370
2024-09-10,107.81,109.4,104.95,108.1,268283736
2024-09-09,104.88,106.55,103.69,106.47,273912015
2024-09-06,108.04,108.15,100.95,102.83,413638098
2024-09-05,104.985,109.65,104.76,107.21,306850696
2024-09-04,105.41,113.27,104.12,106.21,368378810
2024-09-03,116.01,116.21,107.29,108.0,477155100
2024-08-30,119.53,121.75,117.22,119.37,333751583
2024-08-29,121.355,124.43,116.71,117.59,453023305
2024-08-28,128.12,128.33,122.64,125.61,448101115
2024-08-27,125.05,129.2,123.88,128.3,303134573
2024-08-26,129.57,131.26,124.37,126.46,331964672
2024-08-23,125.86,129.6,125.22,129.37,323230332
2024-08-22,130.02,130.75,123.1,123.74,376189076
2024-08-21,127.315,129.35,126.66,128.5,257883572
2024-08-20,128.4,129.88,125.89,127.25,300087415
2024-08-19,124.28,130.0,123.42,130.0,318333577
2024-08-16,121.94,125.0,121.18,124.58,302589872
2024-08-15,118.76,123.24,117.47,122.86,318086673
2024-08-14,118.53,118.6,114.07,118.08,339246407
2024-08-13,112.44,116.23,111.58,116.14,312646660
2024-08-12,106.32,111.07,106.26,109.02,325559870
2024-08-09,105.64,106.6,103.43,104.75,290844157
2024-08-08,102.0,105.5,97.52,104.97,391910023
2024-08-07,107.81,108.8,98.69,98.91,411440423
2024-08-06,103.84,107.71,100.55,104.25,409012089
2024-08-05,92.06,103.41,90.69,100.45,552842375
2024-08-02,103.76,108.72,101.37,107.27,482027464
2024-08-01,117.53,120.16,106.8104,109.21,523462326
2024-07-31,112.9,118.34,110.88,117.02,473174182
2024-07-30,111.52,111.99,102.54,103.73,486833274
2024-07-29,113.69,116.28,111.3,111.59,248152068
2024-07-26,116.19,116.2,111.58,113.06,293399073
2024-07-25,113.04,116.63,106.3,112.28,460067019
2024-07-24,119.17,119.95,113.44,114.25,327776884
2024-07-23,122.78,124.69,122.1,122.59,173910983
2024-07-22,120.35,124.07,119.86,123.54,258068943
2024-07-19,120.35,121.6,117.37,117.93,217223800
2024-07-18,121.85,122.4,116.56,121.09,320979530
