Date,Open,High,Low,Close,Volume
2024-12-06,138.83,146.54,137.825,142.44,928447790
2024-11-29,141.99,142.05,131.8,138.25,903463597
2024-11-22,139.5,152.89,137.15,141.95,1396925283
2024-11-15,148.68,149.65,140.08,141.98,1017459795
2024-11-08,137.21,149.77,135.57,147.63,973098624
2024-11-01,143.0,143.14,132.1106,135.4,987765940
2024-10-25,138.13,144.42,137.46,141.54,1154273138
2024-10-18,136.47,140.89,128.74,138.0,1357584514
2024-10-11,124.99,135.78,124.95,134.8,1290685141
2024-10-04,118.31,125.04,115.14,124.92,1272577548
2024-09-27,116.55,127.665,114.86,121.4,1419480253
2024-09-20,116.79,119.66,113.22,116.0,1466985987
2024-09-13,104.88,120.79,103.69,119.1,1589076945
2024-09-06,116.01,116.21,100.95,102.83,1566022704
2024-08-30,129.57,131.26,116.71,119.37,1869975248
2024-08-23,124.28,130.75,123.1,129.37,1575723972
2024-08-16,106.32,125.0,106.26,124.58,1598129482
2024-08-09,92.06,108.8,90.69,104.75,2056049067
2024-08-02,113.69,120.16,101.37,107.27,2213649314
2024-07-26,120.35,124.69,106.3,113.06,1513222902
2024-07-19,130.56,131.39,116.56,117.93,1351385198
2024-07-12,127.49,136.15,127.04,129.24,1401139984
2024-07-05,123.47,128.85,118.83,125.83,933185147
2024-06-28,123.24,128.12,118.04,123.54,1832912673
2024-06-21,132.99,140.76,124.3,126.57,1756092587
2024-06-14,120.37,132.84,117.01,131.88,1400305863
2024-06-07,1136.21,1255.87,1120.03,1208.88,244719954
2024-05-31,1102.44,1158.1915,1069.4,1096.33,231078265
2024-05-24,937.5,1064.75,931.8,1064.69,246091786
2024-05-17,904.78,958.1899,885.29,924.79,168756555
2024-05-10,893.9,922.2,882.31,898.78,185260327
2024-05-03,875.95,892.81,812.5456,887.89,208878089
2024-04-26,781.04,883.3093,764.0,877.35,252275892
2024-04-19,890.98,906.13,756.06,762.0,263138782
2024-04-12,887.0,907.3899,830.22,881.86,206922565
2024-04-05,902.99,922.25,858.8,880.08,207368662
2024-03-28,939.41,967.6599,891.23,903.56,208706316
2024-03-22,903.88,947.7799,850.1,942.89,288730166
2024-03-15,864.29,919.6,841.66,878.365,318695313
2024-03-08,841.3,974.0,834.1701,875.28,346916427
2024-03-01,797.0,823.0,771.25,822.79,227521245
2024-02-23,719.47,823.94,662.48,788.17,308961934
2024-02-16,726.0,746.11,696.2,726.13,263665618
2024-02-09,682.25,721.85,663.0,721.33,270982292
2024-02-02,612.32,666.0,607.0,661.6,205898659
2024-01-26,600.49,628.49,585.85,610.31,217776321
2024-01-19,550.18,595.0,547.4,594.91,195912601
2024-01-12,495.12,553.46,494.79,547.1,289915809
2024-01-05,492.44,495.47,473.2,490.97,144948983
2023-12-29,489.68,499.97,487.51,495.22,111223461
2023-12-22,494.0,504.3299,480.98,488.3,182654615
2023-12-15,474.91,494.04,458.3,488.9,220108613
2023-12-08,460.77,477.4085,450.1,475.06,188709330
2023-12-01,478.0,487.62,461.87,467.65,207472104
2023-11-24,493.12,505.48,476.9,477.76,217717644
2023-11-17,483.2,499.6,480.9901,492.98,194224007
2023-11-10,452.845,484.72,448.99,483.35,205355529
2023-11-03,410.87,453.0899,392.3001,450.05,217737120
2023-10-27,412.29,436.97,398.8019,405.0,223615881
2023-10-20,450.63,462.25,410.78,413.87,279322538
2023-10-13,448.42,476.09,443.68,454.61,211314468
2023-10-06,440.3,457.89,432.46,457.62,209388772
2023-09-29,415.91,441.44,411.77,434.99,208880097
2023-09-22,427.48,442.42,409.8,416.1,217041499
2023-09-15,461.48,461.63,438.08,439.0,209850495
