fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2024-09-30,2024-11-04,0.1,0.09,0.01,11.1111,post-market
2024-06-30,2024-08-05,0.09,0.08,0.01,12.5,post-market
2024-03-31,2024-05-06,0.08,0.08,0,0,post-market
2023-12-31,2024-02-05,0.08,0.08,0,0,post-market
2023-09-30,2023-11-02,0.07,0.06,0.01,16.6667,pre-market
2023-06-30,2023-08-07,0.05,0.05,0,0,post-market
2023-03-31,2023-05-08,0.05,0.04,0.01,25,post-market
2022-12-31,2023-02-13,0.04,0.03,0.01,33.3333,post-market
2022-09-30,2022-11-07,0.01,0.02,-0.01,-50,pre-market
2022-06-30,2022-08-08,-0.01,0.03,-0.04,-133.3333,pre-market
2022-03-31,2022-05-09,0.02,0.04,-0.02,-50,pre-market
2021-12-31,2022-02-17,0.02,0.04,-0.02,-50,pre-market
2021-09-30,2021-11-09,0.04,0.04,0,0,pre-market
2021-06-30,2021-08-12,0.04,0.04,0,0,pre-market
2021-03-31,2021-05-11,0.04,0.04,0,0,pre-market
2020-12-31,2021-02-16,0.06,0.02,0.04,200,pre-market
2020-09-30,2020-11-12,0.09,0.02,0.07,350,post-market
2020-06-30,2020-09-30,0.01,0,0.01,None,post-market
