transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2024-11-25,PLTR,"STAT, LAUREN ELAINA FRIEDMAN",Director,Class A Common Stock,D,9746.0,66.77
2024-11-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Employee Stock Option (Right to buy),D,1050088.0,0.0
2024-11-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,A,1050088.0,0.0
2024-11-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,D,1620395.0,0.0
2024-11-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,112755.0,62.1268
2024-11-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,1203304.0,63.1165
2024-11-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,A,1620395.0,
2024-11-22,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,304336.0,63.9827
2024-11-21,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,D,13322.0,62.7624
2024-11-21,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,D,9298.0,61.2895
2024-11-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,482241.0,63.092
2024-11-21,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,D,202.0,63.0749
2024-11-21,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,D,15382.0,62.7624
2024-11-21,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class A Common Stock,D,912.0,63.0749
2024-11-21,PLTR,"TAYLOR, RYAN D.",See Remarks,Class A Common Stock,D,10735.0,61.2895
2024-11-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,D,138130.0,0.0
2024-11-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Employee Stock Option (Right to buy),D,482241.0,0.0
2024-11-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,A,482241.0,0.0
2024-11-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,D,482241.0,0.0
2024-11-21,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Class A Common Stock,D,4432.0,62.7624
2024-11-21,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Class A Common Stock,D,58.0,63.0749
2024-11-21,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class A Common Stock,D,69580.0,62.7624
2024-11-21,PLTR,"PLANISHEK, HEATHER A.",See Remarks,Class A Common Stock,D,3093.0,61.2895
2024-11-21,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class A Common Stock,D,48563.0,61.2895
2024-11-21,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class A Common Stock,A,119055.0,
2024-11-21,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class B Common Stock,D,119055.0,0.0
2024-11-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,A,138130.0,
2024-11-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,56343.0,61.2895
2024-11-21,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,D,442.0,63.0749
2024-11-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,80728.0,62.7624
2024-11-21,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,D,33716.0,62.7624
2024-11-21,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,D,23531.0,61.2895
2024-11-21,PLTR,"SANKAR, SHYAM",See Remarks,Class A Common Stock,A,57689.0,
2024-11-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,1059.0,63.0749
2024-11-21,PLTR,"SANKAR, SHYAM",See Remarks,Class B Common Stock,D,57689.0,0.0
2024-11-21,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,A,482241.0,
2024-11-21,PLTR,"GLAZER, DAVID A.",See Remarks,Class A Common Stock,D,175.0,63.0749
2024-11-20,PLTR,"SANKAR, SHYAM",See Remarks,Restricted Stock Units,D,375000.0,0.0
2024-11-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Employee Stock Option (Right to buy),D,38093.0,0.0
2024-11-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,A,38093.0,0.0
2024-11-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class B Common Stock,D,38093.0,0.0
2024-11-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,A,266563.0,
2024-11-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,52512.0,60.6791
2024-11-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,132838.0,61.6078
2024-11-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,D,81213.0,62.2098
2024-11-20,PLTR,"KARP, ALEXANDER C.","Director, See Remarks",Class A Common Stock,A,38093.0,
2024-11-20,PLTR,"COHEN, STEPHEN ANDREW","Director, See Remarks",Class A Common Stock,D,69999.0,62.2098
