Date,Open,High,Low,Close,Adjusted Close,Volume
2024-12-06,67.44,76.82,65.96,76.34,76.34,393667856
2024-11-29,41.93,67.88,41.0315,67.08,67.08,1708424358
2024-10-31,37.21,45.14,36.05,41.56,41.56,1069820349
2024-09-30,31.35,38.19,29.31,37.2,37.2,1602272142
2024-08-30,27.02,33.125,21.23,31.48,31.48,1203111044
2024-07-31,25.48,29.83,25.1421,26.89,26.89,936669831
2024-06-28,21.7,26.57,21.005,25.33,25.33,779044887
2024-05-31,21.93,25.355,20.5,21.68,21.68,1122581595
2024-04-30,22.98,24.1,20.33,21.97,21.97,756455874
2024-03-28,25.3,27.5,22.92,23.01,23.01,1261656063
2024-02-29,16.21,25.525,16.03,25.08,25.08,2236096931
2024-01-31,16.95,18.3503,15.664,16.09,16.09,879349291
2023-12-29,19.93,20.29,17.05,17.17,17.17,1105213289
2023-11-30,14.8,21.85,14.48,20.05,20.05,1547829197
2023-10-31,16.03,18.44,14.55,14.8,14.8,1208333961
2023-09-29,15.16,16.81,13.68,16.0,16.0,945684790
2023-08-31,19.46,20.2399,13.68,14.98,14.98,1700364252
2023-07-31,15.49,19.995,14.62,19.84,19.84,1223840033
2023-06-30,14.46,17.16,13.56,15.33,15.33,1899671869
2023-05-31,7.75,15.005,7.28,14.71,14.71,2089203399
2023-04-28,8.37,9.04,7.62,7.75,7.75,502172206
2023-03-31,7.83,8.62,7.19,8.45,8.45,664477697
2023-02-28,7.73,10.31,7.45,7.84,7.84,1277417906
2023-01-31,6.58,7.82,6.09,7.78,7.78,606538987
2022-12-30,7.51,7.97,5.92,6.42,6.42,627319917
2022-11-30,8.99,9.06,6.89,7.5,7.5,813208403
2022-10-31,8.145,9.05,7.53,8.79,8.79,664804027
2022-09-30,7.61,8.5,7.13,8.13,8.13,757355372
2022-08-31,10.25,11.62,7.68,7.72,7.72,905348919
2022-07-29,9.11,10.76,8.65,10.35,10.35,711815313
2022-06-30,8.72,10.2,7.5,9.07,9.07,827006724
2022-05-31,10.38,11.01,6.44,8.68,8.68,1127139638
2022-04-29,13.77,14.86,10.36,10.4,10.4,644756171
2022-03-31,11.99,14.36,10.27,13.73,13.73,1014624389
2022-02-28,14.23,14.37,9.74,11.85,11.85,1301344413
2022-01-31,18.36,18.84,11.75,13.71,13.71,1056823286
2021-12-31,20.53,20.89,17.81,18.21,18.21,781023964
2021-11-30,26.11,27.11,20.05,20.65,20.65,884189785
2021-10-29,24.21,26.75,23.02,25.88,25.88,750518727
2021-09-30,26.46,29.29,23.88,24.04,24.04,1178981315
2021-08-31,21.91,26.6,21.48,26.34,26.34,1091251602
2021-07-30,26.1,26.13,20.55,21.71,21.71,579396096
2021-06-30,23.19,27.5,22.36,26.36,26.36,1177748460
2021-05-28,23.01,24.75,17.055,22.95,22.95,1460052623
2021-04-30,23.95,26.2,21.24,23.04,23.04,1012591802
2021-03-31,25.19,27.47,20.18,23.29,23.29,1805914813
2021-02-26,35.33,39.22,22.7,23.9,23.9,2168660687
2021-01-29,23.91,45.0,22.5,35.18,35.18,1244141580
2020-12-31,28.09,31.24,21.15,23.55,23.55,1475584493
2020-11-30,10.23,33.5,10.23,27.11,27.11,1655777552
2020-10-30,9.69,11.1,8.9,10.13,10.13,704784506
