Date,Open,High,Low,Close,Volume
2024-12-06,67.44,76.82,65.96,76.34,393667856
2024-11-29,66.9,67.88,63.89,67.08,211507983
2024-11-22,64.92,64.92,58.85,64.35,390336094
2024-11-15,60.1325,66.0,58.53,65.77,468605121
2024-11-08,41.08,58.48,41.0315,58.39,604252639
2024-11-01,45.05,45.14,40.9,41.92,178889525
2024-10-25,42.86,45.07,42.055,44.86,178693541
2024-10-18,43.72,44.39,40.36,42.97,216463256
2024-10-11,39.9,44.38,38.775,43.51,321795616
2024-10-04,36.58,40.29,36.05,40.01,249924485
2024-09-27,36.86,38.19,36.3827,36.84,297312823
2024-09-20,35.78,37.35,35.56,37.2,715681429
2024-09-13,32.7,36.01,32.47,35.59,404724747
2024-09-06,31.35,31.5892,29.31,30.33,142329590
2024-08-30,31.43,31.82,29.75,31.48,174907259
2024-08-23,32.42,33.125,31.622,31.78,208927613
2024-08-16,30.22,32.75,29.27,32.08,283348419
2024-08-09,21.74,30.36,21.23,30.01,448645555
2024-08-02,27.56,27.8,23.75,24.74,174252550
2024-07-26,28.93,29.19,25.42,27.18,191083016
2024-07-19,28.42,29.83,27.47,28.58,279787686
2024-07-12,27.93,28.59,26.84,28.07,248375042
2024-07-05,25.48,27.25,25.1421,27.23,130453735
2024-06-28,23.44,25.57,23.3,25.33,167235330
2024-06-21,23.47,26.57,23.45,23.84,245276616
2024-06-14,22.75,24.33,22.66,23.57,153307189
2024-06-07,21.7,23.95,21.005,23.31,213225752
2024-05-31,21.06,22.2,20.64,21.68,143107631
2024-05-24,21.77,21.77,20.63,21.01,147468028
2024-05-17,20.6,22.1693,20.6,21.76,192292123
2024-05-10,24.37,25.355,20.5,20.6,518528419
2024-05-03,22.75,23.64,21.63,23.33,182027971
2024-04-26,20.72,22.67,20.36,22.52,161972098
2024-04-19,22.79,23.13,20.33,20.47,176374209
2024-04-12,23.08,23.2,22.01,22.67,144238735
2024-04-05,22.98,24.1,21.72,22.96,213028255
2024-03-28,24.12,25.48,22.94,23.01,181474618
2024-03-22,23.77,25.33,22.92,24.18,190156703
2024-03-15,25.89,26.83,23.42,23.49,302205647
2024-03-08,24.4,27.5,23.43,26.04,523024688
2024-03-01,23.03,25.69,22.94,24.93,286328591
2024-02-23,23.84,24.07,22.29,22.97,267084822
2024-02-16,23.91,25.525,23.31,24.44,443736842
2024-02-09,17.56,25.11,16.48,24.38,1205614027
2024-02-02,16.45,17.24,16.03,17.02,214085563
2024-01-26,17.46,18.3503,16.31,16.35,238605144
2024-01-19,16.59,16.81,16.05,16.78,139422399
2024-01-12,16.22,17.06,16.14,16.76,199643739
2024-01-05,16.95,16.95,15.664,15.98,185719502
2023-12-29,17.44,17.91,17.1,17.17,139215506
2023-12-22,18.21,18.575,17.19,17.41,226131127
2023-12-15,17.97,19.15,17.22,18.2,310614027
2023-12-08,19.75,19.9,17.05,17.77,367758959
2023-12-01,19.13,20.31,18.62,20.27,292755638
2023-11-24,20.65,21.85,18.93,19.2,305471701
2023-11-17,19.59,20.58,19.29,20.49,353252865
2023-11-10,18.99,19.72,17.93,19.67,323714789
2023-11-03,15.27,19.0789,14.48,18.89,421209697
2023-10-27,15.9,16.93,14.96,15.07,231772758
2023-10-20,17.21,18.22,15.81,16.11,253775515
2023-10-13,16.27,18.44,16.22,17.36,374701194
2023-10-06,16.03,16.695,14.82,16.61,261002671
2023-09-29,14.0,16.81,13.82,16.0,284396576
2023-09-22,15.18,15.63,13.68,14.13,233635742
2023-09-15,15.41,16.15,15.17,15.33,223990725
2023-09-08,15.08,15.62,14.29,15.13,158402844
2023-09-01,14.69,16.35,14.5,15.18,295627994
2023-08-25,14.42,15.71,13.875,14.53,298091483
2023-08-18,15.2,15.87,13.68,14.4,293208189
2023-08-11,18.25,18.39,14.91,15.41,532798927
2023-08-04,18.82,20.2399,18.08,18.2,468070397
2023-07-28,16.61,17.97,16.0,17.81,265362214
2023-07-21,16.42,18.995,16.0,16.43,366002642
2023-07-14,15.37,17.26,14.945,16.4,279652439
2023-07-07,15.49,15.9,14.62,15.34,170648903
2023-06-30,13.87,15.8,13.83,15.33,260587652
2023-06-23,15.99,16.89,13.56,14.03,357532053
2023-06-16,15.44,16.91,15.1625,16.3,455785274
2023-06-09,14.365,17.16,14.365,15.02,620264144
2023-06-02,14.44,15.22,13.82,14.52,491995548
2023-05-26,11.62,14.195,11.39,13.65,549904081
2023-05-19,9.21,12.41,9.02,11.71,481373550
2023-05-12,7.64,10.3,7.59,9.5,614130269
2023-05-05,7.75,7.91,7.28,7.41,157302697
2023-04-28,8.16,8.25,7.62,7.75,109740787
2023-04-21,8.81,9.04,8.09,8.18,103601149
2023-04-14,8.0,8.91,7.9,8.81,163921641
2023-04-06,8.37,8.65,7.79,8.09,124908629
2023-03-31,8.15,8.48,7.94,8.45,98043443
2023-03-24,7.765,8.62,7.72,8.2,127354892
2023-03-17,7.29,8.15,7.19,7.88,166286244
2023-03-10,8.34,8.58,7.28,7.35,164818970
2023-03-03,8.12,8.5,7.56,8.33,176181172
2023-02-24,9.01,9.1,7.87,8.09,222106707
2023-02-17,7.58,10.31,7.45,9.2,607743462
2023-02-10,8.31,8.57,7.46,7.51,192561806
2023-02-03,7.5,9.21,7.36,8.41,256350739
2023-01-27,7.03,7.73,6.69,7.55,156991532
2023-01-20,6.99,7.3,6.67,7.02,117247154
2023-01-13,6.49,7.05,6.4,6.96,136335615
2023-01-06,6.58,6.675,6.09,6.4,126412854
2022-12-30,6.15,6.525,5.92,6.42,135195194
2022-12-23,6.8,6.83,6.04,6.29,154620777
2022-12-16,7.11,7.97,6.76,6.9,144432715
2022-12-09,7.62,7.695,6.88,7.11,139852825
2022-12-02,7.23,7.88,7.0325,7.66,127581965
2022-11-25,7.31,7.42,6.98,7.28,98940726
2022-11-18,8.18,8.47,7.31,7.39,161195076
2022-11-11,7.78,8.42,6.89,8.41,312107983
2022-11-04,8.59,9.06,7.65,7.93,197977172
