Date,Open,High,Low,Close,Volume
2024-12-06,377.42,389.49,370.8,389.22,81455834
2024-12-05,359.87,375.43,359.5,369.49,81403569
2024-12-04,353.0,358.1,348.6,357.93,50810874
2024-12-03,351.8,355.69,348.2,351.42,58267196
2024-12-02,352.38,360.0,351.1501,357.09,77986478
2024-11-29,336.08,345.45,334.65,345.16,37167621
2024-11-27,341.8,342.55,326.59,332.89,57896439
2024-11-26,341.0,346.96,335.66,338.23,62295857
2024-11-25,360.14,361.93,338.2,338.59,95890899
2024-11-22,341.085,361.53,337.7,352.56,89140722
2024-11-21,343.81,347.9899,335.28,339.64,58011719
2024-11-20,345.0,346.5999,334.3,342.03,66340650
2024-11-19,335.76,347.3799,332.75,346.0,88852452
2024-11-18,340.73,348.5499,330.01,338.74,126547455
2024-11-15,310.57,324.6799,309.22,320.72,114440286
2024-11-14,327.69,329.98,310.37,311.18,120726109
2024-11-13,335.85,344.5999,322.5,330.24,125405599
2024-11-12,342.74,345.84,323.31,328.49,155726016
2024-11-11,346.3,358.64,336.0,350.0,210521625
2024-11-08,299.14,328.71,297.66,321.22,204782763
2024-11-07,288.89,299.75,285.52,296.91,117309232
2024-11-06,284.67,289.59,275.62,288.53,165228710
2024-11-05,247.34,255.2799,246.2101,251.44,69282505
2024-11-04,244.56,248.9,238.88,242.84,68802354
2024-11-01,252.043,254.0,246.63,248.98,57544757
2024-10-31,257.99,259.75,249.25,249.85,66575292
2024-10-30,258.035,263.35,255.8201,257.55,53993576
2024-10-29,264.51,264.98,255.51,259.52,80521751
2024-10-28,270.0,273.536,262.24,262.51,107653603
2024-10-25,256.01,269.49,255.32,269.19,161611931
2024-10-24,244.68,262.1199,242.65,260.48,204491903
2024-10-23,217.125,218.72,212.11,213.65,80938892
2024-10-22,217.31,218.22,215.26,217.97,43268741
2024-10-21,218.9,220.48,215.726,218.85,47328988
2024-10-18,220.71,222.28,219.23,220.7,49611867
2024-10-17,221.59,222.08,217.9,220.89,50791784
2024-10-16,221.4,222.8199,218.93,221.33,49632824
2024-10-15,220.01,224.26,217.12,219.57,62988787
2024-10-14,220.13,221.91,213.74,219.16,86291923
2024-10-11,220.13,223.34,214.38,217.8,142628874
2024-10-10,241.81,242.7899,232.34,238.77,83087063
2024-10-09,243.82,247.43,239.51,241.05,66289529
2024-10-08,243.56,246.21,240.56,244.5,56303160
2024-10-07,249.0,249.83,240.7,240.83,68113270
2024-10-04,246.69,250.96,244.58,250.08,86726285
2024-10-03,244.48,249.79,237.81,240.66,80729240
2024-10-02,247.55,251.1585,241.5,249.02,93983930
2024-10-01,262.67,263.98,248.53,258.02,87397613
2024-09-30,259.04,264.86,255.77,261.63,80873381
2024-09-27,257.375,260.6999,254.12,260.46,70988067
2024-09-26,260.6,261.75,251.53,254.22,67142193
2024-09-25,252.54,257.05,252.28,257.02,65034318
2024-09-24,254.08,257.19,249.0501,254.27,88490999
2024-09-23,242.61,250.0,241.92,250.0,86927194
2024-09-20,241.52,243.99,235.92,238.25,99879070
2024-09-19,234.0,244.24,232.13,243.92,102694576
2024-09-18,230.09,235.68,226.88,227.2,78010204
2024-09-17,229.45,234.57,226.5533,227.87,66761636
2024-09-16,229.3,229.96,223.53,226.78,54322995
2024-09-13,228.0,232.67,226.32,230.29,59515114
2024-09-12,224.66,231.45,223.83,229.81,72020042
2024-09-11,224.55,228.47,216.8003,228.13,83548633
2024-09-10,220.07,226.4,218.6377,226.17,78891136
2024-09-09,216.2,219.87,213.67,216.27,67443518
2024-09-06,232.6,233.6,210.51,210.73,112177004
2024-09-05,223.49,235.0,222.25,230.17,119355013
2024-09-04,210.59,222.22,210.57,219.41,80217329
2024-09-03,215.26,219.9043,209.64,210.6,76714222
2024-08-30,208.63,214.5701,207.03,214.11,63370608
2024-08-29,209.8,214.89,205.97,206.28,62308818
2024-08-28,209.72,211.84,202.59,205.75,64116350
2024-08-27,213.25,215.66,206.94,209.21,62821390
2024-08-26,218.75,219.09,211.01,213.21,59301187
2024-08-23,214.455,221.48,214.21,220.32,81525207
2024-08-22,223.82,224.8,210.32,210.66,79514482
2024-08-21,222.67,224.6594,218.86,223.27,70145964
2024-08-20,224.88,228.22,219.56,221.1,74001182
2024-08-19,217.07,222.98,214.09,222.72,76435222
2024-08-16,211.15,219.8,210.8,216.12,88765122
2024-08-15,205.02,215.88,204.82,214.14,89848530
2024-08-14,207.39,208.44,198.75,201.38,70250014
2024-08-13,198.47,208.49,197.06,207.83,76247387
2024-08-12,199.02,199.26,194.67,197.49,64044903
2024-08-09,197.05,200.88,195.11,200.0,58648274
2024-08-08,195.7,200.7,192.04,198.84,65033874
2024-08-07,200.77,203.49,191.48,191.76,71159778
2024-08-06,200.75,202.9,192.67,200.64,73783942
2024-08-05,185.22,203.8799,182.0,198.88,100308836
2024-08-02,214.88,216.13,205.78,207.67,82880120
2024-08-01,227.69,231.867,214.3328,216.86,83861898
2024-07-31,227.9,234.68,226.7875,232.07,67497011
2024-07-30,232.25,232.41,220.0,222.62,100560334
2024-07-29,224.9,234.27,224.7,232.1,129201789
2024-07-26,221.19,222.2799,215.33,219.8,94604145
2024-07-25,216.8,226.0,216.231,220.25,100636466
2024-07-24,225.42,225.99,214.71,215.99,167942939
2024-07-23,253.6,255.7594,245.63,246.38,111928192
2024-07-22,244.21,253.21,243.75,251.51,101225430
2024-07-19,247.79,249.44,236.83,239.2,87403903
2024-07-18,251.09,257.14,247.2,249.23,110869037
