transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,3400.0,317.135
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,A,112390.0,24.73
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,710.0,310.052
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,30628.0,310.715
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,13454.0,311.799
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,3458.0,313.067
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,11353.0,314.049
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,7266.0,315.008
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,10188.0,316.054
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Non-Qualified Stock Option (right to buy),D,112390.0,0.0
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,1900.0,320.003
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,11142.0,319.085
2024-11-15,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,18891.0,318.133
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,13812.0,347.199
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,100.0,358.35
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,400.0,357.71
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,1669.0,356.675
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,1100.0,355.611
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,700.0,354.26
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,2100.0,353.521
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,1800.0,352.441
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,500.0,351.318
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,1119.0,350.046
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,8395.0,349.184
2024-11-11,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Common Stock,A,4000.0,18.22
2024-11-11,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Non-Qualified Stock Option (right to buy),D,4000.0,0.0
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,A,94897.0,14.99
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,A,5103.0,16.1
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,418.0,336.953
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,3000.0,338.089
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,1500.0,338.975
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,3300.0,340.022
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,3382.0,341.252
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,5850.0,342.152
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,7556.0,343.216
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,8980.0,344.232
2024-11-11,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Common Stock,D,4000.0,350.0
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,11723.0,346.232
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,10603.0,348.251
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Non-Qualified Stock Option (right to buy),D,5103.0,0.0
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Non-Qualified Stock Option (right to buy),D,94897.0,0.0
2024-11-11,TSLA,"WILSON-THOMPSON, KATHLEEN",Director,Common Stock,D,11993.0,345.264
2024-11-08,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Common Stock,A,8000.0,18.22
2024-11-08,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Common Stock,D,6200.0,300.0
2024-11-08,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Common Stock,D,1800.0,301.642
2024-11-08,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Non-Qualified Stock Option (right to buy),D,8000.0,0.0
2024-11-01,TSLA,"MUSK, KIMBAL",Director,Common Stock,D,4115.0,253.019
2024-11-01,TSLA,"MUSK, KIMBAL",Director,Common Stock,D,115.0,253.78
2024-11-01,TSLA,"MUSK, KIMBAL",Director,Common Stock,D,15722.0,252.255
2024-11-01,TSLA,"MUSK, KIMBAL",Director,Common Stock,D,10097.0,251.174
2024-11-01,TSLA,"MUSK, KIMBAL",Director,Common Stock,D,4894.0,250.353
2024-11-01,TSLA,"MUSK, KIMBAL",Director,Common Stock,D,7275.0,249.028
2024-11-01,TSLA,"MUSK, KIMBAL",Director,Common Stock,D,9630.0,248.165
2024-11-01,TSLA,"MUSK, KIMBAL",Director,Non-Qualified Stock Option (right to buy),D,15000.0,0.0
2024-11-01,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Common Stock,A,4000.0,18.22
2024-11-01,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Common Stock,D,4000.0,251.76
2024-11-01,TSLA,"MUSK, KIMBAL",Director,Common Stock,D,8652.0,247.318
2024-11-01,TSLA,"MUSK, KIMBAL",Director,Common Stock,A,15000.0,24.73
2024-11-01,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Non-Qualified Stock Option (right to buy),D,4000.0,0.0
2024-10-31,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Non-Qualified Stock Option (right to buy),A,939887.0,0.0
2024-10-31,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Incentive Stock Option (right to buy),A,1600.0,0.0
2024-10-31,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Restricted Stock Unit,A,104610.0,0.0
2024-10-24,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Common Stock,A,4000.0,18.22
2024-10-24,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Non-Qualified Stock Option (right to buy),D,4000.0,0.0
2024-10-24,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Common Stock,D,4000.0,250.0
2024-09-23,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Non-Qualified Stock Option (right to buy),D,8000.0,0.0
2024-09-23,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Common Stock,D,8000.0,250.0
2024-09-23,TSLA,"TANEJA, VAIBHAV",Chief Financial Officer,Common Stock,A,8000.0,18.22
2024-09-06,TSLA,"ZHU, XIAOTONG","SVP, Automotive",Common Stock,D,297.0,221.773
2024-09-05,TSLA,"ZHU, XIAOTONG","SVP, Automotive",Common Stock,A,2633.0,0.0
2024-09-05,TSLA,"ZHU, XIAOTONG","SVP, Automotive",Restricted Stock Unit,D,2633.0,0.0
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,14726.0,222.517
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,258.0,223.472
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Non-Qualified Stock Option (right to buy),D,44096.0,0.0
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Non-Qualified Stock Option (right to buy),D,58795.0,0.0
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Non-Qualified Stock Option (right to buy),D,22861.0,0.0
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Non-Qualified Stock Option (right to buy),D,10612.0,0.0
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,A,44096.0,23.17
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,5389.0,220.334
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,6763.0,219.334
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,2500.0,218.336
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,17616.0,216.721
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,A,22861.0,23.17
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,A,10612.0,23.17
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,A,58795.0,23.17
2024-07-25,TSLA,"DENHOLM, ROBYN M",Director,Common Stock,D,19112.0,221.267
2024-06-06,TSLA,"ZHU, XIAOTONG","SVP, Automotive",Common Stock,D,649.5,174.212
2024-06-05,TSLA,"ZHU, XIAOTONG","SVP, Automotive",Restricted Stock Unit,D,2633.0,0.0
2024-06-05,TSLA,"ZHU, XIAOTONG","SVP, Automotive",Common Stock,A,2633.0,0.0
2024-06-03,TSLA,"MURDOCH, JAMES R",Director,Non-Qualified Stock Option (right to buy),D,250020.0,0.0
