Date,Open,High,Low,Close,Volume
2024-12-06 19:55:00,394.44,394.7,394.28,394.67,99963
2024-12-06 19:50:00,394.49,394.6,394.3325,394.45,51473
2024-12-06 19:45:00,394.35,394.6,394.2,394.45,55657
2024-12-06 19:40:00,394.625,394.8,394.3,394.35,56479
2024-12-06 19:35:00,394.93,395.0,394.53,394.625,82293
2024-12-06 19:30:00,394.19,394.9888,394.11,394.95,78255
2024-12-06 19:25:00,393.6,394.34,393.53,394.19,65175
2024-12-06 19:20:00,393.27,393.8,393.23,393.58,36472
2024-12-06 19:15:00,393.12,393.5,393.02,393.265,29837
2024-12-06 19:10:00,393.65,393.77,393.05,393.05,36244
2024-12-06 19:05:00,392.79,393.7,392.75,393.605,72143
2024-12-06 19:00:00,391.66,393.0,391.6,392.8298,79196
2024-12-06 18:55:00,391.6,391.7,391.51,391.64,14796
2024-12-06 18:50:00,391.58,391.7,391.52,391.6,15386
2024-12-06 18:45:00,391.54,391.6,391.41,391.58,16802
2024-12-06 18:40:00,391.7,391.7,391.44,391.6,28098
2024-12-06 18:35:00,391.66,391.7,391.61,391.7,13527
2024-12-06 18:30:00,391.7,391.74,391.56,391.65,14228
2024-12-06 18:25:00,391.6999,391.75,391.6,391.68,22348
2024-12-06 18:20:00,391.645,391.75,391.55,391.68,16277
2024-12-06 18:15:00,391.52,391.735,391.45,391.645,16061
2024-12-06 18:10:00,391.5,391.62,391.04,391.52,23277
2024-12-06 18:05:00,391.83,391.83,391.31,391.5,30528
2024-12-06 18:00:00,391.77,391.88,391.7,391.83,27652
2024-12-06 17:55:00,391.79,391.99,391.6,391.8,32240
2024-12-06 17:50:00,391.85,391.99,391.6,391.775,33333
2024-12-06 17:45:00,391.7,392.0,391.35,391.81,52796
2024-12-06 17:40:00,391.1,391.7,391.0,391.695,52057
2024-12-06 17:35:00,390.86,391.41,390.79,391.095,70901
2024-12-06 17:30:00,390.44,390.98,390.38,390.855,68905
2024-12-06 17:25:00,390.02,390.48,390.0,390.44,60804
2024-12-06 17:20:00,389.995,390.17,389.98,390.03,30205
2024-12-06 17:15:00,390.05,443.0065,212.5816,390.0,70439
2024-12-06 17:10:00,390.05,390.1,253.1215,390.05,26948
2024-12-06 17:05:00,390.01,390.15,389.97,390.05,35535
2024-12-06 17:00:00,389.95,390.1,389.94,390.04,33985
